Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Diabetic neurological complications,14F4.00,453100011,H/O: Admission in last year for diabetes foot problem,309635005,453100011
Diabetic neurological complications,1M8..00,2415191000000113,Diabetic peripheral neuropathic pain,944141000000108,2415191000000113
Diabetic neurological complications,2G51000,764191000006112,Foot abnormality - diabetes related,280137006,417658010
Diabetic neurological complications,2G5C.00,764201000006110,Foot abnormality - diabetes related,280137006,417658010
Diabetic neurological complications,2G5H.00,1488395018,O/E - Right diabetic foot - ulcerated,394673007,1488395018
Diabetic neurological complications,2G5L.00,1488396017,O/E - Left diabetic foot - ulcerated,394674001,1488396017
Diabetic neurological complications,2G5V.00,2532977011,O/E - right chronic diabetic foot ulcer,414906009,2532977011
Diabetic neurological complications,2G5W.00,2532976019,O/E - left chronic diabetic foot ulcer,414890007,2532976019
Diabetic neurological complications,C106.00,616391000006114,Nervous system disorder due to diabetes mellitus,422088007,3688477014
Diabetic neurological complications,C106.11,616921000006113,Diabetic amyotrophy,39058009,65526011
Diabetic neurological complications,C106.12,345487013,Diabetes mellitus with neuropathy,230572002,345487013
Diabetic neurological complications,C106.13,616451000006110,Diabetes mellitus with polyneuropathy,49455004,82373015
Diabetic neurological complications,C106000,616671000006119,"Diabetes mellitus, juvenile, + neurological manifestation",421468001,2618197018
Diabetic neurological complications,C106100,616481000006119,"Diabetes mellitus, adult onset, + neurological manifestation",421326000,2618196010
Diabetic neurological complications,C106y00,13761000006115,Other specified diabetes mellitus with neurological comps,422088007,2618195014
Diabetic neurological complications,C106z00,292512019,Diabetes mellitus NOS with neurological manifestation,422088007,2618195014
Diabetic neurological complications,C108200,771481000006112,Insulin-dependent diabetes mellitus with neurological comps,422088007,3688477014
Diabetic neurological complications,C108211,84751000006116,Type I diabetes mellitus with neurological complications,421468001,3695401013
Diabetic neurological complications,C108212,84381000006113,Type 1 diabetes mellitus with neurological complications,421468001,2618197018
Diabetic neurological complications,C108500,771421000006113,Insulin dependent diabetes mellitus with ulcer,422183001,2623058011
Diabetic neurological complications,C108511,84821000006118,Type I diabetes mellitus with ulcer,190368000,292538019
Diabetic neurological complications,C108512,84451000006112,Type 1 diabetes mellitus with ulcer,190368000,292540012
Diabetic neurological complications,C108B00,771371000006118,Insulin dependent diabetes mellitus with mononeuropathy,230577008,345492010
Diabetic neurological complications,C108B11,84721000006113,Mononeuropathy with type 1 diabetes mellitus,420918009,3697664014
Diabetic neurological complications,C108C00,771401000006115,Insulin dependent diabetes mellitus with polyneuropathy,49455004,82373015
Diabetic neurological complications,C108H00,771331000006116,Insulin dependent diabetes mellitus with arthropathy,39710007,1229552016
Diabetic neurological complications,C108J00,772131000006111,Insulin dependent diab mell with neuropathic arthropathy,201724008,309740011
Diabetic neurological complications,C108J11,84761000006119,Type I diabetes mellitus with neuropathic arthropathy,71771000119100,3010513018
Diabetic neurological complications,C108J12,84391000006111,Type 1 diabetes mellitus with neuropathic arthropathy,71771000119100,3010513018
Diabetic neurological complications,C109200,280591000006115,Non-insulin-dependent diabetes mellitus with neuro comps,421326000,3695406015
Diabetic neurological complications,C109211,84931000006113,Neurological disorder with diabetes type 2,421326000,3695406015
Diabetic neurological complications,C109212,84561000006110,Type 2 diabetes mellitus with neurological complications,421326000,3695406015
Diabetic neurological complications,C109400,280551000006114,Non-insulin-dependent diabetes mellitus with ulcer,190389009,292580015
