Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Female genital prolapse,1594.00,397858018,H/O: genital prolapse,267018007,397858018
Female genital prolapse,7D17.00,273561018,Repair of vaginal prolapse and amputation of cervix uteri,176697007,273561018
Female genital prolapse,7D17.11,273562013,Colporrhaphy and amputation of cervix uteri,176697007,273562013
Female genital prolapse,7D17000,485271000006111,Anterior and posterior colporrhaphy and amputation of cervix uteri,46226009,494471017
Female genital prolapse,7D17100,394459012,Anterior colporrhaphy and amputation of cervix uteri NEC,82418001,136706011
Female genital prolapse,7D17111,790201000006116,Fothergill anterior colporrhaphy and amputation of cervix,82418001,136706011
Female genital prolapse,7D17200,273566011,Posterior colporrhaphy and amputation of cervix uteri NEC,176697007,273561018
Female genital prolapse,7D17y00,172811000006118,Repair of vaginal prolapse & amputation of cervix uteri OS,176697007,273561018
Female genital prolapse,7D17z00,172801000006116,Repair of vaginal prolapse & amputation of cervix uteri NOS,176697007,273561018
Female genital prolapse,7D17z11,698981000006110,Manchester repair,82418001,136706011
Female genital prolapse,7D18.00,394462010,Repair of vaginal wall prolapse,238034001,356787010
Female genital prolapse,7D18.11,356788017,Colporrhaphy,238034001,356788017
Female genital prolapse,7D18000,485981000006115,Anterior and posterior colporrhaphy,13910004,475583015
Female genital prolapse,7D18011,475586011,Anterior and posterior repair,13910004,475586011
Female genital prolapse,7D18100,394464011,Anterior colporrhaphy,39845007,67196013
Female genital prolapse,7D18111,492278013,Anterior repair,39845007,492278013
Female genital prolapse,7D18200,394465012,Posterior repair of vagina,397823004,1777425013
Female genital prolapse,7D18211,210981000006112,Posterior repair,397823004,1777425013
Female genital prolapse,7D18300,394466013,Repair of enterocele,302371001,444019016
Female genital prolapse,7D18311,715461000006112,McCall repair of enterocele,302371001,444019016
Female genital prolapse,7D18312,1491651014,Moschowitz repair of enterocele,386631003,1491651014
Female genital prolapse,7D18400,273589015,Colporrhaphy NEC,367444000,492100014
