Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Gout,1443.00,251601017,H/O: gout,161451004,251601017
Gout,2D52.00,255612014,O/E - auricle of ear - tophi,164208001,255612014
Gout,669..00,264664010,Gout monitoring,170730005,264664010
Gout,6691.00,264665011,Initial gout assessment,170731009,264665011
Gout,6692.00,264666012,Follow-up gout assessment,170732002,264666012
Gout,6693.00,264667015,Joints gout affected,170733007,264667015
Gout,6695.00,264669017,Date gout treatment started,170735000,264669017
Gout,6696.00,264670016,Date of last gout attack,170736004,264670016
Gout,6697.00,264671017,Gout associated problem,170737008,2668302013
Gout,6698.00,264672012,Gout drug side effect,170738003,2668303015
Gout,6699.00,264673019,Gout treatment changed,170739006,264673019
Gout,669Z.00,264675014,Gout monitoring NOS,170730005,264664010
Gout,C34..00,150085018,Gout,90560007,150085018
Gout,C340.00,293392012,Gouty arthropathy,190828008,293392012
Gout,C341.00,293394013,Gouty nephropathy,190829000,293394013
Gout,C341000,293396010,Gouty nephropathy unspecified,190829000,293393019
Gout,C341z00,293400010,Gouty nephropathy NOS,190829000,293393019
Gout,C342.00,481958014,Idiopathic gout,24595009,481958014
Gout,C343.00,359376016,Lead-induced gout,239846006,359376016
Gout,C344.00,359373012,Drug-induced gout,239845005,359373012
Gout,C345.00,359372019,Gout due to impairment of renal function,239844009,359372019
Gout,C346.00,2370851000000119,Acute exacerbation of gout,924311000000106,2370851000000119
Gout,C34y.00,293405017,Other specified gouty manifestation,3875003,7521017
Gout,C34y000,25080011,Gouty tophus of pinna,14763005,476698015
Gout,C34y100,806061000006113,Gouty tophi of heart,27277001,45604013
Gout,C34y200,293407013,Gouty tophus,402469004,1781601013
Gout,C34y300,72069017,Gouty iritis,43193009,72069017
Gout,C34y400,16455010,Gouty neuritis,9386003,16455010
Gout,C34y500,293410018,Gouty tophi of hand,190842000,293410018
Gout,C34yz00,293411019,Other specified gouty manifestation NOS,90560007,150085018
Gout,C34z.00,293412014,Gout NOS,90560007,150085018
Gout,G557300,45604013,Gouty tophi of heart,27277001,45604013
Gout,N023.00,80709010,Gouty arthritis,48440001,80709010
Gout,N023000,309673013,Articular gout,48440001,80706015
Gout,N023100,309674019,Gouty arthritis of the shoulder region,201663006,309674019
Gout,N023200,309675018,Gouty arthritis of the upper arm,201663006,309674019
Gout,N023300,309676017,Gouty arthritis of the forearm,48440001,80706015
Gout,N023400,309677014,Gouty arthritis of the hand,201666003,309677014
Gout,N023600,309679012,Gouty arthritis of the lower leg,48440001,80706015
Gout,N023700,309680010,Gouty arthritis of the ankle and foot,201669005,309680010
Gout,N023800,2695828012,Gouty arthritis of toe,428839004,2695828012
Gout,N023x00,309681014,Gouty arthritis of multiple sites,201670006,309681014
Gout,N023y00,309682019,Gouty arthritis of other specified site,48440001,80709010
Gout,N023z00,309683012,Gouty arthritis NOS,48440001,80709010
Gout,Nyu1700,312525018,Secondary gout,239843003,359370010
