Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Hearing loss,1493.00,251667016,H/O: hearing problem,161497002,251667016
Hearing loss,1C12.00,253157015,Hearing difficulty,162340000,253157015
Hearing loss,1C13.00,608101000006118,Deafness,15188001,25788011
Hearing loss,1C13.11,407075014,Deafness symptom,272033007,407075014
Hearing loss,1C13100,253161014,Unilateral deafness,162342008,253161014
Hearing loss,1C13200,470343013,Partial deafness,343087000,470343013
Hearing loss,1C13300,253163012,Bilateral deafness,162344009,253163012
Hearing loss,1C16.00,459324019,Deteriorating hearing,314914004,459324019
Hearing loss,1C17.00,1484996016,Hearing aid problem,390967001,1484996016
Hearing loss,1C18.00,1780215014,Difficulty hearing with background noise,401008002,1780215014
Hearing loss,1C19.00,1780216010,Difficulty hearing whispers,401009005,1780216010
Hearing loss,2BL..11,411844019,O/E - deaf,275879008,411844019
Hearing loss,2BL2.00,255425013,O/E - slightly deaf,164060004,255425013
Hearing loss,2BL3.00,255426014,O/E - significantly deaf,164061000,255426014
Hearing loss,2BL4.00,255427017,O/E - very deaf,164062007,255427017
Hearing loss,2BL5.00,255428010,O/E - completely deaf,164063002,255428010
Hearing loss,2BM2.00,255433014,O/E -tune fork=conductive deaf,164068006,255433014
Hearing loss,2BM2.11,255434015,O/E - conductive deafness,44057004,73473018
Hearing loss,2BM3.00,255436018,O/E tune fork=perceptive deaf,164069003,255436018
Hearing loss,2BM3.11,255435019,O/E - perceptive deafness,164069003,255435019
Hearing loss,2BM4.00,255437010,O/E - High tone deafness,164070002,255437010
Hearing loss,2DG..00,413668018,Hearing aid worn,285055002,423944012
Hearing loss,2DH0.00,298231000000110,Uses hearing loop,198061000000105,298231000000110
Hearing loss,2DH1.00,423945013,Does use hearing aid,285055002,423945013
Hearing loss,7308400,361091000000119,Insertion of hearing implant in external ear,429585000,2692293012
Hearing loss,7308500,2693867016,Attention to hearing implant in external ear,428619000,2693867016
Hearing loss,7308600,2675903011,Removal of hearing implant from external ear,426706000,2675903011
