Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Hypertension,14A2.00,251674014,H/O: hypertension,161501007,251674014
Hypertension,2126100,790131000006118,Hypertension resolved,162659009,253532015
Hypertension,212K.00,253532015,Hypertension resolved,162659009,253532015
Hypertension,6146200,262960017,Hypertension induced by oral contraceptive pill,169465000,262960017
Hypertension,6624.00,264467014,Yearly observation of borderline hypertension,170574005,2692347012
Hypertension,6627.00,264471012,Good hypertension control,170577003,264471012
Hypertension,6628.00,264472017,Poor hypertension control,170578008,264472017
Hypertension,662b.00,1780318013,Moderate hypertension control,401117004,1780318013
Hypertension,662c.00,1780253016,Hypertension six month review,401048005,1780253016
Hypertension,662d.00,1780319017,Hypertension annual review,401118009,1780319017
Hypertension,662F.00,264485019,Treatment for hypertension started,170586008,2694699015
Hypertension,662G.00,264486018,Hypertensive treatment changed,170587004,2871342011
Hypertension,662O.00,443764015,On treatment for hypertension,302192008,443764015
Hypertension,662r.00,530221000000112,Trial withdrawal of antihypertensive therapy,299561000000105,530221000000112
Hypertension,7Q01.00,350601000000116,High cost hypertension drugs,220901000000101,350601000000116
Hypertension,8B26.00,451424017,Antihypertensive therapy,308116003,451424017
Hypertension,8BL0.00,2159168015,Patient on maximal tolerated antihypertensive therapy,407567007,2159168015
Hypertension,8I3N.00,1780252014,Hypertension treatment refused,401047000,1780252014
Hypertension,9OI9.00,789981000006111,Hypertens.monitor deleted,185724004,285723013
Hypertension,C151.13,589601000006111,Conn's syndrome,190507007,292776010
Hypertension,C151011,292776010,Conn's syndrome,190507007,292776010
Hypertension,F404200,1529013,Blind hypertensive eye,264008,1529013
Hypertension,F421300,12496011,Hypertensive retinopathy,6962006,12496011
Hypertension,G2...00,64168014,Hypertensive disease,38341003,64168014
Hypertension,G2...11,523801000006119,BP - hypertensive disease,38341003,64168014
Hypertension,G20..00,99042012,Essential hypertension,59621000,99042012
Hypertension,G20..11,64172013,Elevated blood pressure,24184005,196353013
Hypertension,G200.00,131046010,Malignant essential hypertension,78975002,131046010
Hypertension,G201.00,3135013,Benign essential hypertension,1201005,3135013
Hypertension,G202.00,93494011,Systolic hypertension,56218007,93494011
Hypertension,G203.00,80224019,Diastolic hypertension,48146000,80224019
Hypertension,G20z.00,395751018,Essential hypertension NOS,59621000,99042012
Hypertension,G20z.11,790121000006116,Hypertension,38341003,64176011
Hypertension,G21..00,107545013,Hypertensive heart disease,64715009,107545013
Hypertension,G210.00,90135019,Malignant hypertensive heart disease,54225002,90135019
Hypertension,G210000,728681000006116,Malignant hypertensive heart disease without congestive heart failure,36315003,60617018
Hypertension,G210100,728671000006119,Malignant hypertensive heart disease with congestive cardiac failure,83105008,1236017010
Hypertension,G211.00,60444016,Benign hypertensive heart disease,36221001,60444016
Hypertension,G211000,504911000006115,Benign hypertensive heart disease without CCF,77970009,129404019
Hypertension,G211100,504901000006118,Benign hypertensive heart disease with congestive cardiac failure,194767001,299653017
Hypertension,G21z.00,741661000006118,Hypertensive heart disease NOS,64715009,107545013
Hypertension,G21z000,741691000006114,Hypertensive heart disease NOS without CCF,64715009,107545013
Hypertension,G21z011,411508017,Cardiomegaly - hypertensive,275516004,411508017
Hypertension,G21z100,741681000006111,Hypertensive heart disease NOS with CCF,64715009,107545013
