Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Multiple sclerosis,666A.00,299241000000110,Multiple sclerosis review,198491000000106,299241000000110
Multiple sclerosis,666B.00,315671000000110,Multiple sclerosis multidisciplinary review,205631000000104,315671000000110
Multiple sclerosis,8Cc0.00,699671000000115,Management of multiple sclerosis in onset phase,367561000000107,699671000000115
Multiple sclerosis,8Cc1.00,699731000000110,Management of multiple sclerosis in early disease phase,367591000000101,699731000000110
Multiple sclerosis,8Cc2.00,699791000000111,Management of multiple sclerosis in stable disability phase,367621000000103,699791000000111
Multiple sclerosis,8Cc4.00,699911000000117,Management of multiple sclerosis in palliative phase,367681000000102,699911000000117
Multiple sclerosis,8CS1.00,300141000000119,Multiple sclerosis care plan agreed,811881000000109,2117681000000111
Multiple sclerosis,8Hkv.00,1757431000000113,Referral to community multiple sclerosis team,785851000000104,1757431000000113
Multiple sclerosis,8IAb.00,1148911000000119,Multiple sclerosis review declined,515931000000104,1148911000000119
Multiple sclerosis,9kG..00,979461000006111,Specialised services for patients with multiple sclerosis enhanced services administration,166411000000100,1154041000000111
Multiple sclerosis,9mD..00,1674121000000119,Multiple sclerosis monitoring administration,758981000000100,1674121000000119
Multiple sclerosis,9mD0.00,1674381000000115,Multiple sclerosis monitoring first letter,759051000000102,1674381000000115
Multiple sclerosis,9mD1.00,1674661000000118,Multiple sclerosis monitoring second letter,759091000000105,1674661000000118
Multiple sclerosis,9mD2.00,1674971000000118,Multiple sclerosis monitoring telephone invitation,759131000000108,1674971000000118
Multiple sclerosis,F20..00,41398015,Multiple sclerosis,24700007,41398015
Multiple sclerosis,F20..11,1223979019,Disseminated sclerosis,24700007,1223979019
Multiple sclerosis,F200.00,695191000006119,Multiple sclerosis of the brain stem,192926004,297176011
Multiple sclerosis,F201.00,297177019,Multiple sclerosis of the spinal cord,192927008,297177019
Multiple sclerosis,F202.00,297179016,Generalised multiple sclerosis,192928003,297179016
Multiple sclerosis,F203.00,297180018,Exacerbation of multiple sclerosis,192929006,297180018
Multiple sclerosis,F204.00,641211000000118,Benign multiple sclerosis,438511000,2791037019
Multiple sclerosis,F206.00,2692565012,Primary progressive multiple sclerosis,428700003,2692565012
Multiple sclerosis,F207.00,1682241000006111,Relapsing remitting multiple sclerosis,426373005,2674690012
Multiple sclerosis,F208.00,2674605012,Secondary progressive multiple sclerosis,425500002,2674605012
Multiple sclerosis,F20z.00,297181019,Multiple sclerosis NOS,24700007,41398015
