Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
"Non-malignant tumour of brain, central nervous system and pituitary",710..00,393922013,Pituitary gland and pineal gland operations,265245002,393922013
"Non-malignant tumour of brain, central nervous system and pituitary",710..12,219881000000116,Pituitary gland operation,36928000,486582014
"Non-malignant tumour of brain, central nervous system and pituitary",7100y00,266290016,Other specified excision of pituitary gland,52699005,87695016
"Non-malignant tumour of brain, central nervous system and pituitary",7100z00,410873011,Excision of pituitary gland NOS,52699005,87695016
"Non-malignant tumour of brain, central nervous system and pituitary",7101000,266296010,Cryotherapy to pituitary gland,171951009,266296010
"Non-malignant tumour of brain, central nervous system and pituitary",7101100,266297018,Implantation of radioactive substance into pituitary gland,171952002,266297018
"Non-malignant tumour of brain, central nervous system and pituitary",7102.00,266301010,Operation on pituitary gland,36928000,197236012
"Non-malignant tumour of brain, central nervous system and pituitary",7102000,266302015,Excision of lesion of pituitary gland,171957008,266302015
"Non-malignant tumour of brain, central nervous system and pituitary",7102200,266304019,Decompression of pituitary gland,171959006,266304019
"Non-malignant tumour of brain, central nervous system and pituitary",7102300,266305018,Exploration of pituitary gland,171960001,266305018
"Non-malignant tumour of brain, central nervous system and pituitary",7102y00,266307014,Other specified other operation on pituitary gland,36928000,197236012
"Non-malignant tumour of brain, central nervous system and pituitary",7102z00,266308016,Other operation on pituitary gland NOS,36928000,197236012
"Non-malignant tumour of brain, central nervous system and pituitary",710y.00,226401000006118,Pituitary gland and/or pineal gland operations,265245002,1489884012
"Non-malignant tumour of brain, central nervous system and pituitary",710z.00,266313017,Pituitary gland and pineal gland operations NOS,265245002,1489884012
"Non-malignant tumour of brain, central nervous system and pituitary",B7F..00,406273018,Benign neoplasm of brain and other parts of nervous system,92247009,152724018
"Non-malignant tumour of brain, central nervous system and pituitary",B7F0.00,152433015,Benign neoplasm of brain,92030004,152433015
"Non-malignant tumour of brain, central nervous system and pituitary",B7F0.11,543101000006113,Cerebral tumour - benign,275269004,411229013
"Non-malignant tumour of brain, central nervous system and pituitary",B7F0000,290617010,"Benign neoplasm of brain, supratentorial",189162003,290617010
