Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Other haemolytic anaemias,1453.00,251615015,H/O: haemolytic anaemia,161458005,251615015
Other haemolytic anaemias,D1...00,813861000006112,Haemolytic anaemia,61261009,498963016
Other haemolytic anaemias,D10..00,821381000006117,Hereditary haemolytic anaemia,38911009,491833015
Other haemolytic anaemias,D100.00,93126010,Hereditary spherocytosis,55995005,93126010
Other haemolytic anaemias,D100.11,452811000006116,Acholuric familial jaundice,55995005,93126010
Other haemolytic anaemias,D100.12,701811000006113,Minkowski - Chauffard syndrome,55995005,93126010
Other haemolytic anaemias,D101.00,293984013,Hereditary elliptocytosis,191169008,293984013
Other haemolytic anaemias,D101.11,253601000006110,Ovalocytosis - hereditary,191169008,293984013
Other haemolytic anaemias,D102.00,293986010,Haemolytic anaemia due to glutathione metabolism disorder,191170009,293986010
Other haemolytic anaemias,D102000,499268014,Glucose-6-phosphate dehydrogenase deficiency anaemia,62403005,499268014
Other haemolytic anaemias,D102100,293989015,Favism,191172001,293989015
Other haemolytic anaemias,D102200,477268010,Drug-induced enzyme deficiency anaemia,15276008,477268010
Other haemolytic anaemias,D103000,293999013,Haemolytic anaemia due to hexokinase deficiency,191177007,293999013
Other haemolytic anaemias,D103100,294000010,Haemolytic anaemia due to pyruvate kinase deficiency,191178002,294000010
Other haemolytic anaemias,D103300,294004018,Anaemia due to disorders of nucleotide metabolism,191180008,294004018
Other haemolytic anaemias,D103z00,294007013,Enzyme deficiency haemolytic anaemia NOS,38911009,65264014
Other haemolytic anaemias,D107.00,294066018,Haemoglobinopathy,80141007,504350016
Other haemolytic anaemias,D107000,582791000006119,Congenital Heinz-body anaemia,18273004,478541012
Other haemolytic anaemias,D107100,821561000006115,Hereditary persistence of fetal haemoglobin,191201002,294072018
Other haemolytic anaemias,D107111,294068017,Hb F disease,191201002,294068017
Other haemolytic anaemias,D107200,496520018,Haemoglobin Bart's disease,5300004,496520018
Other haemolytic anaemias,D107300,813711000006117,Haemoglobin C disease,51053007,495889019
Other haemolytic anaemias,D107400,813721000006113,Haemoglobin D disease,66729008,500509016
Other haemolytic anaemias,D107500,813731000006111,Haemoglobin E disease,25065001,482565014
Other haemolytic anaemias,D107600,294074017,Haemoglobin Zurich disease,191202009,294074017
Other haemolytic anaemias,D107700,813741000006118,Haemoglobin H disease,48553001,495133013
Other haemolytic anaemias,D107y00,294075016,Other specified other haemoglobinopathy,80141007,504350016
Other haemolytic anaemias,D107z00,294078019,Haemoglobinopathy,80141007,504350016
