Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Peripheral arterial disease,14F7.00,2232441000000113,H/O: arterial lower limb ulcer,863401000000101,2232441000000113
Peripheral arterial disease,14NB.00,451376017,H/O: Peripheral vascular disease procedure,308071004,451376017
Peripheral arterial disease,2G63.00,450665015,Ischaemic toe,307408003,450665015
Peripheral arterial disease,662U.00,216185010,Peripheral vascular disease monitoring,134379001,216185010
Peripheral arterial disease,7A10000,639341000006115,Emergency bypass of aorta by anastomosis of axillary artery to femoral artery,175276005,271413015
Peripheral arterial disease,7A10100,530051000006117,Bypass aorta by anastomosis axillary to femoral artery NEC,233379008,349697018
Peripheral arterial disease,7A10200,501011000006118,Axillofemoral bypass graft,388997005,1493587018
Peripheral arterial disease,7A10300,271416011,Axillo-unifemoral PTFE bypass graft,175279003,271416011
Peripheral arterial disease,7A12.00,271431019,Other bypass of bifurcation of aorta,233373009,349683014
Peripheral arterial disease,7A12000,639371000006111,Emergency bypass of bifurcation of aorta by anastomosis of aorta to femoral artery,175290008,271432014
Peripheral arterial disease,7A12100,530061000006115,Bypass of bifurcation of aorta by anastomosis of aorta to femoral artery,448171003,2900875010
Peripheral arterial disease,7A12111,224121000000118,Aortic bifurcation bypass graft,233373009,349688017
Peripheral arterial disease,7A12112,410961010,Dacron aortofemoral Y graft,275038008,410961010
Peripheral arterial disease,7A12300,530071000006110,Bypass of bifurcation of aorta by anastomosis of aorta to iliac artery,265495003,394305010
Peripheral arterial disease,7A12311,488631000006116,Aorto biiliac graft,265495003,394305010
Peripheral arterial disease,7A12312,410962015,Dacron aortoiliac Y graft,275039000,410962015
Peripheral arterial disease,7A12y00,271444012,Other specified other bypass of bifurcation of aorta,233373009,349683014
Peripheral arterial disease,7A12z00,271445013,Other bypass of bifurcation of aorta NOS,233373009,349683014
Peripheral arterial disease,7A19200,271509013,Open embolectomy of bifurcation of aorta,175348000,271509013
Peripheral arterial disease,7A41.00,394323019,Iliac artery bypass,405477007,2157280014
