Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Primary malignancy bladder,B49..00,1786811017,Malignant neoplasm of urinary bladder,399326009,1786811017
Primary malignancy bladder,B490.00,289262014,Malignant neoplasm of trigone of urinary bladder,188239000,289262014
Primary malignancy bladder,B491.00,289267015,Malignant neoplasm of dome of urinary bladder,188240003,289267015
Primary malignancy bladder,B492.00,289270016,Malignant neoplasm of lateral wall of urinary bladder,188241004,289270016
Primary malignancy bladder,B493.00,289271017,Malignant neoplasm of anterior wall of urinary bladder,188242006,289271017
Primary malignancy bladder,B494.00,289272012,Malignant neoplasm of posterior wall of urinary bladder,188243001,289272012
Primary malignancy bladder,B495.00,289275014,Malignant neoplasm of bladder neck,188244007,289275014
Primary malignancy bladder,B496.00,289276010,Malignant neoplasm of ureteric orifice,188245008,289276010
Primary malignancy bladder,B497.00,720951000006119,Malignant neoplasm of urachus,363456000,482708010
Primary malignancy bladder,B498.00,459399016,Local recurrence of malignant tumour of urinary bladder,314968009,459399016
Primary malignancy bladder,B49y.00,289279015,Malignant neoplasm of other site of urinary bladder,399326009,1773307015
Primary malignancy bladder,B49y000,289280017,"Malignant neoplasm, overlapping lesion of bladder",188247000,289280017
Primary malignancy bladder,B49z.00,289281018,Malignant neoplasm of urinary bladder NOS,399326009,1786811017
Primary malignancy bladder,B917.00,511442015,Neoplasm of uncertain behaviour of bladder,94754000,511442015
Primary malignancy bladder,ZV10511,1227573010,[V]Personal history of malignant neoplasm of bladder,415087005,2531443011
