Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Primary malignancy other Skin and subcutaneous tissue,7G03K00,651081000006111,Excision of malignant skin tumour,301889008,443391016
Primary malignancy other Skin and subcutaneous tissue,7G05600,598801000000114,Excision biopsy of rodent ulcer,428796002,598801000000114
Primary malignancy other Skin and subcutaneous tissue,7G05D00,598561000000110,Excision biopsy of basal cell carcinoma,428796002,598561000000110
Primary malignancy other Skin and subcutaneous tissue,B33..00,403700013,Malignant neoplasm of skin,372130007,1210707014
Primary malignancy other Skin and subcutaneous tissue,B33..11,215751000000116,Basal cell carcinoma of skin,254701007,379314010
Primary malignancy other Skin and subcutaneous tissue,B33..13,379315011,Rodent ulcer,254701007,379315011
Primary malignancy other Skin and subcutaneous tissue,B33..14,289066018,Malignant neoplasm of sebaceous gland,94000008,155506013
Primary malignancy other Skin and subcutaneous tissue,B33..15,721091000006119,Malignant neoplasm of sweat gland,94081005,155602015
Primary malignancy other Skin and subcutaneous tissue,B33..16,411225019,Epithelioma basal cell,275265005,411225019
Primary malignancy other Skin and subcutaneous tissue,B330.00,155542017,Malignant neoplasm of skin of lip,94032008,155542017
Primary malignancy other Skin and subcutaneous tissue,B331.00,726261000006112,Malignant tumour of eyelid,231829006,347398012
Primary malignancy other Skin and subcutaneous tissue,B331000,454201010,Malignant neoplasm of canthus,310599006,454201010
Primary malignancy other Skin and subcutaneous tissue,B331100,457110018,Malignant neoplasm of upper eyelid,313249007,457110018
Primary malignancy other Skin and subcutaneous tissue,B331200,457111019,Malignant neoplasm of lower eyelid,313250007,457111019
Primary malignancy other Skin and subcutaneous tissue,B332.00,720511000006113,Malignant neoplasm of skin of ear and external auricular canal,188089003,289077012
Primary malignancy other Skin and subcutaneous tissue,B332000,289079010,Malignant neoplasm of skin of auricle (ear),188090007,289079010
Primary malignancy other Skin and subcutaneous tissue,B332100,289080013,Malignant neoplasm of skin of external auditory meatus,188091006,289080013
Primary malignancy other Skin and subcutaneous tissue,B332200,455404011,Malignant neoplasm of pinna NEC,277156006,413589015
