Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Primary malignancy stomach,B107.00,638841000000113,Siewert type I adenocarcinoma,342571000000109,638841000000113
Primary malignancy stomach,B11..00,721851000006117,Malignant tumour of stomach,363349007,482498019
Primary malignancy stomach,B110.00,288625013,Malignant neoplasm of cardia of stomach,187732006,288625013
Primary malignancy stomach,B110000,288628010,Malignant neoplasm of cardiac orifice of stomach,187733001,288628010
Primary malignancy stomach,B110100,288632016,Malignant neoplasm of cardio-oesophageal junction of stomach,187734007,288632016
Primary malignancy stomach,B110111,288631011,Malignant neoplasm of gastro-oesophageal junction,187734007,288631011
Primary malignancy stomach,B110z00,288633014,Malignant neoplasm of cardia of stomach NOS,187732006,288625013
Primary malignancy stomach,B111.00,288635019,Malignant neoplasm of pylorus of stomach,187736009,288635019
Primary malignancy stomach,B111000,722341000006119,Malignant neoplasm of prepylorus of stomach,1090291000000102,2731441000000111
Primary malignancy stomach,B111100,288638017,Malignant neoplasm of pyloric canal of stomach,187738005,288638017
Primary malignancy stomach,B111z00,288639013,Malignant neoplasm of pylorus of stomach NOS,187736009,288634015
Primary malignancy stomach,B112.00,288641014,Malignant neoplasm of pyloric antrum of stomach,187740000,288641014
Primary malignancy stomach,B113.00,288644018,Malignant neoplasm of fundus of stomach,187741001,288644018
Primary malignancy stomach,B114.00,288647013,Malignant neoplasm of body of stomach,187742008,288647013
Primary malignancy stomach,B115.00,288649011,Malignant tumour of lesser curve of stomach,269459004,403678014
Primary malignancy stomach,B116.00,288650011,Malignant neoplasm of greater curve of stomach unspecified,269460009,403680015
Primary malignancy stomach,B117.00,1219534017,"Malignant neoplasm, overlapping lesion of stomach",109836006,1219534017
Primary malignancy stomach,B118.00,638721000000113,Siewert type II adenocarcinoma,342511000000104,638721000000113
Primary malignancy stomach,B119.00,638821000000118,Siewert type III adenocarcinoma,342561000000102,638821000000118
Primary malignancy stomach,B11y.00,288652015,Malignant neoplasm of other specified site of stomach,363349007,482497012
Primary malignancy stomach,B11y000,288653013,Malignant neoplasm of anterior wall of stomach,1090981000000107,2732841000000117
Primary malignancy stomach,B11y100,288654019,Malignant neoplasm of posterior wall of stomach,1090971000000105,2732821000000112
Primary malignancy stomach,B11yz00,288655018,Malignant neoplasm of other specified site of stomach NOS,363349007,482497012
Primary malignancy stomach,B11z.00,288656017,Malignant tumour of stomach,363349007,482498019
Primary malignancy stomach,B802.00,153367015,Carcinoma in situ of stomach,92756002,153367015
Primary malignancy stomach,B802000,153124018,Carcinoma in situ of cardia of stomach,92560002,153124018
Primary malignancy stomach,B802100,153174016,Carcinoma in situ of fundus of stomach,92598002,153174016
Primary malignancy stomach,B802200,153111018,Carcinoma in situ of body of stomach,92549006,153111018
Primary malignancy stomach,B802z00,290741017,Carcinoma in situ of stomach NOS,92756002,153367015
Primary malignancy stomach,B902000,1773479017,Neoplasm of uncertain behaviour of stomach,399967006,1773479017
Primary malignancy stomach,ZV10018,1227553017,[V]Personal history of malignant neoplasm of stomach,415080007,2531431010
