Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Secondary malignancy and metastasis,1D18.00,459732012,Pain from metastases,315241008,459732012
Secondary malignancy and metastasis,5136.00,261676014,X-ray metastasis control,168516003,261676014
Secondary malignancy and metastasis,B153.00,151331000006114,Secondary malignant neoplasm of liver,94381002,156291015
Secondary malignancy and metastasis,B56..00,406333010,Secondary malignant neoplasm of lymph node,94392001,156323012
Secondary malignancy and metastasis,B56..11,732441000006113,Lymph node metastases,94392001,156323012
Secondary malignancy and metastasis,B560.00,157761000006113,Metastasis to head and neck lymph node,303194003,445248014
Secondary malignancy and metastasis,B560000,157821000006114,Secondary malignant neoplasm of parotid lymph nodes,94475009,156541015
Secondary malignancy and metastasis,B560100,157961000006111,Secondary malignant neoplasm of mastoid lymph nodes,1090151000000104,2731161000000118
Secondary malignancy and metastasis,B560200,157921000006117,Secondary malignant neoplasm of superficial cervical lymph nodes,1090141000000102,2731141000000119
Secondary malignancy and metastasis,B560300,157971000006116,Secondary malignant neoplasm of occipital lymph nodes,94449005,156479010
Secondary malignancy and metastasis,B560400,157591000006113,Secondary malignant neoplasm of parotid lymph nodes,94475009,156541015
Secondary malignancy and metastasis,B560500,157891000006111,Secondary malignant neoplasm of submandibular lymph nodes,94609005,156851012
Secondary malignancy and metastasis,B560600,157801000006116,Secondary malignant neoplasm of lymph nodes of face,94393006,156327013
Secondary malignancy and metastasis,B560700,157901000006110,Secondary malignant neoplasm of submental lymph nodes,94611001,156855015
Secondary malignancy and metastasis,B560800,157491000006114,Secondary malignant neoplasm of anterior cervical lymph nodes,1090131000000106,2731121000000114
Secondary malignancy and metastasis,B560900,157571000006112,Secondary malignant neoplasm of deep cervical lymph nodes,1090121000000109,2731101000000117
Secondary malignancy and metastasis,B560z00,152611000006116,Secondary unspec malig neop lymph nodes head/face/neck NOS,303194003,445248014
Secondary malignancy and metastasis,B561.00,157751000006111,Secondary and unspec malig neop intrathoracic lymph nodes,94351005,156213018
Secondary malignancy and metastasis,B561000,157691000006112,Secondary malignant neoplasm of internal mammary lymph nodes,1090091000000108,2731041000000115
Secondary malignancy and metastasis,B561100,157671000006111,Secondary malignant neoplasm of intercostal lymph nodes,94344001,156191012
Secondary malignancy and metastasis,B561200,157601000006117,Secondary malignant neoplasm of diaphragmatic lymph nodes,1090161000000101,2731181000000110
Secondary malignancy and metastasis,B561300,157481000006111,Secondary malignant neoplasm of mediastinal lymph nodes,94408005,156373010
Secondary malignancy and metastasis,B561400,157861000006115,Secondary and unspec malig neop post mediastinal lymph nodes,94408005,156373010
Secondary malignancy and metastasis,B561500,157831000006112,Secondary and unspec malig neop paratracheal lymph nodes,1090081000000106,2731021000000110
Secondary malignancy and metastasis,B561600,157911000006113,Secondary malignant neoplasm of tracheobronchial lymph nodes,94642006,156931014
Secondary malignancy and metastasis,B561700,157641000006115,Secondary malignant neoplasm of tracheobronchial lymph nodes,94642006,156931014
Secondary malignancy and metastasis,B561800,157531000006114,Secondary and unspec malig neop bronchopulmonary lymph nodes,94227002,155885019
Secondary malignancy and metastasis,B561900,157871000006110,Secondary malignant neoplasm of bronchopulmonary lymph nodes,94227002,155885019
Secondary malignancy and metastasis,B561z00,157741000006114,Secondary and unspec malig neop intrathoracic LN NOS,94351005,156213018
Secondary malignancy and metastasis,B562.00,157711000006110,Secondary and unspec malig neop intra-abdominal lymph nodes,94347008,156199014
Secondary malignancy and metastasis,B562000,157551000006119,Secondary malignant neoplasm of coeliac lymph nodes,1090191000000107,2731241000000112
Secondary malignancy and metastasis,B562100,157941000006112,Secondary malignant neoplasm of mesenteric lymph nodes,94410007,156379014
Secondary malignancy and metastasis,B562200,157631000006113,Secondary malignant neoplasm of mesenteric lymph nodes,94410007,156379014
Secondary malignancy and metastasis,B562300,157561000006117,Secondary malignant neoplasm of iliac lymph nodes,94336001,156171017
Secondary malignancy and metastasis,B562400,157611000006119,Secondary and unspec malig neop external iliac lymph nodes,94336001,156171017
Secondary malignancy and metastasis,B562z00,157701000006112,Secondary and unspec malig neop intra-abdominal LN NOS,94347008,156199014
Secondary malignancy and metastasis,B563.00,157501000006118,Secondary malignant neoplasm of lymph nodes of upper limb,94398002,156345013
Secondary malignancy and metastasis,B563000,157521000006111,Secondary malignant neoplasm of axillary lymph nodes,94181007,155759012
Secondary malignancy and metastasis,B563100,157951000006114,Secondary malignant neoplasm of supratrochlear lymph nodes,1090101000000100,2731061000000119
Secondary malignancy and metastasis,B563200,157651000006118,Secondary malignant neoplasm of infraclavicular lymph nodes,94338000,156175014
Secondary malignancy and metastasis,B563300,157841000006119,Secondary malignant neoplasm of pectoral axillary lymph nodes,94477001,156545012
Secondary malignancy and metastasis,B563z00,157511000006115,Secondary and unspec malig neop axilla and upper limb LN NOS,94398002,156345013
Secondary malignancy and metastasis,B564.00,157661000006116,Secondary and unspec malig neop inguinal and lower limb LN,94395004,156335011
Secondary malignancy and metastasis,B564000,157931000006119,Secondary malignant neoplasm of superficial inguinal lymph nodes,94612008,156857011
Secondary malignancy and metastasis,B564100,157581000006110,Secondary malignant neoplasm of deep inguinal lymph nodes,1090201000000109,2731261000000113
Secondary malignancy and metastasis,B564z00,157811000006118,Secondary and unspec malig neop of inguinal and leg LN NOS,94395004,156335011
Secondary malignancy and metastasis,B565.00,157731000006116,Secondary and unspec malig neop intrapelvic lymph nodes,94350006,156209013
Secondary malignancy and metastasis,B565000,157681000006114,Secondary malignant neoplasm of internal iliac lymph nodes,1090221000000100,2731301000000115
Secondary malignancy and metastasis,B565100,157621000006110,Secondary malignant neoplasm of inferior epigastric lymph nodes,1090181000000105,2731221000000117
Secondary malignancy and metastasis,B565200,157541000006116,Secondary malignant neoplasm of circumflex iliac lymph nodes,1090211000000106,2731281000000116
Secondary malignancy and metastasis,B565300,157881000006113,Secondary malignant neoplasm of sacral lymph nodes,1090171000000108,2731201000000114
Secondary malignancy and metastasis,B565z00,157721000006119,Secondary and unspec malig neop intrapelvic LN NOS,94350006,156209013
Secondary malignancy and metastasis,B56y.00,157771000006118,Secondary and unspec malig neop lymph nodes multiple sites,303201005,445249018
Secondary malignancy and metastasis,B56z.00,157781000006115,Secondary and unspec malig neop lymph nodes NOS,94392001,156323012
Secondary malignancy and metastasis,B57..00,151111000006118,Secondary malignant neoplasm of respiratory and digestive systems,269473008,403703010
Secondary malignancy and metastasis,B57..11,704711000006119,Metastases of respiratory and/or digestive systems,269473008,403703010
Secondary malignancy and metastasis,B57..12,380193010,Secondary carcinoma of respiratory and/or digestive systems,269473008,403703010
Secondary malignancy and metastasis,B570.00,156319016,Secondary malignant neoplasm of lung,94391008,156319016
Secondary malignancy and metastasis,B571.00,156375015,Secondary malignant neoplasm of mediastinum,94409002,156375015
Secondary malignancy and metastasis,B572.00,156585018,Secondary malignant neoplasm of pleura,94493005,156585018
Secondary malignancy and metastasis,B573.00,289515018,Secondary malignant neoplasm of respiratory tract,94515004,156631011
Secondary malignancy and metastasis,B574.00,151621000006119,Secondary malignant neoplasm of small intestine,94580002,156781013
Secondary malignancy and metastasis,B574000,156007019,Secondary malignant neoplasm of duodenum,94275007,156007019
Secondary malignancy and metastasis,B574100,156231017,Secondary malignant neoplasm of jejunum,94357009,156231017
Secondary malignancy and metastasis,B574200,156169017,Secondary malignant neoplasm of ileum,94335002,156169017
Secondary malignancy and metastasis,B574z00,151151000006117,Secondary malig neop of small intestine or duodenum NOS,94580002,156781013
Secondary malignancy and metastasis,B575.00,151321000006111,Secondary malignant neoplasm of large intestine,94365007,156249017
Secondary malignancy and metastasis,B575000,155967013,Secondary malignant neoplasm of colon,94260004,155967013
Secondary malignancy and metastasis,B575100,156627017,Secondary malignant neoplasm of rectum,94513006,156627017
Secondary malignancy and metastasis,B575z00,151101000006116,Secondary malig neop of large intestine or rectum NOS,94365007,156249017
Secondary malignancy and metastasis,B576.00,151131000006112,Secondary malignant neoplasm of retroperitoneum and peritoneum,188445006,289527015
Secondary malignancy and metastasis,B576000,1215809015,Secondary malignant neoplasm of retroperitoneum,94628003,1215809015
