Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Chronic sinusitis,741..00,681801000006118,Nasal sinus procedure,373657001,1212120013
Chronic sinusitis,7410.00,267622019,Operations on maxillary antrum using sublabial approach,172855001,267622019
Chronic sinusitis,7410000,267623012,Ligation of maxillary artery using sublabial approach,172856000,267623012
Chronic sinusitis,7410100,532911000006116,Caldwell Luc drainage of maxillary antrum,60660006,100788018
Chronic sinusitis,7410200,267624018,Irrigation of maxillary antrum using sublabial approach,172857009,267624018
Chronic sinusitis,7410300,95211000006113,Transantral neurectomy of vidian nerve using sublabial approach,172858004,267625017
Chronic sinusitis,7410y00,46091000006113,Operation on maxillary antrum using sublabial approach OS,172855001,267622019
Chronic sinusitis,7410z00,267628015,Operation on maxillary antrum using sublabial approach NOS,172855001,267622019
Chronic sinusitis,7411.00,393567012,Operation on maxillary antrum,232496002,348324016
Chronic sinusitis,7411.11,348325015,Reconstruction of maxillary antrum,232497006,348325015
Chronic sinusitis,7411000,267632014,Drainage of maxillary antrum,265025004,393568019
Chronic sinusitis,7411100,493513017,Excision of lesion of maxillary antrum,43071001,493513017
Chronic sinusitis,7411200,2476635012,Maxillary sinusotomy by intranasal approach,33939007,56661016
Chronic sinusitis,7411211,768721000006116,Intranasal antrostomy and drainage,33939007,56661016
Chronic sinusitis,7411300,267636012,Biopsy of lesion of maxillary antrum,172865007,267636012
Chronic sinusitis,7411400,1233659015,Closure of fistula between maxillary antrum and mouth,73776009,1233659015
Chronic sinusitis,7411500,194461000006119,External maxillary antrostomy,287417002,426951012
Chronic sinusitis,7411511,348326019,Irrigation of maxillary antrum NEC,303633008,445816017
Chronic sinusitis,7411600,267640015,Removal of antrochoanal polyp,172867004,267640015
Chronic sinusitis,7411700,2579013,Radical maxillary antrotomy,897004,2579013
Chronic sinusitis,7411711,613001000006112,Denker radical maxillary antrotomy,897004,2579013
Chronic sinusitis,7411800,267645013,Direct closure of defect of maxilla,172869001,267645013
Chronic sinusitis,7411900,267646014,Reconstruction of defect of maxilla with skin graft,172870000,267646014
Chronic sinusitis,7411A00,267647017,Reconstruction of maxilla with local flap,172871001,267647017
Chronic sinusitis,7411D00,267651015,Reconstruction of maxilla with bone graft,172874009,267651015
Chronic sinusitis,7411E00,451774016,Intranasal antrostomy and biopsy of maxillary antrum,308442009,451774016
Chronic sinusitis,7411F00,768731000006118,Intranasal antrostomy and excision of lesion of maxillary antrum,308443004,451775015
Chronic sinusitis,7411G00,457173011,Bilateral antral washout,313301004,457173011
Chronic sinusitis,7411y00,267655012,Other specified other operation on maxillary antrum,232496002,348324016
Chronic sinusitis,7411z00,267656013,Other operation on maxillary antrum NOS,232496002,348324016
Chronic sinusitis,7412.00,267657016,Operations on frontal sinus,172880001,267657016
Chronic sinusitis,7412000,393569010,External frontoethmoidectomy,265026003,393569010
Chronic sinusitis,7412011,754191000006119,Killian external frontoethmoidectomy,265026003,393569010
Chronic sinusitis,7412013,266061000006119,Ogston external frontoethmoidectomy,265026003,393569010
Chronic sinusitis,7412100,267666017,Intranasal ethmoidectomy,172883004,267666017
Chronic sinusitis,7412200,267667014,External ethmoidectomy,172884005,267667014
Chronic sinusitis,7412300,393570011,Transantral ethmoidectomy,265027007,393570011
Chronic sinusitis,7412311,827711000006117,Horgan transantral ethmoidectomy,265027007,393570011
Chronic sinusitis,7412400,520041000006116,Bone flap to frontal sinus,172886007,267673010
Chronic sinusitis,7412500,1235550012,Trephine of frontal sinus,90240003,1235550012
Chronic sinusitis,7412600,267675015,Craniofacial ethmoidectomy,713159008,3288241012
Chronic sinusitis,7412700,267676019,Radical frontal sinus antrostomy,172888008,267676019
Chronic sinusitis,7412800,267677011,Frontal sinusotomy,75810001,125913016
Chronic sinusitis,7412900,2674384018,Median drainage of frontal sinus,427270000,2674384018
Chronic sinusitis,7412y00,267678018,Other specified operation on frontal sinus,172880001,1489747019
Chronic sinusitis,7412z00,267679014,Operation on frontal sinus,172880001,1489747019
Chronic sinusitis,7413.00,44491000006112,Operations on sphenoid sinus,172892001,267680012
Chronic sinusitis,7413000,1486198019,Drainage of sphenoid sinus,392215001,1486198019
Chronic sinusitis,7413100,1486201012,Puncture of sphenoid sinus,392218004,1486201012
Chronic sinusitis,7413200,2674385017,Repair of sphenoidal sinus,426723009,2674385017
Chronic sinusitis,7413y00,267682016,Operation on sphenoid sinus,172892001,267680012
Chronic sinusitis,7413z00,267683014,Operation on sphenoid sinus NOS,172892001,267680012
Chronic sinusitis,7414.00,44571000006110,Operations on unspecified nasal sinus,112788002,183915016
