Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Peptic ulcer disease,14C1.00,397833011,H/O: peptic ulcer,266998003,397833011
Peptic ulcer disease,14C1.11,411541019,H/O: duodenal ulcer,275547005,411541019
Peptic ulcer disease,14C1.12,411542014,H/O: gastric ulcer,275548000,411542014
Peptic ulcer disease,1956.00,252563014,Peptic ulcer symptoms,162033007,252563014
Peptic ulcer disease,7612111,502691000006110,Balfour excision of gastric ulcer,287832000,427398016
Peptic ulcer disease,7612500,269116019,Resection of gastric ulcer by cautery,173731008,269116019
Peptic ulcer disease,761D500,459010010,Endoscopic injection haemostasis of duodenal ulcer,314627002,459010010
Peptic ulcer disease,761D600,459013012,Endoscopic injection haemostasis of gastric ulcer,314629004,459013012
Peptic ulcer disease,761J.00,269309011,Operations on gastric ulcer,173841001,269309011
Peptic ulcer disease,761J.11,269308015,Stomach ulcer operations,173841001,269308015
Peptic ulcer disease,761J000,269310018,Closure of perforated gastric ulcer,173842008,269310018
Peptic ulcer disease,761J100,394147019,Closure of gastric ulcer NEC,173841001,269307013
Peptic ulcer disease,761J111,410931019,Suture of ulcer of stomach NEC,307259004,450476012
Peptic ulcer disease,761Jy00,269314010,Gastric ulcer operation,173841001,269307013
Peptic ulcer disease,761Jz00,269315011,Operation on gastric ulcer NOS,173841001,269307013
Peptic ulcer disease,7627.00,269371013,Operations on duodenal ulcer,173887007,269371013
Peptic ulcer disease,7627000,269374017,Closure of perforated duodenal ulcer,173889005,269374017
Peptic ulcer disease,7627100,118251000006114,Suture of duodenal ulcer not elsewhere classified,307260009,450478013
Peptic ulcer disease,7627200,362951000000115,Oversew of blood vessel of duodenal ulcer,226891000000104,362951000000115
Peptic ulcer disease,7627y00,269376015,Duodenal ulcer operation,173887007,269370014
Peptic ulcer disease,7627z00,269377012,Operation on duodenal ulcer NOS,173887007,269370014
Peptic ulcer disease,J102000,498969017,Peptic ulcer of oesophagus,6129004,498969017
Peptic ulcer disease,J11..00,221001000000111,Gastric ulcer,397825006,1777426014
Peptic ulcer disease,J11..11,37964010,Prepyloric ulcer,22620000,37964010
Peptic ulcer disease,J11..12,65759011,Pyloric ulcer,39204006,65759011
Peptic ulcer disease,J110.00,158227015,Acute gastric ulcer,95529005,158227015
Peptic ulcer disease,J110000,302463015,Acute gastric ulcer without mention of complication,95529005,158227015
Peptic ulcer disease,J110100,508664015,Acute gastric ulcer with haemorrhage,89748001,508664015
Peptic ulcer disease,J110111,1235493010,Bleeding acute gastric ulcer,89748001,1235493010
Peptic ulcer disease,J110200,33419017,Acute gastric ulcer with perforation,19850005,33419017
Peptic ulcer disease,J110300,495273013,Acute gastric ulcer with haemorrhage AND perforation,48974009,495273013
Peptic ulcer disease,J110400,302470015,Acute gastric ulcer with obstruction,196632005,302470015
Peptic ulcer disease,J110y00,302471016,Acute gastric ulcer unspecified,95529005,158227015
Peptic ulcer disease,J110z00,302472011,Acute gastric ulcer NOS,95529005,158227015
Peptic ulcer disease,J111.00,158231014,Chronic gastric ulcer,95530000,158231014
Peptic ulcer disease,J111000,302473018,Chronic gastric ulcer without mention of complication,95530000,158231014
Peptic ulcer disease,J111100,497833010,Chronic gastric ulcer with haemorrhage,57246001,497833010
Peptic ulcer disease,J111111,1231704018,Bleeding chronic gastric ulcer,57246001,1231704018
Peptic ulcer disease,J111200,52347016,Chronic gastric ulcer with perforation,31301004,52347016
Peptic ulcer disease,J111211,484836012,Perforated chronic gastric ulcer,31301004,484836012
Peptic ulcer disease,J111300,554311000006114,Chronic gastric ulcer with haemorrhage AND with perforation,76181002,503219010
Peptic ulcer disease,J111400,302481017,Chronic gastric ulcer with obstruction,196639001,302481017
Peptic ulcer disease,J111y00,302482012,Chronic gastric ulcer unspecified,95530000,158231014
Peptic ulcer disease,J111z00,302483019,Chronic gastric ulcer NOS,95530000,158231014
Peptic ulcer disease,J112.00,2649532016,Anti-platelet induced gastric ulcer,424301005,2649532016
Peptic ulcer disease,J112z00,317691000000117,Anti-platelet induced gastric ulcer NOS,424301005,2641862015
Peptic ulcer disease,J113.00,1562921000006116,Non-steroidal anti-inflammatory drug induced gastric ulcer,248891000000103,407821000000113
Peptic ulcer disease,J113z00,1562931000006118,Non steroidal anti inflammatory drug induced gastric ulc NOS,248891000000103,407821000000113
Peptic ulcer disease,J11y.00,302485014,Unspecified gastric ulcer,397825006,1777426014
Peptic ulcer disease,J11y000,302486010,Unspecified gastric ulcer without mention of complication,397825006,1777426014
Peptic ulcer disease,J11y100,302487018,Gastric ulcer with haemorrhage,15902003,477573015
Peptic ulcer disease,J11y200,302489015,Gastric ulcer with perforation,9829001,17164015
Peptic ulcer disease,J11y400,302492016,Gastric ulcer with obstruction,849591000000103,2201671000000116
Peptic ulcer disease,J11yy00,81311000006115,Gastric ulcer with haemorrhage AND perforation,62366003,499256017
Peptic ulcer disease,J11yz00,302495019,Unspecified gastric ulcer NOS,397825006,1777426014
Peptic ulcer disease,J11z.00,396345015,Gastric ulcer NOS,397825006,1777426014
Peptic ulcer disease,J11z.11,353273019,Gastric erosions,235652004,353273019
Peptic ulcer disease,J11z.12,457315015,Multiple gastric ulcers,313425006,457315015
Peptic ulcer disease,J12..00,632091000006116,Duodenal ulcer,51868009,1231048015
Peptic ulcer disease,J120.00,302502012,Acute duodenal ulcer,196652006,302502012
Peptic ulcer disease,J120000,302504013,Acute duodenal ulcer without mention of complication,196652006,302502012
Peptic ulcer disease,J120100,474430017,Acute duodenal ulcer with haemorrhage,12847006,474430017
Peptic ulcer disease,J120200,101926016,Acute duodenal ulcer with perforation,61347001,101926016
Peptic ulcer disease,J120300,507303017,Acute duodenal ulcer with haemorrhage AND perforation,86895006,507303017
Peptic ulcer disease,J120400,302511012,Acute duodenal ulcer with obstruction,196658005,302511012
Peptic ulcer disease,J120y00,302512017,Acute duodenal ulcer unspecified,196652006,302502012
Peptic ulcer disease,J120z00,302513010,Acute duodenal ulcer NOS,196652006,302502012
Peptic ulcer disease,J121.00,206556016,Chronic duodenal ulcer,128286008,206556016
Peptic ulcer disease,J121000,302514016,Chronic duodenal ulcer without mention of complication,128286008,206556016
Peptic ulcer disease,J121100,508524014,Chronic duodenal ulcer with haemorrhage,89469000,508524014
Peptic ulcer disease,J121111,1235462014,Bleeding chronic duodenal ulcer,89469000,1235462014
