Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Unspecified or Rare Diabetes,13L4.11,418920011,History of diabetes mellitus in child of subject,444094009,2840938016
Unspecified or Rare Diabetes,1434.00,251591016,H/O: diabetes mellitus,161445009,251591016
Unspecified or Rare Diabetes,1M8..00,2415191000000113,Diabetic peripheral neuropathic pain,944141000000108,2415191000000113
Unspecified or Rare Diabetes,2126300,616801000006114,Diabetes resolved,315051004,459520010
Unspecified or Rare Diabetes,212H.00,459520010,Diabetes resolved,315051004,459520010
Unspecified or Rare Diabetes,2BBF.00,169731000006118,Retinal abnormality - diabetes-related,4855003,1230609013
Unspecified or Rare Diabetes,2BBr.00,733161000000116,Impaired vision due to diabetic retinopathy,373041000000101,733161000000116
Unspecified or Rare Diabetes,2G51000,764191000006112,Foot abnormality - diabetes related,280137006,417658010
Unspecified or Rare Diabetes,2G5C.00,764201000006110,Foot abnormality - diabetes related,280137006,417658010
Unspecified or Rare Diabetes,66A5.00,264682013,Diabetic on insulin,170747006,264682013
Unspecified or Rare Diabetes,66AI.00,264707013,Diabetic - good control,170763003,264707013
Unspecified or Rare Diabetes,66AJ.00,401531012,Diabetic - poor control,268519009,401531012
Unspecified or Rare Diabetes,66AJ.11,411891014,Unstable diabetes,11530004,19931010
Unspecified or Rare Diabetes,66AJ100,19931010,Brittle diabetes,11530004,19931010
Unspecified or Rare Diabetes,66AJz00,264716012,Diabetic - poor control NOS,268519009,401531012
Unspecified or Rare Diabetes,66AK.00,264717015,Diabetic - cooperative patient,170769004,264717015
Unspecified or Rare Diabetes,66AL.00,264718013,Diabetic-uncooperative patient,170770003,264718013
Unspecified or Rare Diabetes,66As.00,1177721000000112,Diabetic on subcutaneous treatment,527691000000107,1177721000000112
Unspecified or Rare Diabetes,66AV.00,458512016,Diabetic on insulin and oral treatment,314194001,458512016
Unspecified or Rare Diabetes,66o2.00,2460251000000115,Diabetic on non-insulin injectable medication,719566006,3316952014
Unspecified or Rare Diabetes,66o6.00,1966321000006112,Diabetic on insulin and glucagon-like peptide 1 receptor agonist,976361000000100,2483761000000117
Unspecified or Rare Diabetes,C10..00,121589010,Diabetes mellitus,73211009,121589010
Unspecified or Rare Diabetes,C100.00,292466013,Diabetes mellitus without complication,111552007,178796018
Unspecified or Rare Diabetes,C100000,616621000006115,Type 1 diabetes mellitus without complication,313435000,457326014
Unspecified or Rare Diabetes,C100011,772161000006119,Insulin dependent diabetes mellitus,73211009,121589010
Unspecified or Rare Diabetes,C100100,616511000006110,"Diabetes mellitus, adult onset, no mention of complication",313436004,457329019
Unspecified or Rare Diabetes,C100111,223291000000111,Maturity onset diabetes,44054006,493774016
Unspecified or Rare Diabetes,C100112,73466011,Non-insulin dependent diabetes mellitus,44054006,493773010
Unspecified or Rare Diabetes,C100z00,292475010,Diabetes mellitus NOS with no mention of complication,111552007,178796018
Unspecified or Rare Diabetes,C101.00,2622193012,Diabetes mellitus with ketoacidosis,420422005,2622193012
Unspecified or Rare Diabetes,C101100,616531000006116,"Diabetes mellitus, adult onset, with ketoacidosis",421750000,2618220016
Unspecified or Rare Diabetes,C101y00,292478012,Other specified diabetes mellitus with ketoacidosis,420422005,2616611010
Unspecified or Rare Diabetes,C101z00,292479016,Diabetes mellitus NOS with ketoacidosis,420422005,2616611010
Unspecified or Rare Diabetes,C102.00,292480018,Diabetes mellitus with hyperosmolar coma,422126006,2618221017
Unspecified or Rare Diabetes,C102000,292482014,"Diabetes mellitus, juvenile type, with hyperosmolar coma",190330002,292482014
Unspecified or Rare Diabetes,C102100,292483016,"Diabetes mellitus, adult onset, with hyperosmolar coma",190331003,292483016
Unspecified or Rare Diabetes,C102z00,292484010,Hyperosmolar coma associated with diabetes mellitus,422126006,2618221017
Unspecified or Rare Diabetes,C103.00,616381000006111,Diabetes mellitus with ketoacidotic coma,26298008,44045012
Unspecified or Rare Diabetes,C103100,616541000006114,"Diabetes mellitus, adult onset, with ketoacidotic coma",421847006,2618218019
Unspecified or Rare Diabetes,C103y00,292488013,Coma associated with diabetes mellitus,420662003,2618230013
Unspecified or Rare Diabetes,C103z00,292489017,Diabetes mellitus NOS with ketoacidotic coma,420422005,2616611010
Unspecified or Rare Diabetes,C104.00,616461000006112,Diabetes mellitus with renal manifestation,127013003,301016
Unspecified or Rare Diabetes,C104.11,205225016,Diabetic nephropathy,127013003,205225016
Unspecified or Rare Diabetes,C104000,616661000006114,"Diabetes mellitus, juvenile type, with renal manifestation",421893009,2618211013
Unspecified or Rare Diabetes,C104100,616551000006111,"Diabetes mellitus, adult onset, with renal manifestation",420279001,2615535015
Unspecified or Rare Diabetes,C104y00,292495016,Other specified diabetes mellitus with renal complications,127013003,301016
Unspecified or Rare Diabetes,C104z00,292496015,Diabetes mellitus with nephropathy NOS,127013003,301016
Unspecified or Rare Diabetes,C105.00,616421000006118,Eye disorder due to diabetes mellitus,25093002,3688467012
Unspecified or Rare Diabetes,C105000,616601000006113,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",739681000,3537386015
Unspecified or Rare Diabetes,C105100,616491000006116,"Diabetes mellitus, adult onset, + ophthalmic manifestation",422099009,2618233010
Unspecified or Rare Diabetes,C105y00,13771000006110,Other specified diabetes mellitus with ophthalmic complicatn,25093002,42062018
Unspecified or Rare Diabetes,C105z00,292503016,Diabetes mellitus NOS with ophthalmic manifestation,25093002,42062018
Unspecified or Rare Diabetes,C106.00,616391000006114,Nervous system disorder due to diabetes mellitus,422088007,3688477014
Unspecified or Rare Diabetes,C106.11,616921000006113,Diabetic amyotrophy,39058009,65526011
Unspecified or Rare Diabetes,C106.12,345487013,Diabetes mellitus with neuropathy,230572002,345487013
Unspecified or Rare Diabetes,C106.13,616451000006110,Diabetes mellitus with polyneuropathy,49455004,82373015
Unspecified or Rare Diabetes,C106000,616671000006119,"Diabetes mellitus, juvenile, + neurological manifestation",421468001,2618197018
Unspecified or Rare Diabetes,C106100,616481000006119,"Diabetes mellitus, adult onset, + neurological manifestation",421326000,2618196010
Unspecified or Rare Diabetes,C106y00,13761000006115,Other specified diabetes mellitus with neurological comps,422088007,2618195014
Unspecified or Rare Diabetes,C106z00,292512019,Diabetes mellitus NOS with neurological manifestation,422088007,2618195014
Unspecified or Rare Diabetes,C107.00,616441000006113,Peripheral vascular disorder due to diabetes mellitus,421895002,3688501014
Unspecified or Rare Diabetes,C107.11,616351000006115,Diabetes mellitus with gangrene,422275004,2616612015
Unspecified or Rare Diabetes,C107.12,616831000006118,Diabetes with gangrene,422275004,2616612015
Unspecified or Rare Diabetes,C107000,616591000006117,"Diabetes mellitus, juvenile +peripheral circulatory disorder",421365002,2618205010
Unspecified or Rare Diabetes,C107100,616581000006115,"Diabetes mellitus, adult, + peripheral circulatory disorder",422166005,2618204014
Unspecified or Rare Diabetes,C107200,616561000006113,"Diabetes mellitus, adult with gangrene",421631007,2618206011
Unspecified or Rare Diabetes,C107300,787101000006114,IDDM with peripheral circulatory disorder,421895002,2618203015
Unspecified or Rare Diabetes,C107y00,13791000006111,Other specified diabetes mellitus with periph circ comps,421895002,2618203015
Unspecified or Rare Diabetes,C107z00,292523015,Diabetes mellitus NOS with peripheral circulatory disorder,421895002,2618203015
Unspecified or Rare Diabetes,C108.00,772171000006114,Insulin dependent diabetes mellitus,73211009,121589010
Unspecified or Rare Diabetes,C108.11,787111000006112,IDDM-Insulin dependent diabetes mellitus,73211009,121589010
Unspecified or Rare Diabetes,C108000,771501000006119,Insulin-dependent diabetes mellitus with renal complications,127013003,301016
Unspecified or Rare Diabetes,C108100,771491000006110,Insulin-dependent diabetes mellitus with ophthalmic comps,25093002,3688467012
Unspecified or Rare Diabetes,C108200,771481000006112,Insulin-dependent diabetes mellitus with neurological comps,422088007,3688477014
Unspecified or Rare Diabetes,C108300,771381000006115,Insulin dependent diabetes mellitus with multiple complicatn,385041000000108,760111000000115
Unspecified or Rare Diabetes,C108400,72651000006114,Unstable insulin dependent diabetes mellitus,11530004,19931010
Unspecified or Rare Diabetes,C108500,771421000006113,Insulin dependent diabetes mellitus with ulcer,422183001,2623058011
Unspecified or Rare Diabetes,C108600,771351000006111,Insulin dependent diabetes mellitus with gangrene,422275004,2616612015
Unspecified or Rare Diabetes,C108700,771411000006117,Insulin dependent diabetes mellitus with retinopathy,4855003,9093013
Unspecified or Rare Diabetes,C108800,772181000006112,Insulin dependent diabetes mellitus - poor control,268519009,401531012
Unspecified or Rare Diabetes,C108900,772151000006116,Insulin dependent diabetes maturity onset,73211009,121589010
Unspecified or Rare Diabetes,C108A00,746791000006111,Insulin-dependent diabetes without complication,111552007,178796018
Unspecified or Rare Diabetes,C108B00,771371000006118,Insulin dependent diabetes mellitus with mononeuropathy,230577008,345492010
