Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Urolithiasis,14D3.00,251765015,H/O: urinary stone,161548009,251765015
Urolithiasis,1A52.00,12699010,Renal colic,7093002,12699010
Urolithiasis,1A52.11,176671000006112,"Renal colic, symptom",7093002,12699010
Urolithiasis,4G4..00,261016018,O/E: renal calculus,168041003,261016018
Urolithiasis,4G4..11,261017010,O/E: kidney stone,168041003,261017010
Urolithiasis,4G41.00,261018017,O/E: oxalate renal calculus,168042005,261018017
Urolithiasis,4G42.00,404562010,O/E: phosphate -staghorn-stone,269914004,404562010
Urolithiasis,4G42.11,411861016,Phosphate kidney stone,275893001,411861016
Urolithiasis,4G43.00,261022010,O/E: uric acid renal calculus,168044006,261022010
Urolithiasis,4G44.00,261023017,O/E: cystine renal calculus,168045007,261023017
Urolithiasis,4G4Z.00,261024011,O/E: renal stone NOS,168041003,261017010
Urolithiasis,4G6..00,261029018,O/E - ureteric calculus,168051002,261029018
Urolithiasis,4G7..00,261030011,O/E - urethral calculus,168052009,261030011
Urolithiasis,4G8..00,261031010,O/E - bladder calculus,168053004,261031010
Urolithiasis,4G81.00,404563017,O/E - vesical oxalate calculus,269915003,404563017
Urolithiasis,4G81.11,406706014,Oxalate bladder stone,271778003,406706014
Urolithiasis,4G82.00,404564011,O/E-vesical uric acid calculus,269916002,404564011
Urolithiasis,4G82.11,406707017,Uric acid bladder stone,271779006,406707017
Urolithiasis,4G83.00,404565012,O/E-vesical phosphate calculus,269917006,404565012
Urolithiasis,4G83.11,406708010,Phosphate bladder stone,271780009,406708010
Urolithiasis,4G8Z.00,261042018,O/E - bladder calculus NOS,168053004,261031010
Urolithiasis,7B05000,272375016,Nephrotomy with calculus removal,287734006,427287019
Urolithiasis,7B07.00,239331000006111,Percutaneous nephrolithotomy,386200002,1491474016
Urolithiasis,7B07.11,678201000006116,Nephroscopic percutaneous lithotripsy of renal calculus,386200002,1491474016
Urolithiasis,7B07.12,239211000006114,PCL - Percutaneous lithotripsy of renal calculus,386198008,1491473010
Urolithiasis,7B07000,272394014,Nephroscopy and ultrasound lithotripsy of renal calculus,175951002,272394014
Urolithiasis,7B07011,272393015,Endoscopic ultrasound fragmentation of renal calculus,175951002,272393015
Urolithiasis,7B07100,677391000006118,Nephroscopy and electrohydraulic lithotripsy of renal calculus,175952009,272395010
Urolithiasis,7B07200,677411000006118,Nephroscopy and laser lithotripsy of renal calculus,175953004,272396011
Urolithiasis,7B07211,272396011,Endoscopic laser fragmentation of renal calculus,175953004,272396011
Urolithiasis,7B07400,1488616013,Endoscopic extraction of calculus of kidney,450516001,2915897018
Urolithiasis,7B07y00,272399016,Other specified percutaneous renal stone surgery,386200002,1480380019
Urolithiasis,7B07z00,272400011,Percutaneous renal stone surgery NOS,386200002,1480380019
Urolithiasis,7B0B.00,481900014,Extracorporeal shockwave lithotripsy for renal calculus,393072009,1487042014
Urolithiasis,7B0B.11,481901013,Extracorporeal fragmentation of renal calculus,393072009,1487042014
Urolithiasis,7B0B000,649111000006118,ESWL for renal calculus of unspecified size,393072009,1487042014
