Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Urticaria,2F8..00,272521000006113,O/E - weals present,164361006,255812012
Urticaria,2F82.00,255812012,O/E - weals present,164361006,255812012
Urticaria,2F8Z.00,255815014,O/E - weals NOS,164361006,255812012
Urticaria,M12A200,18017016,Solar urticaria,10347006,18017016
Urticaria,M28..00,81555016,Urticaria,126485001,81555016
Urticaria,M280.00,63796016,Allergic urticaria,40178009,63796016
Urticaria,M280.11,221431000000110,Drug-induced urticaria,89322006,148117010
Urticaria,M281.00,70518019,Idiopathic urticaria,42265009,70518019
Urticaria,M282.00,309192011,Urticaria due to cold and heat,201261003,309192011
Urticaria,M282000,502810013,Cold urticaria,74774004,502810013
Urticaria,M282100,103389013,Thermal urticaria,62211002,103389013
Urticaria,M282111,819121000006110,Heat urticaria,62211002,103389013
Urticaria,M282z00,309193018,Urticaria due to cold and heat NOS,201261003,309192011
Urticaria,M283.00,13601014,Dermographic urticaria,7632005,503254015
Urticaria,M283.11,13608015,Factitial urticaria,402410006,1781553014
Urticaria,M284.00,85377012,Vibratory urticaria,51247001,85377012
Urticaria,M285.00,121407011,Cholinergic urticaria,73098005,121407011
Urticaria,M286.00,32639018,Contact urticaria,402305008,1781466012
Urticaria,M287.00,13612014,Physical urticaria,402601007,1781718016
Urticaria,M28y.00,399942012,Other specified urticaria,126485001,81555016
Urticaria,M28y.11,106893016,Nettle rash,126485001,81555016
Urticaria,M28y000,309203019,Urticaria geographica,201268009,309203019
Urticaria,M28y100,309204013,Menstrual urticaria,201269001,309204013
Urticaria,M28y200,71051000006113,Urticaria perstans,123584008,192073011
Urticaria,M28yz00,309206010,Other specified urticaria NOS,126485001,81555016
Urticaria,M28z.00,399943019,Urticaria NOS,126485001,81555016
Urticaria,M28z.11,369546013,Hives,247472004,369546013
Urticaria,Myu4.00,309337013,[X]Urticaria and erythema,462821000000106,938921000000110
Urticaria,Myu4000,309338015,[X]Other urticaria,126485001,81555016
Urticaria,PH32100,130662013,Urticaria pigmentosa,78745000,130662013
