"Disease","OPCS4code","OPCS4codeDescr"
"End stage renal disease","M01","Transplantation of kidney"
"End stage renal disease","M01.2","Allotransplantation of kidney from live donor"
"End stage renal disease","M01.3","Allotransplantation of kidney from cadaver NEC"
"End stage renal disease","M01.4","Allotransplantation of kidney from cadaver heart beating"
"End stage renal disease","M01.8","Other specified transplantation of kidney"
"End stage renal disease","M01.9","Unspecified transplantation of kidney"
"End stage renal disease","M02.6","Excision of rejected transplanted kidney"
"End stage renal disease","M02.7","Excision of transplanted kidney NEC"
"End stage renal disease","M08.4","Exploration of transplanted kidney"
"End stage renal disease","M17","Interventions associated with transplantation of kidney"
"End stage renal disease","M17.4","Post-transplantation of kidney examination - recipient"
"End stage renal disease","M17.9","Unspecified interventions associated with transplantation of kidney"
"End stage renal disease","X40","Compensation for renal failure"
"End stage renal disease","X40.1","Renal dialysis"
"End stage renal disease","X40.2","Peritoneal dialysis NEC"
"End stage renal disease","X40.3","Haemodialysis NEC"
"End stage renal disease","X40.5","Automated peritoneal dialysis"
"End stage renal disease","X40.6","Continuous ambulatory peritoneal dialysis"
"End stage renal disease","X41.1","Insertion of ambulatory peritoneal dialysis catheter"
"End stage renal disease","X41.2","Removal of ambulatory peritoneal dialysis catheter"
"End stage renal disease","X42.1","Insertion of temporary peritoneal dialysis catheter"
