"Disease","OPCS4code","OPCS4codeDescr"
"Intervertebral disc disorders","V29","Primary excision of cervical intervertebral disc"
"Intervertebral disc disorders","V29.9","Unspecified primary excision of cervical intervertebral disc"
"Intervertebral disc disorders","V29.6","Primary microdiscectomy of cervical intervertebral disc"
"Intervertebral disc disorders","V30.4","Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine"
"Intervertebral disc disorders","V30.6","Revisional microdiscectomy of cervical intervertebral disc"
"Intervertebral disc disorders","V30.9","Unspecified revisional excision of cervical intervertebral disc"
"Intervertebral disc disorders","V31.1","Primary anterolateral excision of thoracic intervertebral disc and graft HFQ"
"Intervertebral disc disorders","V31.3","Primary costotransversectomy of thoracic intervertebral disc"
"Intervertebral disc disorders","V24.9","Unspecified decompression operations on thoracic spine"
"Intervertebral disc disorders","V52.4","Biopsy of lesion of intervertebral disc NEC"
"Intervertebral disc disorders","V31","Primary excision of thoracic intervertebral disc"
"Intervertebral disc disorders","V31.9","Unspecified primary excision of thoracic intervertebral disc"
"Intervertebral disc disorders","V24.3","Revisional decompression of thoracic spinal cord NEC"
"Intervertebral disc disorders","V32","Revisional excision of thoracic intervertebral disc"
"Intervertebral disc disorders","V32.9","Unspecified revisional excision of thoracic intervertebral disc"
"Intervertebral disc disorders","V36","Prosthetic replacement of intervertebral disc"
"Intervertebral disc disorders","V36.1","Prosthetic replacement of cervical intervertebral disc"
"Intervertebral disc disorders","V36.2","Prosthetic replacement of thoracic intervertebral disc"
"Intervertebral disc disorders","V36.3","Prosthetic replacement of lumbar intervertebral disc"
"Intervertebral disc disorders","V36.9","Unspecified prosthetic replacement of intervertebral disc"
"Intervertebral disc disorders","V33","Primary excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V33.1","Primary laminectomy excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V33.2","Primary fenestration excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V33.3","Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine"
"Intervertebral disc disorders","V33.4","Primary anterior excision of lumbar intervertebral disc NEC"
"Intervertebral disc disorders","V33.7","Primary microdiscectomy of lumbar intervertebral disc"
"Intervertebral disc disorders","V33.8","Other specified primary excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V33.9","Unspecified primary excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V34","Revisional excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V34.3","Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine"
"Intervertebral disc disorders","V34.4","Revisional anterior excision of lumbar intervertebral disc NEC"
"Intervertebral disc disorders","V34.7","Revisional microdiscectomy of lumbar intervertebral disc"
"Intervertebral disc disorders","V34.8","Other specified revisional excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V34.9","Unspecified revisional excision of lumbar intervertebral disc"
"Intervertebral disc disorders","V52","Other operations on intervertebral disc"
"Intervertebral disc disorders","V52.1","Enzyme destruction of intervertebral disc"
"Intervertebral disc disorders","V52.2","Destruction of intervertebral disc NEC"
"Intervertebral disc disorders","V35","Excision of unspecified intervertebral disc"
"Intervertebral disc disorders","V35.1","Primary excision of intervertebral disc NEC"
"Intervertebral disc disorders","V35.2","Revisional excision of intervertebral disc NEC"
"Intervertebral disc disorders","V35.8","Other specified excision of unspecified intervertebral disc"
"Intervertebral disc disorders","V35.9","Unspecified excision of unspecified intervertebral disc"
"Intervertebral disc disorders","V52.8","Other specified other operations on intervertebral disc"
"Intervertebral disc disorders","V52.9","Unspecified other operations on intervertebral disc"
