"Disease","OPCS4code","OPCS4codeDescr"
"Non-malignant tumour of brain, central nervous system and pituitary","B01.8","Other specified excision of pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B01.9","Unspecified excision of pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B02.1","Cryotherapy to pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B02.2","Implantation of radioactive substance into pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B04","Other operations on pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B04.1","Excision of lesion of pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B04.3","Decompression of pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B04.4","Exploration of pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B04.8","Other specified other operations on pituitary gland"
"Non-malignant tumour of brain, central nervous system and pituitary","B04.9","Unspecified other operations on pituitary gland"
