"Disease","OPCS4code","OPCS4codeDescr"
"Coronary heart disease","K40","Saphenous vein graft replacement of coronary artery"
"Coronary heart disease","K40.1","Saphenous vein graft replacement of one coronary artery"
"Coronary heart disease","K40.2","Saphenous vein graft replacement of two coronary arteries"
"Coronary heart disease","K40.3","Saphenous vein graft replacement of three coronary arteries"
"Coronary heart disease","K40.9","Unspecified saphenous vein graft replacement of coronary artery"
"Coronary heart disease","K41","Other autograft replacement of coronary artery"
"Coronary heart disease","K41.1","Autograft replacement of one coronary artery NEC"
"Coronary heart disease","K41.2","Autograft replacement of two coronary arteries NEC"
"Coronary heart disease","K41.3","Autograft replacement of three coronary arteries NEC"
"Coronary heart disease","K41.4","Autograft replacement of four or more coronary arteries NEC"
"Coronary heart disease","K41.9","Unspecified other autograft replacement of coronary artery"
"Coronary heart disease","K42","Allograft replacement of coronary artery"
"Coronary heart disease","K42.1","Allograft replacement of one coronary artery"
"Coronary heart disease","K42.2","Allograft replacement of two coronary arteries"
"Coronary heart disease","K42.3","Allograft replacement of three coronary arteries"
"Coronary heart disease","K42.4","Allograft replacement of four or more coronary arteries"
"Coronary heart disease","K42.8","Other specified allograft replacement of coronary artery"
"Coronary heart disease","K42.9","Unspecified allograft replacement of coronary artery"
"Coronary heart disease","K43","Prosthetic replacement of coronary artery"
"Coronary heart disease","K43.1","Prosthetic replacement of one coronary artery"
"Coronary heart disease","K43.2","Prosthetic replacement of two coronary arteries"
"Coronary heart disease","K43.3","Prosthetic replacement of three coronary arteries"
"Coronary heart disease","K43.4","Prosthetic replacement of four or more coronary arteries"
"Coronary heart disease","K43.9","Unspecified prosthetic replacement of coronary artery"
"Coronary heart disease","K45.9","Unspecified connection of thoracic artery to coronary artery"
"Coronary heart disease","K45.1","Double anastomosis of mammary arteries to coronary arteries"
"Coronary heart disease","K45.4","Anastomosis of mammary artery to coronary artery NEC"
"Coronary heart disease","K46.3","Implantation of mammary artery into heart NEC"
"Coronary heart disease","K45.5","Anastomosis of thoracic artery to coronary artery NEC"
"Coronary heart disease","K48.3","Open angioplasty of coronary artery"
"Coronary heart disease","K49","Transluminal balloon angioplasty of coronary artery"
"Coronary heart disease","K49.9","Unspecified transluminal balloon angioplasty of coronary artery"
"Coronary heart disease","K50.1","Percutaneous transluminal laser coronary angioplasty"
"Coronary heart disease","K50.8","Other specified other therapeutic transluminal operations on coronary artery"
"Coronary heart disease","K75.3","Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery"
"Coronary heart disease","K75.1","Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery"
"Coronary heart disease","K50.4","Percutaneous transluminal atherectomy of coronary artery"
"Coronary heart disease","K47.1","Endarterectomy of coronary artery"
"Coronary heart disease","K44","Other replacement of coronary artery"
"Coronary heart disease","K44.1","Replacement of coronary arteries using multiple methods"
"Coronary heart disease","K44.8","Other specified other replacement of coronary artery"
"Coronary heart disease","K44.9","Unspecified other replacement of coronary artery"
"Coronary heart disease","K46","Other bypass of coronary artery"
"Coronary heart disease","K46.8","Other specified other bypass of coronary artery"
"Coronary heart disease","K46.9","Unspecified other bypass of coronary artery"
"Coronary heart disease","L71.1","Percutaneous transluminal angioplasty of artery"
"Coronary heart disease","L71.8","Other specified therapeutic transluminal operations on other artery"
"Coronary heart disease","L71.7","Percutaneous transluminal atherectomy"
"Coronary heart disease","L66.5","Percutaneous transluminal balloon angioplasty of artery"
"Coronary heart disease","L97.2","Peroperative angioplasty"
