"Disease","OPCS4code","OPCS4codeDescr"
"Gastro-oesophageal reflux disease","G24","Antireflux operations"
"Gastro-oesophageal reflux disease","G24.1","Antireflux fundoplication using thoracic approach"
"Gastro-oesophageal reflux disease","G24.2","Antireflux operation using thoracic approach NEC"
"Gastro-oesophageal reflux disease","G24.3","Antireflux fundoplication using abdominal approach"
"Gastro-oesophageal reflux disease","G24.4","Antireflux gastropexy"
"Gastro-oesophageal reflux disease","G24.5","Gastroplasty and antireflux procedure HFQ"
"Gastro-oesophageal reflux disease","G24.6","Insertion of Angelchick prosthesis"
"Gastro-oesophageal reflux disease","G24.8","Other specified antireflux operations"
"Gastro-oesophageal reflux disease","G24.9","Unspecified antireflux operations"
"Gastro-oesophageal reflux disease","G25","Revision of antireflux operations"
"Gastro-oesophageal reflux disease","G25.1","Revision of fundoplication of stomach"
"Gastro-oesophageal reflux disease","G25.2","Adjustment to Angelchick prosthesis"
"Gastro-oesophageal reflux disease","G25.3","Removal of Angelchick prosthesis"
"Gastro-oesophageal reflux disease","G25.8","Other specified revision of antireflux operations"
"Gastro-oesophageal reflux disease","G25.9","Unspecified revision of antireflux operations"
