"Disease","OPCS4code","OPCS4codeDescr"
"Congenital cardiac disease","K04","Repair of tetralogy of Fallot"
"Congenital cardiac disease","K04.1","Repair of tetralogy of Fallot using valved right ventricular outflow conduit"
"Congenital cardiac disease","K04.2","Repair of tetralogy of Fallot using right ventricular outflow conduit NEC"
"Congenital cardiac disease","K04.3","Repair of tetralogy of Fallot using transannular patch"
"Congenital cardiac disease","K04.4","Revision of repair of tetralogy of Fallot"
"Congenital cardiac disease","K04.5","Repair of tetralogy of Fallot with absent pulmonary valve"
"Congenital cardiac disease","K04.6","Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals"
"Congenital cardiac disease","K04.8","Other specified repair of tetralogy of Fallot"
"Congenital cardiac disease","K04.9","Unspecified repair of tetralogy of Fallot"
"Congenital cardiac disease","K05","Atrial inversion operations for transposition of great arteries"
"Congenital cardiac disease","K06","Other repair of transposition of great arteries"
"Congenital cardiac disease","K06.9","Unspecified other repair of transposition of great arteries"
"Congenital cardiac disease","K08.2","Repair of Fallot-type double outlet right ventricle"
"Congenital cardiac disease","K09","Repair of defect of atrioventricular septum"
"Congenital cardiac disease","K09.1","Repair of defect of atrioventricular septum using dual prosthetic patches"
"Congenital cardiac disease","K09.2","Repair of defect of atrioventricular septum using prosthetic patch NEC"
"Congenital cardiac disease","K09.3","Repair of defect of atrioventricular septum using tissue graft"
"Congenital cardiac disease","K09.4","Repair of persistent ostium primum"
"Congenital cardiac disease","K09.5","Primary repair of defect of atrioventricular septum NEC"
"Congenital cardiac disease","K09.6","Revision of repair of defect of atrioventricular septum"
"Congenital cardiac disease","K09.8","Other specified repair of defect of atrioventricular septum"
"Congenital cardiac disease","K09.9","Unspecified repair of defect of atrioventricular septum"
"Congenital cardiac disease","K10","Repair of defect of interatrial septum"
"Congenital cardiac disease","K10.1","Repair of defect of interatrial septum using prosthetic patch"
"Congenital cardiac disease","K10.2","Repair of defect of interatrial septum using pericardial patch"
"Congenital cardiac disease","K10.3","Repair of defect of interatrial septum using tissue graft NEC"
"Congenital cardiac disease","K10.4","Primary repair of defect of interatrial septum NEC"
"Congenital cardiac disease","K10.5","Revision of repair of defect of interatrial septum"
"Congenital cardiac disease","K10.8","Other specified repair of defect of interatrial septum"
"Congenital cardiac disease","K10.9","Unspecified repair of defect of interatrial septum"
"Congenital cardiac disease","K11","Repair of defect of interventricular septum"
"Congenital cardiac disease","K11.1","Repair of defect of interventricular septum using prosthetic patch"
"Congenital cardiac disease","K11.2","Repair of defect of interventricular septum using pericardial patch"
"Congenital cardiac disease","K11.3","Repair of defect of interventricular septum using tissue graft NEC"
"Congenital cardiac disease","K11.4","Primary repair of defect of interventricular septum NEC"
"Congenital cardiac disease","K11.5","Revision of repair of defect of interventricular septum"
"Congenital cardiac disease","K11.6","Repair of multiple interventricular septal defects"
"Congenital cardiac disease","K11.7","Repair of interventricular septal defect using intraoperative transluminal prosthesis"
"Congenital cardiac disease","K11.8","Other specified repair of defect of interventricular septum"
"Congenital cardiac disease","K11.9","Unspecified repair of defect of interventricular septum"
"Congenital cardiac disease","K12","Repair of defect of unspecified septum of heart"
"Congenital cardiac disease","K12.1","Repair of defect of septum of heart using prosthetic patch NEC"
"Congenital cardiac disease","K12.2","Repair of defect of septum of heart using pericardial patch NEC"
"Congenital cardiac disease","K12.3","Repair of defect of septum of heart using tissue graft NEC"
"Congenital cardiac disease","K12.4","Primary repair of defect of septum of heart NEC"
"Congenital cardiac disease","K12.5","Revision of repair of septum of heart NEC"
"Congenital cardiac disease","K12.8","Other specified repair of defect of unspecified septum of heart"
"Congenital cardiac disease","K12.9","Unspecified repair of defect of unspecified septum of heart"
"Congenital cardiac disease","K13","Transluminal repair of defect of septum"
"Congenital cardiac disease","K13.1","Percutaneous transluminal repair of defect of interventricular septum using prosthesis"
"Congenital cardiac disease","K13.2","Percutaneous transluminal repair of defect of interventricular septum NEC"
"Congenital cardiac disease","K13.3","Percutaneous transluminal repair of defect of interatrial septum using prosthesis"
"Congenital cardiac disease","K13.4","Percutaneous transluminal repair of defect of interatrial septum NEC"
"Congenital cardiac disease","K13.5","Percutaneous transluminal repair of defect of unspecified septum using prosthesis"
"Congenital cardiac disease","K13.8","Other specified transluminal repair of defect of septum"
"Congenital cardiac disease","K13.9","Unspecified transluminal repair of defect of septum"
"Congenital cardiac disease","K14","Other open operations on septum of heart"
"Congenital cardiac disease","K14.1","Open enlargement of defect of atrial septum"
"Congenital cardiac disease","K14.2","Open atrial septostomy"
"Congenital cardiac disease","K14.3","Atrial septectomy"
"Congenital cardiac disease","K14.4","Surgical atrial septation"
"Congenital cardiac disease","K14.5","Open enlargement of defect of interventricular septum"
"Congenital cardiac disease","K14.8","Other specified other open operations on septum of heart"
"Congenital cardiac disease","K14.9","Unspecified other open operations on septum of heart"
"Congenital cardiac disease","K15","Closed operations on septum of heart"
"Congenital cardiac disease","K15.1","Closed enlargement of defect of atrial septum"
"Congenital cardiac disease","K15.2","Closed atrial septostomy"
"Congenital cardiac disease","K15.8","Other specified closed operations on septum of heart"
"Congenital cardiac disease","K15.9","Unspecified closed operations on septum of heart"
"Congenital cardiac disease","K16","Other therapeutic transluminal operations on septum of heart"
"Congenital cardiac disease","K16.1","Percutaneous transluminal balloon atrial septostomy"
"Congenital cardiac disease","K16.2","Percutaneous transluminal atrial septostomy NEC"
"Congenital cardiac disease","K16.3","Percutaneous transluminal atrial septum fenestration closure with prosthesis"
"Congenital cardiac disease","K16.4","Percutaneous transluminal atrial septum fenestration"
"Congenital cardiac disease","K16.5","Percutaneous transluminal closure of patent oval foramen with prosthesis"
"Congenital cardiac disease","K16.6","Percutaneous transluminal chemical mediated septal ablation"
"Congenital cardiac disease","K16.8","Other specified other therapeutic transluminal operations on septum of heart"
