"Disease","OPCS4code","OPCS4codeDescr"
"Obesity","G28.4","Sleeve gastrectomy and duodenal switch"
"Obesity","G28.5","Sleeve gastrectomy NEC"
"Obesity","G30.2","Partitioning of stomach NEC"
"Obesity","G30.3","Partitioning of stomach using band"
"Obesity","G30.4","Partitioning of stomach using staples"
"Obesity","G30.5","Maintenance of gastric band"
"Obesity","G31.2","Bypass of stomach by anastomosis of stomach to duodenum"
"Obesity","G33.1","Bypass of stomach by anastomosis of stomach to jejunum NEC"
"Obesity","G38.7","Removal of gastric band"
"Obesity","G61","Bypass of jejunum"
"Obesity","G61.1","Bypass of jejunum by anastomosis of jejunum to jejunum"
"Obesity","G61.2","Bypass of jejunum by anastomosis of jejunum to ileum"
"Obesity","G61.3","Bypass of jejunum by anastomosis of jejunum to colon"
"Obesity","G61.8","Other specified bypass of jejunum"
"Obesity","G61.9","Unspecified bypass of jejunum"
"Obesity","G71.6","Duodenal switch"
