"Condition","ReadCode","MedCodeId","Term","SnomedCTConceptId","SnomedCTDescriptionId"
"ADHD and hyperkinetic disorders","6A61.00",1551611000000112,"Attention deficit hyperactivity disorder annual review",710071000000106,1551611000000112
"ADHD and hyperkinetic disorders","8BPT.00",1885221000006117,"Drug therapy for ADHD (attention deficit hyperactivity disorder)",702538008,3004359016
"ADHD and hyperkinetic disorders","8BPT000",1885231000006119,"Stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)",702536007,3004379012
"ADHD and hyperkinetic disorders","8BPT100",1885241000006112,"Non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)",703314001,3008276010
"ADHD and hyperkinetic disorders","9Ngp.00",1886751000006113,"On drug therapy for ADHD (attention deficit hyperactivity disorder)",886371000000105,2284251000000114
"ADHD and hyperkinetic disorders","9Ngp000",1886761000006110,"On stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)",886391000000109,2284291000000118
"ADHD and hyperkinetic disorders","9Ngp100",1886771000006115,"On non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)",886411000000109,2284331000000113
"ADHD and hyperkinetic disorders","9Ol8.00",1742541000006113,"Attention deficit hyperactivity disorder monitoring invitation first letter",516401000000106,1149891000000114
"ADHD and hyperkinetic disorders","9Ol9.00",1742551000006110,"Attention deficit hyperactivity disorder monitoring invitation second letter",516891000000101,1151111000000113
"ADHD and hyperkinetic disorders","9OlA.00",1742561000006112,"Attention deficit hyperactivity disorder monitoring invitation third letter",516911000000103,1151151000000112
"ADHD and hyperkinetic disorders","E2E..00",550441000006114,"Childhood hyperkinetic syndrome",406506008,2158158016
"ADHD and hyperkinetic disorders","E2E..11",2163264017,"Overactive child syndrome",406506008,2163264017
"ADHD and hyperkinetic disorders","E2E0.00",295618015,"Child attention deficit disorder",192127007,295618015
"ADHD and hyperkinetic disorders","E2E0100",498881000006117,"Attention deficit with hyperactivity",406506008,2158158016
"ADHD and hyperkinetic disorders","E2E0z00",295621018,"Child attention deficit disorder NOS",192127007,295618015
"ADHD and hyperkinetic disorders","E2E1.00",295622013,"Hyperkinesis with developmental delay",192131001,295622013
