Condition,ICD10code,ICD10codeDescr
ADHD and hyperkinetic disorders,F90,Hyperkinetic disorders
ADHD and hyperkinetic disorders,F90.0,Disturbance of activity and attention
ADHD and hyperkinetic disorders,F90.1,Hyperkinetic conduct disorder
ADHD and hyperkinetic disorders,F90.8,Other hyperkinetic disorders
ADHD and hyperkinetic disorders,F90.9,Hyperkinetic disorder, unspecified
Adrenal insufficiency and Addison's disease,E27.1,Primary adrenocortical insufficiency
Adrenal insufficiency and Addison's disease,E27.2,Addisonian crisis
Adrenal insufficiency and Addison's disease,E27.4,Other and unspecified adrenocortical insufficiency
Alcohol dependence and related disease,E24.4,Alcohol-induced pseudo-Cushing's syndrome
Alcohol dependence and related disease,E24.4,Alcohol-induced pseudo-Cushing syndrome
Alcohol dependence and related disease,E51.8,Other manifestations of thiamine deficiency
Alcohol dependence and related disease,F10,Mental and behavioural disorders due to use of alcohol
Alcohol dependence and related disease,F10.1,Mental and behavioural disorders due to use of alcohol - Harmful use
Alcohol dependence and related disease,F10.2,Mental and behavioural disorders due to use of alcohol - Dependence syndrome
Alcohol dependence and related disease,F10.2,Mental and behavioural disorders due to use of alcohol dependence syndrome
Alcohol dependence and related disease,F10.3,Mental and behavioural disorders due to use of alcohol - Withdrawal state
Alcohol dependence and related disease,F10.3,Mental and behavioural disorders due to use of alcohol withdrawal state
Alcohol dependence and related disease,F10.4,Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium
Alcohol dependence and related disease,F10.4,Mental and behavioural disorders due to use of alcohol withdrawal state with delirium
Alcohol dependence and related disease,F10.5,Mental and behavioural disorders due to use of alcohol - Psychotic disorder
Alcohol dependence and related disease,F10.5,Mental and behavioural disorders due to use of alcohol psychotic disorder
Alcohol dependence and related disease,F10.6,Mental and behavioural disorders due to use of alcohol - Amnesic syndrome
Alcohol dependence and related disease,F10.6,Mental and behavioural disorders due to use of alcohol amnesic syndrome
Alcohol dependence and related disease,F10.7,Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder
Alcohol dependence and related disease,F10.7,Mental and behavioural disorders due to use of alcohol residual and late-onset psychotic disorder
Alcohol dependence and related disease,F10.8,Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders
Alcohol dependence and related disease,F10.9,Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder
Alcohol dependence and related disease,G31.2,Degeneration of nervous system due to alcohol
Alcohol dependence and related disease,G40.5,Special epileptic syndromes
Alcohol dependence and related disease,G61.0,Guillain-Barr» syndrome
Alcohol dependence and related disease,G62.1,Alcoholic polyneuropathy
Alcohol dependence and related disease,G72.1,Alcoholic myopathy
Alcohol dependence and related disease,I42.6,Alcoholic cardiomyopathy
Alcohol dependence and related disease,K29.2,Alcoholic gastritis
Alcohol dependence and related disease,K70,Alcoholic liver disease
Alcohol dependence and related disease,K70.0,Alcoholic fatty liver
Alcohol dependence and related disease,K70.1,Alcoholic hepatitis
Alcohol dependence and related disease,K70.2,Alcoholic fibrosis and sclerosis of liver
Alcohol dependence and related disease,K70.3,Alcoholic cirrhosis of liver
Alcohol dependence and related disease,K70.4,Alcoholic hepatic failure
Alcohol dependence and related disease,K70.9,Alcoholic liver disease, unspecified
Alcohol dependence and related disease,K74.6,Other and unspecified cirrhosis of liver
Alcohol dependence and related disease,K85.2,Alcohol-induced acute pancreatitis
Alcohol dependence and related disease,K86.0,Alcohol-induced chronic pancreatitis
Alcohol dependence and related disease,Z50.2,Alcohol rehabilitation
Alcohol dependence and related disease,Z71.4,Alcohol abuse counselling and surveillance
Alcohol dependence and related disease,Z86.4,Personal history of psychoactive substance abuse
Allergic and chronic rhinitis,J30,Vasomotor and allergic rhinitis
Allergic and chronic rhinitis,J30.0,Vasomotor rhinitis
Allergic and chronic rhinitis,J30.1,Allergic rhinitis due to pollen
Allergic and chronic rhinitis,J30.2,Other seasonal allergic rhinitis
Allergic and chronic rhinitis,J30.3,Other allergic rhinitis
Allergic and chronic rhinitis,J30.4,Allergic rhinitis
Allergic and chronic rhinitis,J30.4,Allergic rhinitis, unspecified
Allergic and chronic rhinitis,J31.0,Chronic rhinitis
Alopecia areata and scarring alopecia,L63,Alopecia areata
Alopecia areata and scarring alopecia,L63.0,Alopecia (capitis) totalis
Alopecia areata and scarring alopecia,L63.1,Alopecia universalis
Alopecia areata and scarring alopecia,L63.2,Ophiasis
Alopecia areata and scarring alopecia,L63.8,Other alopecia areata
Alopecia areata and scarring alopecia,L63.9,Alopecia areata, unspecified
Alopecia areata and scarring alopecia,L66.9,Cicatricial alopecia, unspecified
Ankylosing spondylitis,M08.1,Juvenile ankylosing spondylitis
Ankylosing spondylitis,M45,Ankylosing spondylitis
Anxiety and phobia,F06.4,Organic anxiety disorder
Anxiety and phobia,F40,Phobic anxiety disorders
Anxiety and phobia,F40,Phobic anxiety disorders
Anxiety and phobia,F40.0,Agoraphobia
Anxiety and phobia,F40.1,Social phobias
Anxiety and phobia,F40.2,Specific (isolated) phobias
Anxiety and phobia,F40.8,Other phobic anxiety disorders
