Condition,OPCS4code,OPCS4codeDescr
Adrenal insufficiency and Addison's disease,B22,Excision of adrenal gland
Adrenal insufficiency and Addison's disease,B221,Bilateral adrenalectomy and transposition of adrenal tissue
Adrenal insufficiency and Addison's disease,B222,Bilateral adrenalectomy NEC
Alcohol dependence and related disease,U522,Delivery of rehabilitation for alcohol addiction
Aortic aneurysm,L18,Emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,L185,Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
Aortic aneurysm,L186,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
Aortic aneurysm,L189,Unspecified emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,L19,Other replacement of aneurysmal segment of aorta
Aortic aneurysm,L195,Replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
Aortic aneurysm,L196,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery NEC
Aortic aneurysm,L199,Unspecified other replacement of aneurysmal segment of aorta
Aortic aneurysm,L254,Operations on aneurysm of aorta NEC
Aortic aneurysm,L28,Transluminal operations on aneurysmal segment of aorta
Aortic aneurysm,L282,Endovascular insertion of stent for suprarenal aortic aneurysm
Aortic aneurysm,L283,Endovascular insertion of stent for thoracic aortic aneurysm
Aortic aneurysm,L285,Endovascular insertion of stent for aortic aneurysm of bifurcation NEC
Aortic aneurysm,L289,Unspecified transluminal operations on aneurysmal segment of aorta
Cerebrovascular disease,U543,Delivery of rehabilitation for stroke
Chronic sinusitis,E12,Operations on maxillary antrum using sublabial approach
Chronic sinusitis,E121,Ligation of maxillary artery using sublabial approach
Chronic sinusitis,E122,Drainage of maxillary antrum using sublabial approach
Chronic sinusitis,E123,Irrigation of maxillary antrum using sublabial approach
Chronic sinusitis,E129,Unspecified operations on maxillary antrum using sublabial approach
Chronic sinusitis,E13,Other operations on maxillary antrum
Chronic sinusitis,E131,Drainage of maxillary antrum NEC
Chronic sinusitis,E132,Excision of lesion of maxillary antrum
Chronic sinusitis,E133,Intranasal antrostomy
Chronic sinusitis,E134,Biopsy of lesion of maxillary antrum
Chronic sinusitis,E135,Closure of fistula between maxillary antrum and mouth
Chronic sinusitis,E136,Puncture of maxillary antrum
Chronic sinusitis,E138,Other specified other operations on maxillary antrum
Chronic sinusitis,E139,Unspecified other operations on maxillary antrum
Chronic sinusitis,E14,Operations on frontal sinus
Chronic sinusitis,E141,External frontoethmoidectomy
Chronic sinusitis,E142,Intranasal ethmoidectomy
Chronic sinusitis,E143,External ethmoidectomy
Chronic sinusitis,E144,Transantral ethmoidectomy
Chronic sinusitis,E145,Bone flap to frontal sinus
Chronic sinusitis,E146,Trephine of frontal sinus
Chronic sinusitis,E147,Median drainage of frontal sinus
Chronic sinusitis,E148,Other specified operations on frontal sinus
Chronic sinusitis,E149,Unspecified operations on frontal sinus
Chronic sinusitis,E15,Operations on sphenoid sinus
Chronic sinusitis,E151,Drainage of sphenoid sinus
Chronic sinusitis,E152,Puncture of sphenoid sinus
Chronic sinusitis,E153,Repair of sphenoidal sinus
Chronic sinusitis,E158,Other specified operations on sphenoid sinus
Chronic sinusitis,E159,Unspecified operations on sphenoid sinus
Chronic sinusitis,E161,Frontal sinus osteoplasty
Chronic sinusitis,E168,Other specified other operations on frontal sinus
Chronic sinusitis,E169,Unspecified other operations on frontal sinus
Chronic sinusitis,E17,Operations on unspecified nasal sinus
Chronic sinusitis,E171,Excision of nasal sinus NEC
Chronic sinusitis,E172,Excision of lesion of nasal sinus NEC
Chronic sinusitis,E173,Biopsy of lesion of nasal sinus NEC
Chronic sinusitis,E174,Lateral rhinotomy into nasal sinus NEC
Chronic sinusitis,E178,Other specified operations on unspecified nasal sinus
Chronic sinusitis,E179,Unspecified operations on unspecified nasal sinus
Chronic sinusitis,E253,Diagnostic endoscopic examination of nasopharynx NEC
Chronic sinusitis,Y761,Functional endoscopic sinus surgery
Chronic sinusitis,Y762,Functional endoscopic nasal surgery
Chronic ulcer of the skin,S574,Dressing of skin NEC
