Condition,OPCS4code,OPCS4codeDescr
Adrenal insufficiency and Addison's disease,B22,Excision of adrenal gland
Adrenal insufficiency and Addison's disease,B22.1,Bilateral adrenalectomy and transposition of adrenal tissue
Adrenal insufficiency and Addison's disease,B22.2,Bilateral adrenalectomy NEC
Alcohol dependence and related disease,U52.2,Delivery of rehabilitation for alcohol addiction
Aortic aneurysm,L18,Emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,L18.5,Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
Aortic aneurysm,L18.6,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
Aortic aneurysm,L18.9,Unspecified emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,L19,Other replacement of aneurysmal segment of aorta
Aortic aneurysm,L19.5,Replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
Aortic aneurysm,L19.6,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery NEC
Aortic aneurysm,L19.9,Unspecified other replacement of aneurysmal segment of aorta
Aortic aneurysm,L25.4,Operations on aneurysm of aorta NEC
Aortic aneurysm,L28,Transluminal operations on aneurysmal segment of aorta
Aortic aneurysm,L28.2,Endovascular insertion of stent for suprarenal aortic aneurysm
Aortic aneurysm,L28.3,Endovascular insertion of stent for thoracic aortic aneurysm
Aortic aneurysm,L28.5,Endovascular insertion of stent for aortic aneurysm of bifurcation NEC
Aortic aneurysm,L28.9,Unspecified transluminal operations on aneurysmal segment of aorta
Cerebrovascular disease,U54.3,Delivery of rehabilitation for stroke
Chronic sinusitis,E12,Operations on maxillary antrum using sublabial approach
Chronic sinusitis,E12.1,Ligation of maxillary artery using sublabial approach
Chronic sinusitis,E12.2,Drainage of maxillary antrum using sublabial approach
Chronic sinusitis,E12.3,Irrigation of maxillary antrum using sublabial approach
Chronic sinusitis,E12.9,Unspecified operations on maxillary antrum using sublabial approach
Chronic sinusitis,E13,Other operations on maxillary antrum
Chronic sinusitis,E13.1,Drainage of maxillary antrum NEC
Chronic sinusitis,E13.2,Excision of lesion of maxillary antrum
Chronic sinusitis,E13.3,Intranasal antrostomy
Chronic sinusitis,E13.4,Biopsy of lesion of maxillary antrum
Chronic sinusitis,E13.5,Closure of fistula between maxillary antrum and mouth
Chronic sinusitis,E13.6,Puncture of maxillary antrum
Chronic sinusitis,E13.8,Other specified other operations on maxillary antrum
Chronic sinusitis,E13.9,Unspecified other operations on maxillary antrum
Chronic sinusitis,E14,Operations on frontal sinus
Chronic sinusitis,E14.1,External frontoethmoidectomy
Chronic sinusitis,E14.2,Intranasal ethmoidectomy
Chronic sinusitis,E14.3,External ethmoidectomy
Chronic sinusitis,E14.4,Transantral ethmoidectomy
Chronic sinusitis,E14.5,Bone flap to frontal sinus
Chronic sinusitis,E14.6,Trephine of frontal sinus
Chronic sinusitis,E14.7,Median drainage of frontal sinus
Chronic sinusitis,E14.8,Other specified operations on frontal sinus
Chronic sinusitis,E14.9,Unspecified operations on frontal sinus
Chronic sinusitis,E15,Operations on sphenoid sinus
Chronic sinusitis,E15.1,Drainage of sphenoid sinus
Chronic sinusitis,E15.2,Puncture of sphenoid sinus
Chronic sinusitis,E15.3,Repair of sphenoidal sinus
Chronic sinusitis,E15.8,Other specified operations on sphenoid sinus
Chronic sinusitis,E15.9,Unspecified operations on sphenoid sinus
Chronic sinusitis,E16.1,Frontal sinus osteoplasty
Chronic sinusitis,E16.8,Other specified other operations on frontal sinus
Chronic sinusitis,E16.9,Unspecified other operations on frontal sinus
Chronic sinusitis,E17,Operations on unspecified nasal sinus
Chronic sinusitis,E17.1,Excision of nasal sinus NEC
Chronic sinusitis,E17.2,Excision of lesion of nasal sinus NEC
Chronic sinusitis,E17.3,Biopsy of lesion of nasal sinus NEC
Chronic sinusitis,E17.4,Lateral rhinotomy into nasal sinus NEC
Chronic sinusitis,E17.8,Other specified operations on unspecified nasal sinus
Chronic sinusitis,E17.9,Unspecified operations on unspecified nasal sinus
