ReadTerm,MedCode,ReadCode,read_code,OPCS49_Code,OPCS_descr
[SO] Canine tooth,24915,7N23213,7N232,Z25.3,Tooth NEC
[SO] Central incisor,34766,7N23211,7N232,Z25.3,Tooth NEC
[SO] Labia majora,8428,7N60600,7N606,Z44.3,Vulva
[SO] Labia minora,2162,7N60700,7N607,Z44.3,Vulva
[SO] Lateral incisor,43408,7N23212,7N232,Z25.3,Tooth NEC
[SO] Premolar tooth,21251,7N23214,7N232,Z25.3,Tooth NEC
[SO] Rectosigmoid region,30195,7N32300,7N323,Z29.4,Colorectal
[SO] V ligament,60888,7NC4H11,7NC4H,Z87.2,Ligament of joint
[SO]Abdomen region NEC,3137,7NB2500,7NB25,Z92.6,Abdomen NEC
[SO]Abdominal aorta NEC,24438,7N42600,7N426,Z34.7,Abdominal aorta NEC
[SO]Abdominal wall,9427,7N81.00,7N81.,Z53,Abdominal wall
[SO]Abdominal wall NEC,63474,7N81z00,7N81z,Z53.9,Abdominal wall NEC
[SO]Abducens nerve (VI),64585,7N02500,7N025,Z03.6,Abducens nerve (vi)
[SO]Abductor digiti minimi,107106,7N84C00,7N84C,Z56.5,Hypothenar muscle
[SO]Abductor hallucis,95324,7N87D00,7N87D,Z59.2,Flexor digitorum muscle of foot
[SO]Abductor pollicis brevis,73783,7N84900,7N849,Z56.2,Thenar muscle
[SO]Aberrant adrenal tissue,32754,7N11400,7N114,Z14.5,Aberrant adrenal tissue
[SO]Aberrant thyroid tissue,45075,7N10100,7N101,Z13.2,Aberrant thyroid tissue
[SO]Accessory nerve (XI),69996,7N03400,7N034,Z04.5,Accessory nerve (xi)
[SO]Accessory ossicle of foot,35068,7NACl00,7NACl,Z80.8,Specified bone of foot NEC
[SO]Acetabular labrum,73615,7NC5700,7NC57,Z87.8,Specified part of musculoskeletal system NEC
[SO]Acetabulum,20936,7NA7500,7NA75,Z75.6,Acetabulum
[SO]Achilles tendon,8876,7N86E00,7N860,Z58.1,Triceps surae
[SO]Achilles tendon,8876,7N86E00,7N86E,Z58.1,Triceps surae
[SO]Achilles tendon,3832,7N86011,7N860,Z58.1,Triceps surae
[SO]Achilles tendon,3832,7N86011,7N86E,Z58.1,Triceps surae
[SO]Acoustic nerve (VIII),65417,7N03100,7N031,Z04.2,Acoustic nerve (viii)
[SO]Acromioclavicular joint,8334,7NAD100,7NAD1,Z81.2,Acromioclavicular joint
[SO]Acromion process of scapula,16936,7NA0100,7NA01,Z68.2,Acromion process of scapula
[SO]Adductor brevis,37095,7N85L00,7N85L,Z57.4,Adductor muscle of thigh
[SO]Adductor hallucis,93168,7N87H00,7N87H,Z59.3,Short hallux muscle
[SO]Adductor longus,21459,7N85K00,7N85K,Z57.4,Adductor muscle of thigh
[SO]Adductor magnus,34749,7N85M00,7N85M,Z57.4,Adductor muscle of thigh
[SO]Adductor muscle of hip, unspecified,20398,7N85300,7N853,Z57.4,Adductor muscle of thigh
[SO]Adductor muscle of thigh, unspecified,48841,7N85311,7N853,Z57.4,Adductor muscle of thigh
[SO]Adductor pollicis,61489,7N84A00,7N84A,Z56.2,Thenar muscle
[SO]Adenoid,18372,7N20400,7N204,Z22.5,Adenoid
[SO]Adrenal gland,18679,7N11300,7N113,Z14.4,Adrenal gland
[SO]Adrenal vein,62266,7N47D00,7N47D,Z39.7,Adrenal vein
[SO]Ala of sacrum,73204,7NA7100,7NA71,Z75.2,Ala of sacrum
[SO]Alar ligament of axis,112919,7NC0000,7NC00,Z87.2,Ligament of joint
[SO]Amniotic membrane,24433,7N61400,7N614,Z45.5,Amniotic membrane
[SO]Ampulla of Vater,32393,7N33600,7N336,Z30.7,Ampulla of Vater
[SO]Anatomical neck humerus,112790,7NA1C00,7NA1C,Z69.3,Neck of humerus
[SO]Ankle joint,9397,7NAH500,7NAH5,Z85.6,Ankle joint
[SO]Ankle region,3674,7NB1L00,7NB1L,Z90.8,Specified leg region NEC
[SO]Annular ligament,61277,7NC3800,7NC38,Z87.2,Ligament of joint
[SO]Ansa cervicalis,90864,7N0C400,7N0C4,Z12.8,Specified nerve NEC
[SO]Anterior abdominal wall,72890,7NB2R00,7NB2R,Z92.6,Abdomen NEC
[SO]Anterior abdominal wall muscle,21036,7N88200,7N882,Z60.3,Muscle of anterior abdominal wall
[SO]Anterior aspect of ankle,103110,7NB1M00,7NB1M,Z90.8,Specified leg region NEC
[SO]Anterior aspect of knee,67636,7NB1D00,7NB1D,O13.2,Knee NEC
[SO]Anterior aspect of thigh,45798,7NB1800,7NB18,Z90.3,Upper leg NEC
[SO]Anterior axillary fold,99545,7NB2P00,7NB2P,Z89.8,Specified arm region NEC
[SO]Anterior border of leg,103112,7NB1H00,7NB1H,Z90.4,Lower leg NEC
[SO]Anterior cerebral artery,63060,7N43000,7N430,Z35.1,Anterior cerebral artery
[SO]Anterior chamber of eye,18922,7N15.00,7N15.,Z18,Anterior chamber of eye
