Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
ADHD and hyperkinetic disorders,F90,Hyperkinetic disorders,Overlap,NA
ADHD and hyperkinetic disorders,F90.0,Disturbance of activity and attention,Cross-mapped,NA
ADHD and hyperkinetic disorders,F90.1,Hyperkinetic conduct disorder,Cross-mapped,NA
ADHD and hyperkinetic disorders,F90.8,Other hyperkinetic disorders,Cross-mapped,NA
ADHD and hyperkinetic disorders,F90.9,"Hyperkinetic disorder, unspecified",Cross-mapped,NA
ADHD and hyperkinetic disorders,F98.8,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Cross-mapped,NA
Adrenal insufficiency and Addison's disease,A18.7,Tuberculosis of adrenal glands,New code list,NA
Adrenal insufficiency and Addison's disease,E27,Other disorders of adrenal gland,New code list,NA
Adrenal insufficiency and Addison's disease,E27.1,Primary adrenocortical insufficiency,Cross-mapped,NA
Adrenal insufficiency and Addison's disease,E27.2,Addisonian crisis,Overlap,NA
Adrenal insufficiency and Addison's disease,E27.4,Other and unspecified adrenocortical insufficiency,Cross-mapped,NA
Adrenal insufficiency and Addison's disease,E27.8,Other specified disorders of adrenal gland,New code list,NA
Adrenal insufficiency and Addison's disease,E27.9,"Disorder of adrenal gland, unspecified",New code list,NA
Adrenal insufficiency and Addison's disease,E35.1,Disorders of adrenal glands in diseases classified elsewhere,New code list,NA
Alcohol dependence and related disease,E24.4,Alcohol-induced pseudo-Cushing's syndrome,Overlap,NA
Alcohol dependence and related disease,E51.8,Other manifestations of thiamine deficiency,Cross-mapped,NA
Alcohol dependence and related disease,F10,Mental and behavioural disorders due to use of alcohol,Cross-mapped,NA
Alcohol dependence and related disease,F10.1,Mental and behavioural disorders due to use of alcohol - Harmful use,Kuan,NA
Alcohol dependence and related disease,F10.2,Mental and behavioural disorders due to use of alcohol - Dependence syndrome,Overlap,NA
Alcohol dependence and related disease,F10.3,Mental and behavioural disorders due to use of alcohol - Withdrawal state,Overlap,NA
Alcohol dependence and related disease,F10.4,Mental and behavioural disorders due to use of alcohol - Withdrawal state with delirium,Overlap,NA
Alcohol dependence and related disease,F10.5,Mental and behavioural disorders due to use of alcohol - Psychotic disorder,Overlap,NA
Alcohol dependence and related disease,F10.6,Mental and behavioural disorders due to use of alcohol - Amnesic syndrome,Overlap,NA
Alcohol dependence and related disease,F10.7,Mental and behavioural disorders due to use of alcohol - Residual and late-onset psychotic disorder,Overlap,NA
Alcohol dependence and related disease,F10.8,Mental and behavioural disorders due to use of alcohol - Other mental and behavioural disorders,Kuan,NA
Alcohol dependence and related disease,F10.9,Mental and behavioural disorders due to use of alcohol - Unspecified mental and behavioural disorder,Kuan,NA
Alcohol dependence and related disease,G31.2,Degeneration of nervous system due to alcohol,Overlap,NA
Alcohol dependence and related disease,G40.5,Special epileptic syndromes,Cross-mapped,NA
Alcohol dependence and related disease,G62.1,Alcoholic polyneuropathy,Overlap,NA
Alcohol dependence and related disease,G72.1,Alcoholic myopathy,Overlap,NA
Alcohol dependence and related disease,I42.6,Alcoholic cardiomyopathy,Overlap,NA
Alcohol dependence and related disease,K29.2,Alcoholic gastritis,Overlap,NA
Alcohol dependence and related disease,K70,Alcoholic liver disease,Kuan,NA
Alcohol dependence and related disease,K70.0,Alcoholic fatty liver,Cross-mapped,NA
Alcohol dependence and related disease,K70.1,Alcoholic hepatitis,Cross-mapped,NA
Alcohol dependence and related disease,K70.2,Alcoholic fibrosis and sclerosis of liver,Cross-mapped,NA
Alcohol dependence and related disease,K70.3,Alcoholic cirrhosis of liver,Cross-mapped,NA
Alcohol dependence and related disease,K70.4,Alcoholic hepatic failure,Cross-mapped,NA
Alcohol dependence and related disease,K70.9,"Alcoholic liver disease, unspecified",Cross-mapped,NA
Alcohol dependence and related disease,K85.2,Alcohol-induced acute pancreatitis,Overlap,NA
Alcohol dependence and related disease,K86.0,Alcohol-induced chronic pancreatitis,Overlap,NA
Alcohol dependence and related disease,Z50.2,Alcohol rehabilitation,Overlap,NA
Alcohol dependence and related disease,Z71.4,Alcohol abuse counselling and surveillance,Overlap,NA
Alcohol dependence and related disease,Z86.4,Personal history of psychoactive substance abuse,Cross-mapped,NA
Allergic and chronic rhinitis,J00,Acute nasopharyngitis [common cold],Cross-mapped,NA
Allergic and chronic rhinitis,J30,Vasomotor and allergic rhinitis,Cross-mapped,NA
Allergic and chronic rhinitis,J30.0,Vasomotor rhinitis,Cross-mapped,NA
Allergic and chronic rhinitis,J30.1,Allergic rhinitis due to pollen,Overlap,NA
Allergic and chronic rhinitis,J30.2,Other seasonal allergic rhinitis,Overlap,NA
Allergic and chronic rhinitis,J30.3,Other allergic rhinitis,Overlap,NA
Allergic and chronic rhinitis,J30.4,Allergic rhinitis,Overlap,NA
Allergic and chronic rhinitis,J31.0,Chronic rhinitis,Overlap,NA
Allergic and chronic rhinitis,J32,Chronic sinusitis,Cross-mapped,NA
Allergic and chronic rhinitis,J45.0,Predominantly allergic asthma,Cross-mapped,NA
Alopecia areata and scarring alopecia,L63,Alopecia areata,Kuan,NA
Alopecia areata and scarring alopecia,L63.0,Alopecia (capitis) totalis,Cross-mapped,NA
Alopecia areata and scarring alopecia,L63.1,Alopecia universalis,Cross-mapped,NA
Alopecia areata and scarring alopecia,L63.2,Ophiasis,Cross-mapped,NA
Alopecia areata and scarring alopecia,L63.8,Other alopecia areata,Cross-mapped,NA
Alopecia areata and scarring alopecia,L63.9,"Alopecia areata, unspecified",Cross-mapped,NA
Alopecia areata and scarring alopecia,L66.9,"Cicatricial alopecia, unspecified",Cross-mapped,NA
Ankylosing spondylitis,M08.1,Juvenile ankylosing spondylitis,Cross-mapped,NA
Ankylosing spondylitis,M45,Ankylosing spondylitis,Overlap,NA
Anxiety and phobia,F06.4,Organic anxiety disorder,Cross-mapped,NA
Anxiety and phobia,F34.1,Dysthymia,Cross-mapped,NA
Anxiety and phobia,F40,Phobic anxiety disorders,Overlap,NA
Anxiety and phobia,F40.0,Agoraphobia,Cross-mapped,NA
Anxiety and phobia,F40.1,Social phobias,Cross-mapped,NA
Anxiety and phobia,F40.2,Specific (isolated) phobias,Cross-mapped,NA
Anxiety and phobia,F40.8,Other phobic anxiety disorders,Cross-mapped,NA
Anxiety and phobia,F40.9,"Phobic anxiety disorder, unspecified",Cross-mapped,NA
Anxiety and phobia,F41,Other anxiety disorders,Overlap,NA
Anxiety and phobia,F41.0,Panic disorder [episodic paroxysmal anxiety],Cross-mapped,NA
Anxiety and phobia,F41.1,Generalized anxiety disorder,Cross-mapped,NA
Anxiety and phobia,F41.2,Mixed anxiety and depressive disorder,Cross-mapped,NA
Anxiety and phobia,F41.3,Other mixed anxiety disorders,Cross-mapped,NA
Anxiety and phobia,F41.8,Other specified anxiety disorders,Cross-mapped,NA
Anxiety and phobia,F41.9,"Anxiety disorder, unspecified",Cross-mapped,NA
Anxiety and phobia,F45.2,Hypochondriacal disorder,Cross-mapped,NA
Anxiety and phobia,F48.1,Depersonalization-derealization syndrome,Cross-mapped,NA
Anxiety and phobia,F48.8,Other specified neurotic disorders,Cross-mapped,NA
Anxiety and phobia,F48.9,"Neurotic disorder, unspecified",Cross-mapped,NA
Anxiety and phobia,F94.0,Elective mutism,Cross-mapped,NA
Anxiety and phobia,Z86.5,Personal history of other mental and behavioural disorders,Cross-mapped,NA
Aortic aneurysm,I71.0,Dissection of aorta [any part],Cross-mapped,NA
Aortic aneurysm,I71.1,"Thoracic aortic aneurysm, ruptured",Cross-mapped,NA
Aortic aneurysm,I71.2,"Thoracic aortic aneurysm, without mention of rupture",Cross-mapped,NA
Aortic aneurysm,I71.3,"Abdominal aortic aneurysm, ruptured",Cross-mapped,NA
Aortic aneurysm,I71.4,"Abdominal aortic aneurysm, without mention of rupture",Cross-mapped,NA
Aortic aneurysm,I71.5,"Thoracoabdominal aortic aneurysm, ruptured",Cross-mapped,NA
Aortic aneurysm,I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",Cross-mapped,NA
Aortic aneurysm,I71.8,"Aortic aneurysm of unspecified site, ruptured",Cross-mapped,NA
Aortic aneurysm,I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",Cross-mapped,NA
Aortic aneurysm,I714,Abdominal aortic aneurysm without mention of rupture,Kuan,NA
Aortic aneurysm,I716,Thoracoabdominal aortic aneurysm without mention of rupture,Kuan,NA
Aortic aneurysm,I719,Aortic aneurysm of unspecified site without mention of rupture,Kuan,NA
Aplastic anaemias,D60,Acquired pure red cell aplasia [erythroblastopenia],Kuan,NA
Aplastic anaemias,D60.0,Chronic acquired pure red cell aplasia,Cross-mapped,NA
Aplastic anaemias,D60.1,Transient acquired pure red cell aplasia,Cross-mapped,NA
Aplastic anaemias,D60.9,"Acquired pure red cell aplasia, unspecified",Cross-mapped,NA
Aplastic anaemias,D61,Other aplastic anaemias,Kuan,NA
Aplastic anaemias,D61.0,Constitutional aplastic anaemia,Cross-mapped,NA
Aplastic anaemias,D61.1,Drug-induced aplastic anaemia,Cross-mapped,NA
Aplastic anaemias,D61.2,Aplastic anaemia due to other external agents,Cross-mapped,NA
Aplastic anaemias,D61.3,Idiopathic aplastic anaemia,Cross-mapped,NA
Aplastic anaemias,D61.9,"Aplastic anaemia, unspecified",Cross-mapped,NA
Asbestosis,J61,Pneumoconiosis due to asbestos and other mineral fibres,Overlap,NA
Asbestosis,J92.0,Pleural plaque with presence of asbestos,Cross-mapped,NA
Asthma,J44.8,Other specified chronic obstructive pulmonary disease,Cross-mapped,NA
Asthma,J44.9,"Chronic obstructive pulmonary disease, unspecified",Cross-mapped,NA
Asthma,J45,Asthma,Kuan,NA
Asthma,J45.0,Predominantly allergic asthma,Cross-mapped,NA
Asthma,J45.1,Nonallergic asthma,Cross-mapped,NA
Asthma,J45.8,Mixed asthma,Cross-mapped,NA
Asthma,J45.9,"Asthma, unspecified",Cross-mapped,NA
Asthma,J46,Status asthmaticus,Overlap,NA
