Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
136S.00,Alcohol Problems,19494,Hazardous alcohol use,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
136T.00,Alcohol Problems,30695,Harmful alcohol use,Diagnosis of Alcohol Problems,readcode,Kuan and Cambridge
136W.00,Alcohol Problems,94670,Alcohol misuse,Diagnosis of Alcohol Problems,NA,Kuan
13c..00,Other psychoactive substance misuse,8490,Drug user,NA,readcode,Cambridge
13c0.00,Other psychoactive substance misuse,22079,Injecting drug user,NA,readcode,Cambridge
13c1.00,Other psychoactive substance misuse,30251,Intravenous drug user,NA,readcode,Cambridge
13c4.00,Other psychoactive substance misuse,42257,Intranasal drug user,NA,readcode,Cambridge
13c5.00,Other psychoactive substance misuse,28642,Substance misuse increased,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13c6.00,Other psychoactive substance misuse,35286,Substance misuse decreased,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13c7.00,Other psychoactive substance misuse,49618,Current drug user,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13c8.00,Other psychoactive substance misuse,35404,Reduced drugs misuse,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13c9.00,Other psychoactive substance misuse,38125,Subcutaneous drug user,Diagnosis of Other psychoactive substance misuse,NA,Kuan
13cA.00,Other psychoactive substance misuse,26096,Smokes drugs,Diagnosis of Other psychoactive substance misuse,NA,Kuan
13cB.00,Other psychoactive substance misuse,38029,Misuses drugs orally,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13cC.00,Other psychoactive substance misuse,47804,Continuous use of drugs,Diagnosis of Other psychoactive substance misuse,NA,Kuan
13cD.00,Other psychoactive substance misuse,44966,Episodic use of drugs,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13cE.00,Other psychoactive substance misuse,25925,Prolonged high dose use of cannabis,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13cF.00,Other psychoactive substance misuse,41039,Preoccupied with substance misuse,Diagnosis of Other psychoactive substance misuse,NA,Kuan
13cH.00,Other psychoactive substance misuse,28766,Persistent substance misuse,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13cJ.00,Other psychoactive substance misuse,32709,Previously injecting drug user,Diagnosis of Other psychoactive substance misuse,NA,Kuan
13cK.00,Other psychoactive substance misuse,69977,Current non recreational drug user,Diagnosis of Other psychoactive substance misuse,NA,Kuan
13cM.00,Other psychoactive substance misuse,93412,Substance misuse,Diagnosis of Other psychoactive substance misuse,readcode,Kuan and Cambridge
13L4.11,Diabetes,16946,Diabetic child,NA,readcode,Cambridge
13r3.00,Other psychoactive substance misuse,68327,Abstinent from drug misuse on maintenance replacement,History of Other psychoactive substance misuse,NA,Kuan
13r4.00,Other psychoactive substance misuse,94693,Abstinent from drug misuse when receiving blocking therapy,History of Other psychoactive substance misuse,NA,Kuan
13Y8.00,Alcohol Problems,18156,Alcoholics anonymous,Diagnosis of Alcohol Problems,NA,Kuan
1411.00,Tuberculosis,5319,H/O: tuberculosis,History of tuberculosis,NA,NA
141E.00,Chronic viral hepatitis,30729,History of hepatitis B,History of Chronic viral hepatitis,NA,NA
1425000.0,Primary Malignancy_Malignant Melanoma,7761,H/O Malignant melanoma,History of Primary Malignancy_Malignant Melanoma,NA,NA
1427000.0,Primary Malignancy_Prostate,102314,H/O: prostate cancer,History of Primary Malignancy_Prostate,NA,NA
1429.00,Leukaemia,17177,H/O: * leukaemia,History of Leukaemia,NA,NA
143..11,Hypo or hyperthyroidism,4937,H/O: thyroid disorder,History of Hypo or hyperthyroidism,NA,Kuan
1431.00,Hypo or hyperthyroidism,6245,H/O: hyperthyroidism,History of Hypo or hyperthyroidism,NA,Kuan
1431.11,Hypo or hyperthyroidism,8038,H/O: thyrotoxicosis,History of Hypo or hyperthyroidism,NA,Kuan
1432.00,Hypo or hyperthyroidism,3611,H/O: hypothyroidism,History of Hypo or hyperthyroidism,NA,Kuan
1433.00,Hypo or hyperthyroidism,35608,H/O: thyroid disorder NOS,History of Hypo or hyperthyroidism,NA,Kuan
1434.00,Diabetes,6813,H/O: diabetes mellitus,NA,readcode,Cambridge
1443.00,Gout,3759,H/O: gout,History of Gout,NA,NA
1444.00,Obesity,16196,H/O: obesity,History of Obesity,NA,NA
145..11,Other anaemias,5833,H/O: anaemia,Possible Diagnosis of Other anaemias,NA,NA
1452,Vitamin B12 deficiency anaemia,54738,H/O: Anaemia vit.B12 deficient,History of Vitamin B12 deficiency anaemia,NA,NA
1453.00,Other haemolytic anaemias,21335,H/O: haemolytic anaemia,Possible Diagnosis of Other haemolytic anaemias,NA,NA
1454.00,Other anaemias,24953,H/O: anaemia NOS,Possible Diagnosis of Other anaemias,NA,NA
1458.00,Sickle-cell anaemia,100001,History of sickle cell anaemia,History of Sickle-cell anaemia,NA,NA
1461.00,Dementia,5931,H/O: dementia,History of Dementia,readcode,Kuan and Cambridge
1462.00,Alcohol Problems,8430,H/O: alcoholism,History of Alcohol Problems,NA,Kuan
1464.00,"Schizophrenia, schizotypal and delusional disorders",6325,H/O: schizophrenia,"History of Schizophrenia, schizotypal and delusional disorders",NA,NA
1465.00,Depression,2716,H/O: depression,History of Depression,readcode,Kuan and Cambridge
1466.00,Anxiety disorders,3407,H/O: anxiety state,History of Anxiety disorders,NA,Kuan
1467.00,Anorexia and bulimia nervosa,8027,H/O: anorexia nervosa,History of Anorexia and bulimia nervosa,readcode,Kuan and Cambridge
146C.00,Other psychoactive substance misuse,30565,Failed heroin detoxification,NA,readcode,Cambridge
146D.00,Bipolar affective disorder and mania,11548,H/O: manic depressive disorder,History of Bipolar affective disorder and mania,NA,NA
