Condition,ReadCode,MedCode,ReadTerm
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",Lyu1.00,92998,"[X]Oedema,proteinuria+hypertens in pregnancy,childbrth,puerp"
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L123000,55338,Transient hypertension of pregnancy unspecified
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L121.00,93143,Renal hypertension in pregnancy/childbirth/puerperium
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L122z00,62432,Other pre-existing hypertension in preg/childb/puerp NOS
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L123600,38882,Transient hypertension of pregnancy
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L121100,71717,Renal hypertension in pregnancy/childbirth/puerp - delivered
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L122400,113968,Other pre-exist hypertension in preg/childb/puerp + p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127300,53160,Pre-eclampsia or eclampsia with hypertension - not delivered
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L120100,44912,Benign essential hypertension in preg/childb/puerp - deliv
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L123.00,20439,Transient hypertension of pregnancy
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12z400,109055,Unspecified hypertension in preg/childb/puerp with p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L122300,96743,Other pre-exist hypertension in preg/childb/puerp-not deliv
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L16C.00,36394,Pregnancy induced oedema+proteinuria without hypertension
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L120000,37344,Benign essential hypertension in preg/childb/puerp unspec
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12z300,3421,Unspecified hypertension in preg/childb/puerp - not deliv
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L120300,61408,Benign essential hypertension in preg/childb/puerp-not deliv
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L128.00,44549,Pre-exist hypertension compl preg childbirth and puerperium
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127.00,43664,Pre-eclampsia or eclampsia with pre-existing hypertension
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127200,90577,Pre-eclampsia or eclampsia with hypertension - del+p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L123100,54942,Transient hypertension of pregnancy - delivered
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12..00,9170,Hypertension complicating pregnancy/childbirth/puerperium
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127400,105933,Pre-eclampsia or eclampsia with hypertension + p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127z00,93055,Pre-eclampsia or eclampsia + pre-existing hypertension NOS
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127100,42947,Pre-eclampsia or eclampsia with hypertension - delivered
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12z200,89561,Unspecified hypertension in preg/childb/puerp -del +p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L122100,72030,Other pre-existing hypertension in preg/childb/puerp - deliv
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12B.00,34173,Proteinuric hypertension of pregnancy
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L128000,60655,Pre-exist hyperten heart dis compl preg childbth+puerperium
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L127000,47741,Pre-eclampsia or eclampsia with hypertension unspecified
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12z.00,40723,Unspecified hypertension in pregnancy/childbirth/puerperium
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12z100,44068,Unspecified hypertension in preg/childb/puerp - delivered
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L123200,67035,Transient hypertension of pregnancy - deliv with p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L120400,73633,Benign essential hypertension in preg/childb/puerp +p/n comp
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L122000,73586,Other pre-existing hypertension in preg/childb/puerp unspec
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12zz00,35698,Unspecified hypertension in preg/childb/puerp NOS
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L12z000,41949,Unspecified hypertension in preg/childb/puerp unspecified
"Pregnancy disorders: hypertension in pregnancy, eclampsia and pre-eclampsia",L121300,97349,Renal hypertension in preg/childbirth/puerp - not delivered
