ProdCode,Gemscript,ProdName,BNF_code,BNF_header
339,80077020,Premique 0.625mg/5mg tablets (Pfizer Ltd),06060000/06040101,Drug Affecting Bone Metabolism/Oestrogens And Hrt
6492,87752020,Premique Low Dose 0.3mg/1.5mg modified-release tablets (Pfizer Ltd),06060000/06040101,Drug Affecting Bone Metabolism/Oestrogens And Hrt
11859,80079020,Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets,06060000/06040101,Drug Affecting Bone Metabolism/Oestrogens And Hrt
11934,87750020,Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets,06060000/06040101,Drug Affecting Bone Metabolism/Oestrogens And Hrt
52101,10827020,Premique 0.625mg/5mg tablets (Lexon (UK) Ltd),06060000/06040101,Drug Affecting Bone Metabolism/Oestrogens And Hrt
5569,84064020,Pro-gest Cream (Higher Nature Ltd),52010000/06040101,Herbal Remedy/Oestrogens And Hrt
1160,52551020,Prempak-C 0.625mg/0.15mg tablets (Pfizer Ltd),06040101,Oestrogens And Hrt
1331,51239020,Premarin 0.625mg tablets (Pfizer Ltd),06040101,Oestrogens And Hrt
774,51240020,Premarin 1.25mg tablets (Pfizer Ltd),06040101,Oestrogens And Hrt
256,73540020,Tibolone 2.5mg tablets,06040101,Oestrogens And Hrt
986,69411020,Estraderm TTS 50 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
1161,52742020,Prempak-C 1.25mg/0.15mg tablets (Pfizer Ltd),06040101,Oestrogens And Hrt
1268,79354020,Kliofem tablets (Novo Nordisk Ltd),06040101,Oestrogens And Hrt
2209,73528020,Livial 2.5mg tablets (Merck Sharp & Dohme Ltd),06040101,Oestrogens And Hrt
4382,85617020,Raloxifene 60mg tablets,06040101,Oestrogens And Hrt
2115,83754020,Kliovance tablets (Novo Nordisk Ltd),06040101,Oestrogens And Hrt
1488,74395020,Evorel -50 50microgram/24hr (3.2mg/unit) Transdermal patch (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
2208,58041020,Trisequens tablets (Novo Nordisk Ltd),06040101,Oestrogens And Hrt
4328,80545020,Elleste Solo 1mg tablets (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
1183,57072020,Estracombi TTS patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
3002,80551020,Elleste Duet 1mg tablets (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
206,69412020,Estraderm TTS 100 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
988,69410020,Estraderm TTS 25 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
2729,84851020,Evorel Conti patches (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
3423,61596020,Conjugated oestrogens 625microgram tablets,06040101,Oestrogens And Hrt
1873,68612020,Climaval 1mg tablets (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
4393,86142020,Elleste Duet Conti tablets (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
4909,80546020,Elleste Solo 2mg tablets (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
2262,68613020,Climaval 2mg tablets (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
3040,81876020,Estraderm MX 50 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
