Condition,OPCS4code,OPCS4codeDescr,Category
Early pregnancy loss,Q10.1,DILATION OF CERVIX UTERI AND CURETTAGE OF PRODUCTS OF CONCEP,CURETTAGE OF UTERUS
Early pregnancy loss,Q10.2,CURETTAGE OF PRODUCTS OF CONCEPTION FROM UTERUS NEC,CURETTAGE OF UTERUS
Early pregnancy loss,Q11.1,VACUUM ASPIRATION OF PRODUCTS OF CONCEPTION FROM UTERUS NEC,OTHER EVACUATION OF CONTENTS OF UTERUS
Early pregnancy loss,Q11.2,DILATION OF CERVIX UTERI AND EVACUATION OF PRODUCTS OF CONCE,OTHER EVACUATION OF CONTENTS OF UTERUS
Early pregnancy loss,Q11.3,EVACUATION OF PRODUCTS OF CONCEPTION FROM UTERUS NEC,OTHER EVACUATION OF CONTENTS OF UTERUS
Early pregnancy loss,Q11.5,VACUUM ASPIRATION/PRODUCTS OF CONCEPTION/UTERUS USING RIGID,OTHER EVACUATION OF CONTENTS OF UTERUS
Early pregnancy loss,Q11.6,VACUUM ASPIRATION/PRODUCTS OF CONCEPTION/UTERUS USING FLEXI,OTHER EVACUATION OF CONTENTS OF UTERUS
Early pregnancy loss,Q14.1,INTRA-AMNIOTIC INJECTION OF PROSTAGLANDIN,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.2,INTRA-AMNIOTIC INJECTION OF ABORTIFACIENT NEC,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.3,EXTRA-AMNIOTIC INJECTION OF PROSTAGLANDIN,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.4,EXTRA-AMNIOTIC INJECTION OF ABORTIFACIENT NEC,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.5,INSERTION OF PROSTAGLANDIN PESSARY,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.6,INSERTION OF ABORTIFACIENT PESSARY NEC,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.8,OTHER SPECIFIED,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,Q14.9,UNSPECIFIED,INTRODUCTION OF ABORTIFACIENT INTO UTERINE CAVITY
Early pregnancy loss,R03.1,EARLY SELECTIVE FETICIDE,SELECTIVE DESTRUCTION OF FETUS
Early pregnancy loss,R03.2,LATE SELECTIVE FETICIDE,SELECTIVE DESTRUCTION OF FETUS
Early pregnancy loss,R03.8,OTHER SPECIFIED,SELECTIVE DESTRUCTION OF FETUS
Early pregnancy loss,R03.9,UNSPECIFIED,SELECTIVE DESTRUCTION OF FETUS
