Disease,ReadCode,MedCode,ReadTerm
Coronary heart disease,14AL.00,45476,H/O: Treatment for ischaemic heart disease
Coronary heart disease,6A2..00,18135,Coronary heart disease annual review
Coronary heart disease,6A4..00,10260,Coronary heart disease review
Coronary heart disease,8B3k.00,11648,Coronary heart disease medication review
Coronary heart disease,8H2V.00,95550,Admit ischaemic heart disease emergency
Coronary heart disease,G3...00,240,Ischaemic heart disease
Coronary heart disease,G3...11,24783,Arteriosclerotic heart disease
Coronary heart disease,G3...12,20416,Atherosclerotic heart disease
Coronary heart disease,G3...13,1792,IHD - Ischaemic heart disease
Coronary heart disease,G31..00,27951,Other acute and subacute ischaemic heart disease
Coronary heart disease,G311000,61072,Myocardial infarction aborted
Coronary heart disease,G311011,55137,MI - myocardial infarction aborted
Coronary heart disease,G31y.00,9413,Other acute and subacute ischaemic heart disease
Coronary heart disease,G31y200,39693,Subendocardial ischaemia
Coronary heart disease,G31y300,21844,Transient myocardial ischaemia
Coronary heart disease,G31yz00,27977,Other acute and subacute ischaemic heart disease NOS
Coronary heart disease,G34..00,28138,Other chronic ischaemic heart disease
Coronary heart disease,G340.00,5413,Coronary atherosclerosis
Coronary heart disease,G340.12,1344,Coronary artery disease
Coronary heart disease,G343.00,7320,Ischaemic cardiomyopathy
Coronary heart disease,G344.00,29421,Silent myocardial ischaemia
Coronary heart disease,G34y.00,34633,Other specified chronic ischaemic heart disease
Coronary heart disease,G34y100,23078,Chronic myocardial ischaemia
Coronary heart disease,G34yz00,35713,Other specified chronic ischaemic heart disease NOS
Coronary heart disease,G34z.00,15754,Other chronic ischaemic heart disease NOS
Coronary heart disease,G34z000,18889,Asymptomatic coronary heart disease
Coronary heart disease,G3y..00,22383,Other specified ischaemic heart disease
Coronary heart disease,G3z..00,1676,Ischaemic heart disease NOS
Coronary heart disease,Gyu3.00,52517,[X]Ischaemic heart diseases
Coronary heart disease,Gyu3200,68401,[X]Other forms of acute ischaemic heart disease
Coronary heart disease,Gyu3300,47637,[X]Other forms of chronic ischaemic heart disease
Coronary heart disease,G33z400,32450,Ischaemic chest pain
Coronary heart disease,14A5.00,6336,H/O: angina pectoris
Coronary heart disease,14AJ.00,57062,H/O: Angina in last year
Coronary heart disease,662K.00,13185,Angina control
Coronary heart disease,662K000,19542,Angina control - good
Coronary heart disease,662K100,15373,Angina control - poor
Coronary heart disease,662K200,14782,Angina control - improving
Coronary heart disease,662Kz00,15349,Angina control NOS
Coronary heart disease,8B27.00,45960,Antianginal therapy
Coronary heart disease,G33..00,1430,Angina pectoris
Coronary heart disease,G330.00,20095,Angina decubitus
Coronary heart disease,G330000,18125,Nocturnal angina
Coronary heart disease,G330z00,29902,Angina decubitus NOS
Coronary heart disease,G33z.00,25842,Angina pectoris NOS
Coronary heart disease,G33z100,54535,Stenocardia
Coronary heart disease,G33z200,7696,Syncope anginosa
Coronary heart disease,G33z300,1414,Angina on effort
Coronary heart disease,G33z500,9555,Post infarct angina
Coronary heart disease,G33z600,26863,New onset angina
Coronary heart disease,G33z700,12804,Stable angina
Coronary heart disease,G33zz00,28554,Angina pectoris NOS
Coronary heart disease,G34y000,24540,Chronic coronary insufficiency
Coronary heart disease,Gyu3000,39546,[X]Other forms of angina pectoris
Coronary heart disease,7928.11,5703,Percutaneous balloon coronary angioplasty
Coronary heart disease,7928000,18670,Percut transluminal balloon angioplasty one coronary artery
Coronary heart disease,7928100,33735,Percut translum balloon angioplasty mult coronary arteries
Coronary heart disease,7928200,42462,Percut translum balloon angioplasty bypass graft coronary a
Coronary heart disease,7928300,86071,Percut translum cutting balloon angioplasty coronary artery
Coronary heart disease,7928y00,41547,Transluminal balloon angioplasty of coronary artery OS
Coronary heart disease,7928z00,732,Transluminal balloon angioplasty of coronary artery NOS
Coronary heart disease,7929000,22828,Percutaneous transluminal laser coronary angioplasty
Coronary heart disease,7929300,19046,Rotary blade coronary angioplasty
Coronary heart disease,7929400,8942,Insertion of coronary artery stent
Coronary heart disease,7929500,42304,Insertion of drug-eluting coronary artery stent
Coronary heart disease,7929600,93618,Percutaneous transluminal atherectomy of coronary artery
Coronary heart disease,792B000,22020,Endarterectomy of coronary artery NEC
Coronary heart disease,793G.00,43939,Perc translumin balloon angioplasty stenting coronary artery
Coronary heart disease,793G000,60067,Perc translum ball angio insert 1-2 drug elut stents cor art
Coronary heart disease,793G100,87849,Perc tran ball angio ins 3 or more drug elut stents cor art
Coronary heart disease,793G200,85947,Perc translum balloon angioplasty insert 1-2 stents cor art
Coronary heart disease,793G300,92927,Percutaneous cor balloon angiop 3 more stents cor art NEC
Coronary heart disease,793Gy00,96537,OS perc translumina balloon angioplast stenting coronary art
Coronary heart disease,793Gz00,61208,Perc translum balloon angioplasty stenting coronary art NOS
Coronary heart disease,7A54000,733,Percutaneous transluminal angioplasty of artery NEC
Coronary heart disease,7A54500,38813,Rotary blade angioplasty
Coronary heart disease,7A54800,70185,Percutaneous transluminal atherectomy
Coronary heart disease,7A56400,86773,Percutaneous transluminal balloon angioplasty of artery
Coronary heart disease,7A6G100,20903,Peroperative angioplasty
Coronary heart disease,7A6H300,64923,Prosthetic graft patch angioplasty
Coronary heart disease,7A6H400,66921,Percutaneous transluminal angioplasty of vascular graft
Coronary heart disease,792..11,737,Coronary artery bypass graft operations
Coronary heart disease,7920.00,18249,Saphenous vein graft replacement of coronary artery
Coronary heart disease,7920.11,8312,Saphenous vein graft bypass of coronary artery
Coronary heart disease,7920000,8679,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,7920100,7634,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,7920200,7442,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,7920300,11610,Saphenous vein graft replacement of four+ coronary arteries
Coronary heart disease,7920y00,7137,Saphenous vein graft replacement of coronary artery OS
Coronary heart disease,7920z00,51515,Saphenous vein graft replacement coronary artery NOS
Coronary heart disease,7921y00,9414,Other autograft replacement of coronary artery
Coronary heart disease,7921.11,7134,Other autograft bypass of coronary artery
Coronary heart disease,7921000,44561,Autograft replacement of one coronary artery NEC
Coronary heart disease,7921100,19413,Autograft replacement of two coronary arteries NEC
Coronary heart disease,7921200,10209,Autograft replacement of three coronary arteries NEC
Coronary heart disease,7921300,42708,Autograft replacement of four of more coronary arteries NEC
Coronary heart disease,7921y00,61310,Other autograft replacement of coronary artery OS
Coronary heart disease,7921z00,7609,Other autograft replacement of coronary artery NOS
Coronary heart disease,7922.00,31556,Allograft replacement of coronary artery
Coronary heart disease,7922.11,32651,Allograft bypass of coronary artery
Coronary heart disease,7922000,70111,Allograft replacement of one coronary artery
Coronary heart disease,7922100,57241,Allograft replacement of two coronary arteries
Coronary heart disease,7922200,45886,Allograft replacement of three coronary arteries
Coronary heart disease,7922300,45370,Allograft replacement of four or more coronary arteries
Coronary heart disease,7922y00,59423,Other specified allograft replacement of coronary artery
Coronary heart disease,7922z00,48767,Allograft replacement of coronary artery NOS
Coronary heart disease,7923.00,19402,Prosthetic replacement of coronary artery
Coronary heart disease,7923.11,36011,Prosthetic bypass of coronary artery
Coronary heart disease,7923000,92419,Prosthetic replacement of one coronary artery
Coronary heart disease,7923100,66664,Prosthetic replacement of two coronary arteries
Coronary heart disease,7923200,66236,Prosthetic replacement of three coronary arteries
Coronary heart disease,7923300,67761,Prosthetic replacement of four or more coronary arteries
Coronary heart disease,7923z00,19193,Prosthetic replacement of coronary artery NOS
Coronary heart disease,7925.00,37682,Connection of mammary artery to coronary artery
Coronary heart disease,7925.11,28837,Creation of bypass from mammary artery to coronary artery
Coronary heart disease,7925000,33718,Double anastomosis of mammary arteries to coronary arteries
Coronary heart disease,7925100,31519,Double implant of mammary arteries into coronary arteries
Coronary heart disease,7925300,51507,Single anastomosis of mammary artery to coronary artery NEC
Coronary heart disease,7925311,22647,LIMA single anastomosis
