Disease,ReadCode,MedCode,ReadTerm
End stage renal disease,14S2.00,49028,H/O: kidney recipient
End stage renal disease,14V2.00,20196,H/O: renal dialysis
End stage renal disease,14V2.11,44422,H/O: kidney dialysis
End stage renal disease,1Z14.00,12585,Chronic kidney disease stage 5
End stage renal disease,1Z1K.00,95508,Chronic kidney disease stage 5 with proteinuria
End stage renal disease,1Z1L.00,95405,Chronic kidney disease stage 5 without proteinuria
End stage renal disease,1Z1L.11,97683,CKD stage 5 without proteinuria
End stage renal disease,4I29.00,98888,Peritoneal dialysis sample
End stage renal disease,4N0..00,101736,Dialysis fluid urea level
End stage renal disease,4N2..00,86419,Dialysis fluid glucose level
End stage renal disease,7B00100,11745,Transplantation of kidney from live donor
End stage renal disease,7B00111,66705,Allotransplantation of kidney from live donor
End stage renal disease,7B00200,24361,Transplantation of kidney from cadaver
End stage renal disease,7B00211,98364,Allotransplantation of kidney from cadaver
End stage renal disease,7B00212,105328,Cadaveric renal transplant
End stage renal disease,7B00300,89924,"Allotransplantation of kidney from cadaver, heart-beating"
End stage renal disease,7B00400,96133,"Allotransplantation kidney from cadaver, heart non-beating"
End stage renal disease,7B00500,109455,Allotransplantation of kidney from cadaver NEC
End stage renal disease,7B00.00,2997,Transplantation of kidney
End stage renal disease,7B00y00,70874,Other specified transplantation of kidney
End stage renal disease,7B00z00,5504,Transplantation of kidney NOS
End stage renal disease,7B01511,72004,Excision of rejected transplanted kidney
End stage renal disease,7B06300,26862,Exploration of renal transplant
End stage renal disease,7B0F300,103429,"Post-transplantation of kidney examination, recipient"
End stage renal disease,7B0F.00,93366,Interventions associated with transplantation of kidney
End stage renal disease,7B0Fy00,104050,OS interventions associated with transplantation of kidney
End stage renal disease,7B0Fz00,104049,Interventions associated with transplantation of kidney NOS
End stage renal disease,7L1A000,20073,Renal dialysis
End stage renal disease,7L1A011,101756,Thomas intravascular shunt for dialysis
End stage renal disease,7L1A100,2994,Peritoneal dialysis
End stage renal disease,7L1A200,2996,Haemodialysis NEC
End stage renal disease,7L1A400,88597,Automated peritoneal dialysis
End stage renal disease,7L1A500,30756,Continuous ambulatory peritoneal dialysis
End stage renal disease,7L1A600,64828,Peritoneal dialysis NEC
End stage renal disease,7L1A.11,11773,Dialysis for renal failure
End stage renal disease,7L1B000,8037,Insertion of ambulatory peritoneal dialysis catheter
End stage renal disease,7L1B100,23773,Removal of ambulatory peritoneal dialysis catheter
End stage renal disease,7L1B200,104586,Flushing of peritoneal dialysis catheter
End stage renal disease,7L1B.11,36442,Placement ambulatory dialysis apparatus - compens renal fail
End stage renal disease,7L1C000,30709,Insertion of temporary peritoneal dialysis catheter
End stage renal disease,8882.00,52123,Intestinal dialysis
End stage renal disease,G72C.00,105760,Ruptured aneurysm of dialysis vascular access
End stage renal disease,G72D000,110095,Aneurysm of superficialised artery of dialysis AV fistula
End stage renal disease,G72D100,107220,Aneurysm of needle site of dialysis arteriovenous fistula
End stage renal disease,G72D200,105742,Aneurysm of anastomotic site of dialysis AV fistula
End stage renal disease,G72D.00,107188,Aneurysm of dialysis arteriovenous fistula
End stage renal disease,Gy10.00,108699,Stenosis of dialysis arteriovenous graft
End stage renal disease,Gy1..00,107746,Stenosis of dialysis vascular access
End stage renal disease,Gy21.00,106720,Thrombosis of dialysis arteriovenous fistula
End stage renal disease,Gy2..00,109809,Thrombosis of dialysis vascular access
End stage renal disease,Gy30.00,109135,Occlusion of dialysis arteriovenous graft
End stage renal disease,Gy31.00,107082,Occlusion of dialysis arteriovenous fistula
End stage renal disease,Gy3..00,108116,Occlusion of dialysis vascular access
End stage renal disease,Gy40.00,108213,Infection of dialysis arteriovenous graft
End stage renal disease,Gy41.00,107260,Infection of dialysis arteriovenous fistula
End stage renal disease,Gy4..00,110051,Infection of dialysis vascular access
End stage renal disease,Gy51.00,106975,Haemorrhage of dialysis arteriovenous fistula
End stage renal disease,Gy5..00,108759,Haemorrhage of dialysis vascular access
End stage renal disease,Gy60.00,108423,Rupture of dialysis arteriovenous graft
End stage renal disease,K050.00,6712,End stage renal failure
End stage renal disease,K05..12,53852,End stage renal failure
End stage renal disease,K0B5.00,48057,Renal tubulo-interstitial disordrs in transplant rejectn
End stage renal disease,K0D..00,8330,End-stage renal disease
End stage renal disease,Kyu1C00,100693,[X]Renal tubulo-interstitial disorders/transplant rejection
End stage renal disease,SP01500,48639,Mechanical complication of dialysis catheter
End stage renal disease,SP05613,46438,[X] Peritoneal dialysis associated peritonitis
End stage renal disease,SP06B00,101124,Continuous ambulatory peritoneal dialysis associated perit
End stage renal disease,SP07G00,59315,Stenosis of arteriovenous dialysis fistula
End stage renal disease,SP08300,11553,Kidney transplant failure and rejection
End stage renal disease,SP08D00,104905,Acute-on-chronic rejection of renal transplant
End stage renal disease,SP08E00,104960,Acute rejection of renal transplant - grade I
End stage renal disease,SP08F00,107000,Acute rejection of renal transplant - grade II
End stage renal disease,SP08G00,104630,Acute rejection of renal transplant - grade III
End stage renal disease,SP08H00,104201,Acute rejection of renal transplant
End stage renal disease,SP08J00,106620,Chronic rejection of renal transplant
End stage renal disease,SP08N00,105724,Unexplained episode of renal transplant dysfunction
End stage renal disease,SP08P00,106301,Stenosis of vein of transplanted kidney
End stage renal disease,SP08R00,105811,Renal transplant rejection
End stage renal disease,SP08T00,107752,Urological complication of renal transplant
End stage renal disease,SP08V00,108437,Very mild acute rejection of renal transplant
End stage renal disease,SP08W00,106866,Vascular complication of renal transplant
End stage renal disease,SP0E.00,107900,Disorders associated with peritoneal dialysis
End stage renal disease,SP0F.00,108785,Haemodialysis first use syndrome
End stage renal disease,SP0G.00,105436,Anaphylactoid reaction due to haemodialysis
End stage renal disease,TA02000,96184,"Accid cut,puncture,perf,h'ge - kidney dialysis"
End stage renal disease,TA22000,69266,Failure of sterile precautions during kidney dialysis
End stage renal disease,TB00100,54990,"Kidney transplant with complication, without blame"
End stage renal disease,TB00111,18774,"Renal transplant with complication, without blame"
End stage renal disease,TB11.00,28158,"Kidney dialysis with complication, without blame"
End stage renal disease,TB11.11,66714,"Renal dialysis with complication, without blame"
End stage renal disease,Z1A1.00,104719,Peritoneal dialysis training
End stage renal disease,Z1A2.00,74905,Haemodialysis training
End stage renal disease,Z1A..00,101912,Dialysis training
End stage renal disease,Z919100,72336,Priming haemodialysis lines
End stage renal disease,Z919200,110072,Washing back through haemodialysis lines
End stage renal disease,Z919300,60498,Reversing haemodialysis lines
End stage renal disease,Z919.00,60446,Care of haemodialysis equipment
End stage renal disease,Z91A.00,63502,Peritoneal dialysis bag procedure
End stage renal disease,ZV42000,5911,[V]Kidney transplanted
End stage renal disease,ZV45100,22252,[V]Renal dialysis status
End stage renal disease,ZV56000,99692,[V]Aftercare involving extracorporeal dialysis
End stage renal disease,ZV56011,46145,[V]Aftercare involving renal dialysis NOS
End stage renal disease,ZV56y00,63488,[V]Other specified aftercare involving intermittent dialysis
End stage renal disease,ZV56y11,45160,[V]Aftercare involving peritoneal dialysis
End stage renal disease,ZV56.00,60743,[V]Aftercare involving intermittent dialysis
End stage renal disease,ZV56z00,63038,[V]Unspecified aftercare involving intermittent dialysis
End stage renal disease,ZVu3G00,69760,[X]Other dialysis
