Disease,ReadCode,MedCode,ReadTerm
Glomerulonephritis and other nephritides,D310100,22897,Henoch-Schonlein nephritis
Glomerulonephritis and other nephritides,G752111,107564,Antiglomerular basement membrane disease
Glomerulonephritis and other nephritides,G752112,107045,Anti GBM disease - Antiglomerular basement membrane disease
Glomerulonephritis and other nephritides,K000100,105723,Crescentic glomerulonephritis
Glomerulonephritis and other nephritides,K000111,108711,CGN - Crescentic glomerulonephritis
Glomerulonephritis and other nephritides,K000.00,29384,Acute proliferative glomerulonephritis
Glomerulonephritis and other nephritides,K001.00,67460,Acute nephritis with lesions of necrotising glomerulitis
Glomerulonephritis and other nephritides,K00..00,2088,Acute glomerulonephritis
Glomerulonephritis and other nephritides,K00..12,20074,Bright's disease
Glomerulonephritis and other nephritides,K00y000,20027,Acute glomerulonephritis in diseases EC
Glomerulonephritis and other nephritides,K00y.00,63599,Other acute glomerulonephritis
Glomerulonephritis and other nephritides,K00yz00,47838,Other acute glomerulonephritis NOS
Glomerulonephritis and other nephritides,K00z.00,20129,Acute glomerulonephritis NOS
Glomerulonephritis and other nephritides,K010.00,9840,Nephrotic syndrome with proliferative glomerulonephritis
Glomerulonephritis and other nephritides,K011.00,1803,Nephrotic syndrome with membranous glomerulonephritis
Glomerulonephritis and other nephritides,K012.00,99644,Nephrotic syndrome+membranoproliferative glomerulonephritis
Glomerulonephritis and other nephritides,K013.00,29634,Nephrotic syndrome with minimal change glomerulonephritis
Glomerulonephritis and other nephritides,K013.11,40349,Lipoid nephrosis
Glomerulonephritis and other nephritides,K013.12,57926,Steroid sensitive nephrotic syndrome
Glomerulonephritis and other nephritides,K014.00,23913,"Nephrotic syndrome, minor glomerular abnormality"
Glomerulonephritis and other nephritides,K015.00,22852,"Nephrotic syndrome, focal and segmental glomerular lesions"
Glomerulonephritis and other nephritides,K016.00,19316,"Nephrotic syndrome, diffuse membranous glomerulonephritis"
Glomerulonephritis and other nephritides,K017.00,21947,Nephrotic syn difus mesangial prolifertiv glomerulonephritis
Glomerulonephritis and other nephritides,K018.00,50472,"Nephrotic syn,difus endocapilary proliftv glomerulonephritis"
Glomerulonephritis and other nephritides,K019.00,21989,"Nephrotic syn,diffuse mesangiocapillary glomerulonephritis"
Glomerulonephritis and other nephritides,K01A.00,56987,"Nephrotic syndrome, dense deposit disease"
Glomerulonephritis and other nephritides,K01B.00,17365,"Nephrotic syndrome, diffuse crescentic glomerulonephritis"
Glomerulonephritis and other nephritides,K01..00,2999,Nephrotic syndrome
Glomerulonephritis and other nephritides,K01x000,47922,Nephrotic syndrome in amyloidosis
Glomerulonephritis and other nephritides,K01x200,99201,Nephrotic syndrome in malaria
Glomerulonephritis and other nephritides,K01x300,58750,Nephrotic syndrome in polyarteritis nodosa
Glomerulonephritis and other nephritides,K01x400,47672,Nephrotic syndrome in systemic lupus erythematosus
Glomerulonephritis and other nephritides,K01x411,22205,Lupus nephritis
Glomerulonephritis and other nephritides,K01x.00,108816,Nephrotic syndrome in diseases EC
Glomerulonephritis and other nephritides,K01y.00,94373,Nephrotic syndrome with other pathological kidney lesions
Glomerulonephritis and other nephritides,K01z.00,27427,Nephrotic syndrome NOS
Glomerulonephritis and other nephritides,K020.00,34998,Chronic proliferative glomerulonephritis
Glomerulonephritis and other nephritides,K021.00,10809,Chronic membranous glomerulonephritis
Glomerulonephritis and other nephritides,K022.00,61494,Chronic membranoproliferative glomerulonephritis
Glomerulonephritis and other nephritides,K023.00,65064,Chronic rapidly progressive glomerulonephritis
Glomerulonephritis and other nephritides,K02..00,7804,Chronic glomerulonephritis
Glomerulonephritis and other nephritides,K02y000,97758,Chronic glomerulonephritis + diseases EC
Glomerulonephritis and other nephritides,K02y200,4669,Chronic focal glomerulonephritis
Glomerulonephritis and other nephritides,K02y300,65400,Chronic diffuse glomerulonephritis
Glomerulonephritis and other nephritides,K02y.00,60960,Other chronic glomerulonephritis
Glomerulonephritis and other nephritides,K02yz00,63615,Other chronic glomerulonephritis NOS
