Disease,ReadCode,MedCode,ReadTerm
Non-Hodgkin Lymphoma,A789600,44617,HIV disease resulting in Burkitt's lymphoma
Non-Hodgkin Lymphoma,A789700,66367,HIV dis resulting oth types of non-Hodgkin's lymphoma
Non-Hodgkin Lymphoma,AyuC600,69767,[X]HIV disease resulting in other non-Hodgkin's lymphoma
Non-Hodgkin Lymphoma,B600000,60242,Reticulosarcoma of unspecified site
Non-Hodgkin Lymphoma,B600100,71031,"Reticulosarcoma of lymph nodes of head, face and neck"
Non-Hodgkin Lymphoma,B600300,70374,Reticulosarcoma of intra-abdominal lymph nodes
Non-Hodgkin Lymphoma,B600700,95058,Reticulosarcoma of spleen
Non-Hodgkin Lymphoma,B600.00,1481,Reticulosarcoma
Non-Hodgkin Lymphoma,B600z00,99240,Reticulosarcoma NOS
Non-Hodgkin Lymphoma,B601000,71625,Lymphosarcoma of unspecified site
Non-Hodgkin Lymphoma,B601100,71238,"Lymphosarcoma of lymph nodes of head, face and neck"
Non-Hodgkin Lymphoma,B601200,62380,Lymphosarcoma of intrathoracic lymph nodes
Non-Hodgkin Lymphoma,B601300,64670,Lymphosarcoma of intra-abdominal lymph nodes
Non-Hodgkin Lymphoma,B601500,100352,Lymphosarcoma of lymph nodes of inguinal region and leg
Non-Hodgkin Lymphoma,B601700,103245,Lymphosarcoma of spleen
Non-Hodgkin Lymphoma,B601800,104790,Lymphosarcoma of lymph nodes of multiple sites
Non-Hodgkin Lymphoma,B601.00,27416,Lymphosarcoma
Non-Hodgkin Lymphoma,B601z00,63723,Lymphosarcoma NOS
Non-Hodgkin Lymphoma,B602100,59115,"Burkitt's lymphoma of lymph nodes of head, face and neck"
Non-Hodgkin Lymphoma,B602200,100006,Burkitt's lymphoma of intrathoracic lymph nodes
Non-Hodgkin Lymphoma,B602300,97577,Burkitt's lymphoma of intra-abdominal lymph nodes
Non-Hodgkin Lymphoma,B602500,92380,Burkitt's lymphoma of lymph nodes of inguinal region and leg
Non-Hodgkin Lymphoma,B602.00,21402,Burkitt's lymphoma
Non-Hodgkin Lymphoma,B602z00,71304,Burkitt's lymphoma NOS
Non-Hodgkin Lymphoma,B60..00,41369,Lymphosarcoma and reticulosarcoma
Non-Hodgkin Lymphoma,B60y.00,99887,Other specified reticulosarcoma or lymphosarcoma
Non-Hodgkin Lymphoma,B60z.00,99951,Reticulosarcoma or lymphosarcoma NOS
Non-Hodgkin Lymphoma,B620000,66327,Nodular lymphoma of unspecified site
Non-Hodgkin Lymphoma,B620100,45264,"Nodular lymphoma of lymph nodes of head, face and neck"
Non-Hodgkin Lymphoma,B620200,105203,Nodular lymphoma of intrathoracic lymph nodes
Non-Hodgkin Lymphoma,B620300,92068,Nodular lymphoma of intra-abdominal lymph nodes
Non-Hodgkin Lymphoma,B620500,94995,Nodular lymphoma of lymph nodes of inguinal region and leg
Non-Hodgkin Lymphoma,B620800,58082,Nodular lymphoma of lymph nodes of multiple sites
Non-Hodgkin Lymphoma,B620.00,5179,Nodular lymphoma (Brill - Symmers disease)
Non-Hodgkin Lymphoma,B620z00,65701,Nodular lymphoma NOS
Non-Hodgkin Lymphoma,B621000,95949,Mycosis fungoides of unspecified site
Non-Hodgkin Lymphoma,B621300,91674,Mycosis fungoides of intra-abdominal lymph nodes
Non-Hodgkin Lymphoma,B621400,96379,Mycosis fungoides of lymph nodes of axilla and upper limb
Non-Hodgkin Lymphoma,B621500,72714,Mycosis fungoides of lymph nodes of inguinal region and leg
Non-Hodgkin Lymphoma,B621800,95012,Mycosis fungoides of lymph nodes of multiple sites
Non-Hodgkin Lymphoma,B621.00,12006,Mycosis fungoides
Non-Hodgkin Lymphoma,B621z00,38005,Mycosis fungoides NOS
Non-Hodgkin Lymphoma,B622.00,35014,Sezary's disease
Non-Hodgkin Lymphoma,B622z00,100532,Sezary's disease NOS
Non-Hodgkin Lymphoma,B627000,28639,Follicular non-Hodgkin's small cleaved cell lymphoma
Non-Hodgkin Lymphoma,B627100,70842,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
Non-Hodgkin Lymphoma,B627200,49262,Follicular non-Hodgkin's large cell lymphoma
Non-Hodgkin Lymphoma,B627300,50668,Diffuse non-Hodgkin's small cell (diffuse) lymphoma
Non-Hodgkin Lymphoma,B627400,108182,Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
Non-Hodgkin Lymphoma,B627500,50695,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
Non-Hodgkin Lymphoma,B627600,53551,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
Non-Hodgkin Lymphoma,B627700,17460,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
Non-Hodgkin Lymphoma,B627800,65180,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
Non-Hodgkin Lymphoma,B627900,95715,Mucosa-associated lymphoma
Non-Hodgkin Lymphoma,B627911,95545,Maltoma
Non-Hodgkin Lymphoma,B627A00,101114,Diffuse non-Hodgkin's large cell lymphoma
Non-Hodgkin Lymphoma,B627.00,3604,Non - Hodgkin's lymphoma
Non-Hodgkin Lymphoma,B627.11,104391,Non-Hodgkin lymphoma
Non-Hodgkin Lymphoma,B627B00,31576,Other types of follicular non-Hodgkin's lymphoma
Non-Hodgkin Lymphoma,B627C00,21549,Follicular non-Hodgkin's lymphoma
Non-Hodgkin Lymphoma,B627C11,17182,Follicular lymphoma NOS
Non-Hodgkin Lymphoma,B627D00,70509,Diffuse non-Hodgkin's centroblastic lymphoma
Non-Hodgkin Lymphoma,B627E00,102594,Diffuse large B-cell lymphoma
Non-Hodgkin Lymphoma,B627F00,105966,Extranod marg zone B-cell lymphom mucosa-assoc lymphoid tiss
Non-Hodgkin Lymphoma,B627G00,105038,Mediastinal (thymic) large B-cell lymphoma
Non-Hodgkin Lymphoma,B627W00,31794,Unspecified B-cell non-Hodgkin's lymphoma
Non-Hodgkin Lymphoma,B627X00,39798,"Diffuse non-Hodgkin's lymphoma, unspecified"
Non-Hodgkin Lymphoma,B628000,105889,Follicular lymphoma grade 1
Non-Hodgkin Lymphoma,B628100,105095,Follicular lymphoma grade 2
Non-Hodgkin Lymphoma,B628200,107166,Follicular lymphoma grade 3
Non-Hodgkin Lymphoma,B628300,105020,Follicular lymphoma grade 3a
Non-Hodgkin Lymphoma,B628400,107973,Follicular lymphoma grade 3b
Non-Hodgkin Lymphoma,B628500,106969,Diffuse follicle centre lymphoma
Non-Hodgkin Lymphoma,B628600,108719,Cutaneous follicle centre lymphoma
Non-Hodgkin Lymphoma,B628700,106063,Other types of follicular lymphoma
Non-Hodgkin Lymphoma,B628.00,104152,Follicular lymphoma
Non-Hodgkin Lymphoma,B62E100,105559,"Anaplastic large cell lymphoma, ALK-positive"
Non-Hodgkin Lymphoma,B62E200,105955,"Anaplastic large cell lymphoma, ALK-negative"
Non-Hodgkin Lymphoma,B62E300,104862,Cutaneous T-cell lymphoma
Non-Hodgkin Lymphoma,B62E400,109780,"Extranodal NK/T-cell lymphoma, nasal type"
Non-Hodgkin Lymphoma,B62E500,107949,Hepatosplenic T-cell lymphoma
Non-Hodgkin Lymphoma,B62E600,105709,Enteropathy-associated T-cell lymphoma
Non-Hodgkin Lymphoma,B62E700,105925,Subcutaneous panniculitic T-cell lymphoma
Non-Hodgkin Lymphoma,B62E800,105375,Blastic NK-cell lymphoma
