Disease,ReadCode,MedCode,ReadTerm
Rheumatic valve dz,G110.11,32435,Rheumatic mitral stenosis
Rheumatic valve dz,G111.00,51879,Rheumatic mitral insufficiency
Rheumatic valve dz,G111.11,21807,Mitral incompetence - rheumatic
Rheumatic valve dz,G111.12,22837,Mitral regurgitation - rheumatic
Rheumatic valve dz,G11..11,16545,Rheumatic mitral valve disease
Rheumatic valve dz,G120.00,9391,Rheumatic aortic stenosis
Rheumatic valve dz,G121.00,32211,Rheumatic aortic insufficiency
Rheumatic valve dz,G121.11,43347,Aortic incompetence - rheumatic
Rheumatic valve dz,G121.12,7963,Aortic regurgitation - rheumatic
Rheumatic valve dz,G122.00,63960,Rheumatic aortic stenosis with insufficiency
Rheumatic valve dz,G12..00,18100,Rheumatic aortic valve disease
Rheumatic valve dz,G12z.00,50809,Rheumatic aortic valve disease NOS
Rheumatic valve dz,G140000,31505,Rheumatic tricuspid stenosis
Rheumatic valve dz,G140100,60266,Rheumatic tricuspid insufficiency
Rheumatic valve dz,G140111,21980,Tricuspid regurgitation - rheumatic
Rheumatic valve dz,G140112,42239,Tricuspid incompetence - rheumatic
Rheumatic valve dz,G140200,93114,Rheumatic tricuspid stenosis and insufficiency
Rheumatic valve dz,G14021X,93113,Rheumatic tricuspid stenosis and regurgitation
Rheumatic valve dz,G14021Y,62186,Rheumatic tricuspid stenosis and incompetence
Rheumatic valve dz,G140z00,72613,Rheumatic tricuspid valve disease NOS
Rheumatic valve dz,G141000,62207,Rheumatic pulmonary stenosis
Rheumatic valve dz,G141100,54088,Rheumatic pulmonary insufficiency
Rheumatic valve dz,G141200,105626,Rheumatic pulmonary stenosis and insufficiency
Rheumatic valve dz,G141.00,44167,Rheumatic pulmonary valve disease
Rheumatic valve dz,G141z00,36768,Rheumatic pulmonary valve disease NOS
Rheumatic valve dz,G14z.11,59275,"Rheumatic valvulitis, chronic NOS"
Rheumatic valve dz,Gyu1100,94521,[X]Other rheumatic aortic valve diseases
