"Condition","ReadCode","MedCode","ReadTerm"
"SARS-CoV-2","8HkI.00",115420,"Referral to Your COViD Recovery rehabilitation platform*"
"SARS-CoV-2","8HkjG00",115404,"Signposting to Your COVID Recovery*"
"SARS-CoV-2","8HTE600",115418,"Referral to post-COVID assessment clinic*"
"SARS-CoV-2","43hF.00",115037,"Detection of SARS-CoV-2 by PCR*"
"SARS-CoV-2","43jS.00",91124,"Coronavirus nucleic acid detection"
"SARS-CoV-2","43kB100",115426,"SARS-CoV-2 antigen positive*"
"SARS-CoV-2","4J3R100",114771,"2019-nCoV (novel coronavirus) detected"
"SARS-CoV-2","A795200",114899,"COVID-19 confirmed by laboratory test*"
"SARS-CoV-2","38VO.00",114945,"COVID-19 severity score*"
"SARS-CoV-2","8HkjC00",114927,"Signposting to CHMS (COVID-19 Home Management Service)*"
"SARS-CoV-2","A795.00",50068,"Coronavirus infection"
"SARS-CoV-2","A795100",114765,"Disease caused by 2019-nCoV (novel coronavirus)"
"SARS-CoV-2","A795300",114934,"COVID-19 confirmed using clinical diagnostic criteria*"
"SARS-CoV-2","A795400",115516,"Acute disease caused by SARS-CoV-2*"
"SARS-CoV-2","A795500",115513,"Ongoing symptomatic COVID-19*"
"SARS-CoV-2","A7y0000",114891,"Coronavirus as cause of dis classified to other chapters"
"SARS-CoV-2","AyuDC00",114762,"[X]Coronavirus infection, unspecified"
"SARS-CoV-2","AyuKL00",115315,"[X]Coronavirus/cause/diseases classified to other chapters"
"SARS-CoV-2","A076400",115295,"Gastroenteri due to SARS-CoV-2*"
"SARS-CoV-2","AyuJC00",115419,"Post-COVID-19 syndrome*"
"SARS-CoV-2","F289.00",115139,"Encephalopat due to SARS-CoV-2*"
"SARS-CoV-2","F529.00",115188,"Otitis media due to SARS-CoV-2*"
"SARS-CoV-2","G520800",115325,"Myocarditis due to SARS-CoV-2*"
"SARS-CoV-2","H051100",115080,"URTI due to SARS-CoV-2*"
"SARS-CoV-2","H204.00",115008,"Pneumonia due to SARS-CoV-2*"
