Disease,ReadCode,MedCode,ReadTerm
Autism and Asperger's syndrome,E140000,63251,Active infantile autism
Autism and Asperger's syndrome,E140100,69016,Residual infantile autism
Autism and Asperger's syndrome,E140.00,22098,Infantile autism
Autism and Asperger's syndrome,E140.11,43444,Kanner's syndrome
Autism and Asperger's syndrome,E140.12,1276,Autism
Autism and Asperger's syndrome,E140.13,7302,Childhood autism
Autism and Asperger's syndrome,E140z00,36662,Infantile autism NOS
Autism and Asperger's syndrome,Eu84000,3637,[X]Childhood autism
Autism and Asperger's syndrome,Eu84011,9982,[X]Autistic disorder
Autism and Asperger's syndrome,Eu84012,50337,[X]Infantile autism
Autism and Asperger's syndrome,Eu84014,110478,[X]Kanner's syndrome
Autism and Asperger's syndrome,Eu84100,24044,[X]Atypical autism
Autism and Asperger's syndrome,Eu84112,34174,[X]Mental retardation with autistic features
Autism and Asperger's syndrome,Eu84500,2950,[X]Asperger's syndrome
Autism and Asperger's syndrome,Eu84511,51375,[X]Autistic psychopathy
Autism and Asperger's syndrome,Eu84z11,42941,[X]Autistic spectrum disorder
