Disease,ReadCode,MedCode,ReadTerm
Constipation,J521100,109116,Irritable bowel syndrome characterised by constipation
Constipation,J520400,99999,Chronic constipation
Constipation,J520y00,24180,Other specified constipation
Constipation,J520300,26022,Drug induced constipation
Constipation,19CZ.00,20450,Constipation NOS
Constipation,19C..00,1028,Constipation
Constipation,J520100,6364,Chronic constipation with overflow
Constipation,19C..11,2004,Constipation symptom
Constipation,J520.00,1709,Constipation - functional
Constipation,J520z00,5803,Constipation NOS
Constipation,J520200,25797,Chronic constipation without overflow
Constipation,19C2.00,17652,Constipated
