"Disease","ReadCode","MedCode","ReadTerm"
"Depression","1465.00",2716,"H/O: depression"
"Depression","1B17.00",1996,"Depressed"
"Depression","1B17.11",4824,"C/O - feeling depressed"
"Depression","1B1U.00",9796,"Symptoms of depression"
"Depression","1B1U.11",10438,"Depressive symptoms"
"Depression","1BT..00",10015,"Depressed mood"
"Depression","212S.00",19439,"Depression resolved"
"Depression","2257.00",1908,"O/E - depressed"
"Depression","62T1.00",2923,"Puerperal depression"
"Depression","6G00.00",18702,"Postnatal depression counselling"
"Depression","8BK0.00",44848,"Depression management programme"
"Depression","8CAa.00",30483,"Patient given advice about management of depression"
"Depression","8HHq.00",32841,"Referral for guided self-help for depression"
"Depression","9H90.00",12399,"Depression annual review"
"Depression","9H91.00",12122,"Depression medication review"
"Depression","9H92.00",30405,"Depression interim review"
"Depression","9HA0.00",42931,"On depression register"
"Depression","9HA1.00",44936,"Removed from depression register"
"Depression","9k4..00",30583,"Depression - enhanced services administration"
"Depression","9k40.00",65435,"Depression - enhanced service completed"
"Depression","9kQ..00",96995,"On full dose long term treatment depression - enh serv admin"
"Depression","9Ov..00",51258,"Depression monitoring administration"
"Depression","9Ov0.00",71009,"Depression monitoring first letter"
"Depression","9Ov1.00",72966,"Depression monitoring second letter"
"Depression","9Ov2.00",91105,"Depression monitoring third letter"
"Depression","9Ov3.00",88644,"Depression monitoring verbal invite"
"Depression","9Ov4.00",85852,"Depression monitoring telephone invite"
"Depression","E001300",27677,"Presenile dementia with depression"
"Depression","E002100",21887,"Senile dementia with depression"
"Depression","E004300",43292,"Arteriosclerotic dementia with depression"
"Depression","E11..12",2560,"Depressive psychoses"
"Depression","E112.00",10610,"Single major depressive episode"
"Depression","E112.11",5879,"Agitated depression"
"Depression","E112.12",6546,"Endogenous depression first episode"
"Depression","E112.13",6950,"Endogenous depression first episode"
"Depression","E112.14",595,"Endogenous depression"
"Depression","E112000",34390,"Single major depressive episode, unspecified"
"Depression","E112100",16506,"Single major depressive episode, mild"
"Depression","E112200",15155,"Single major depressive episode, moderate"
"Depression","E112300",15219,"Single major depressive episode, severe, without psychosis"
"Depression","E112400",32159,"Single major depressive episode, severe, with psychosis"
"Depression","E112500",43324,"Single major depressive episode, partial or unspec remission"
"Depression","E112600",57409,"Single major depressive episode, in full remission"
"Depression","E112z00",7011,"Single major depressive episode NOS"
"Depression","E113.00",15099,"Recurrent major depressive episode"
"Depression","E113.11",6932,"Endogenous depression - recurrent"
"Depression","E113000",35671,"Recurrent major depressive episodes, unspecified"
"Depression","E113100",29342,"Recurrent major depressive episodes, mild"
"Depression","E113200",14709,"Recurrent major depressive episodes, moderate"
"Depression","E113300",25697,"Recurrent major depressive episodes, severe, no psychosis"
"Depression","E113400",24171,"Recurrent major depressive episodes, severe, with psychosis"
"Depression","E113500",56273,"Recurrent major depressive episodes,partial/unspec remission"
"Depression","E113600",55384,"Recurrent major depressive episodes, in full remission"
"Depression","E113700",6482,"Recurrent depression"
"Depression","E113z00",25563,"Recurrent major depressive episode NOS"
"Depression","E118.00",10825,"Seasonal affective disorder"
"Depression","E11y200",27491,"Atypical depressive disorder"
"Depression","E11z200",9183,"Masked depression"
"Depression","E130.00",8478,"Reactive depressive psychosis"
"Depression","E130.11",17770,"Psychotic reactive depression"
"Depression","E135.00",1055,"Agitated depression"
"Depression","E200300",655,"Anxiety with depression"
"Depression","E204.00",1131,"Neurotic depression reactive type"
