Disease,ReadCode,MedCode,ReadTerm
Diabetes,13L4.11,16946,Diabetic child
Diabetes,1434.00,6813,H/O: diabetes mellitus
Diabetes,66A3.00,7563,Diabetic on diet only
Diabetes,66A4.00,1684,Diabetic on oral treatment
Diabetes,66A5.00,8842,Diabetic on insulin
Diabetes,66AI.00,13071,Diabetic - good control
Diabetes,66AJ.00,2378,Diabetic - poor control
Diabetes,66AJ.11,9013,Unstable diabetes
Diabetes,66AJ100,2478,Brittle diabetes
Diabetes,66AJz00,22023,Diabetic - poor control NOS
Diabetes,66AK.00,43951,Diabetic - cooperative patient
Diabetes,66AL.00,17869,Diabetic-uncooperative patient
Diabetes,66As.00,101728,Diabetic on subcutaneous treatment
Diabetes,66AV.00,28769,Diabetic on insulin and oral treatment
Diabetes,C10..00,711,Diabetes mellitus
Diabetes,C100.00,38986,Diabetes mellitus with no mention of complication
Diabetes,C100000,24490,Diabetes mellitus
Diabetes,C100011,1038,Insulin dependent diabetes mellitus
Diabetes,C100100,14803,Diabetes mellitus
Diabetes,C100111,14889,Maturity onset diabetes
Diabetes,C100112,506,Non-insulin dependent diabetes mellitus
Diabetes,C100z00,50972,Diabetes mellitus NOS with no mention of complication
Diabetes,C101.00,1682,Diabetes mellitus with ketoacidosis
Diabetes,C101000,53200,Diabetes mellitus
Diabetes,C101100,54856,Diabetes mellitus
Diabetes,C101y00,38617,Other specified diabetes mellitus with ketoacidosis
Diabetes,C101z00,42505,Diabetes mellitus NOS with ketoacidosis
Diabetes,C102.00,21482,Diabetes mellitus with hyperosmolar coma
Diabetes,C102000,40023,Diabetes mellitus
Diabetes,C102100,43139,Diabetes mellitus
Diabetes,C102z00,72345,Diabetes mellitus NOS with hyperosmolar coma
Diabetes,C103.00,15690,Diabetes mellitus with ketoacidotic coma
Diabetes,C103000,42567,Diabetes mellitus
Diabetes,C103100,68843,Diabetes mellitus
Diabetes,C103y00,59288,Other specified diabetes mellitus with coma
Diabetes,C103z00,65062,Diabetes mellitus NOS with ketoacidotic coma
Diabetes,C104.00,16502,Diabetes mellitus with renal manifestation
Diabetes,C104.11,2475,Diabetic nephropathy
Diabetes,C104000,93922,Diabetes mellitus
Diabetes,C104100,35105,Diabetes mellitus
Diabetes,C104y00,13279,Other specified diabetes mellitus with renal complications
Diabetes,C104z00,35107,Diabetes mellitus with nephropathy NOS
Diabetes,C105.00,33254,Diabetes mellitus with ophthalmic manifestation
Diabetes,C105000,69748,Diabetes mellitus
Diabetes,C105100,41389,Diabetes mellitus
Diabetes,C105y00,47377,Other specified diabetes mellitus with ophthalmic complicatn
Diabetes,C105z00,34283,Diabetes mellitus NOS with ophthalmic manifestation
Diabetes,C106.00,16230,Diabetes mellitus with neurological manifestation
Diabetes,C106.11,59903,Diabetic amyotrophy
Diabetes,C106.12,7795,Diabetes mellitus with neuropathy
Diabetes,C106.13,16491,Diabetes mellitus with polyneuropathy
Diabetes,C106000,67853,Diabetes mellitus
Diabetes,C106100,39317,Diabetes mellitus
Diabetes,C106y00,61523,Other specified diabetes mellitus with neurological comps
Diabetes,C106z00,22573,Diabetes mellitus NOS with neurological manifestation
Diabetes,C107.00,35399,Diabetes mellitus with peripheral circulatory disorder
Diabetes,C107.11,32403,Diabetes mellitus with gangrene
Diabetes,C107.12,32556,Diabetes with gangrene
Diabetes,C107000,70448,Diabetes mellitus
Diabetes,C107100,63357,Diabetes mellitus
Diabetes,C107200,33807,Diabetes mellitus
Diabetes,C107300,69124,IDDM with peripheral circulatory disorder
Diabetes,C107400,56803,NIDDM with peripheral circulatory disorder
Diabetes,C107z00,65025,Diabetes mellitus NOS with peripheral circulatory disorder
Diabetes,C108.00,1647,Insulin dependent diabetes mellitus
Diabetes,C108.11,18505,IDDM-Insulin dependent diabetes mellitus
Diabetes,C108.12,17858,Type 1 diabetes mellitus
Diabetes,C108.13,24423,Type I diabetes mellitus
Diabetes,C108000,46963,Insulin-dependent diabetes mellitus with renal complications
Diabetes,C108011,61344,Type I diabetes mellitus with renal complications
Diabetes,C108012,21983,Type 1 diabetes mellitus with renal complications
Diabetes,C108100,49276,Insulin-dependent diabetes mellitus with ophthalmic comps
Diabetes,C108112,102740,Type 1 diabetes mellitus with ophthalmic complications
Diabetes,C108200,52283,Insulin-dependent diabetes mellitus with neurological comps
Diabetes,C108211,49146,Type I diabetes mellitus with neurological complications
Diabetes,C108212,61829,Type 1 diabetes mellitus with neurological complications
Diabetes,C108300,52104,Insulin dependent diabetes mellitus with multiple complicatn
Diabetes,C108311,108007,Type I diabetes mellitus with multiple complications
Diabetes,C108400,26855,Unstable insulin dependent diabetes mellitus
Diabetes,C108411,60107,Unstable type I diabetes mellitus
Diabetes,C108412,97474,Unstable type 1 diabetes mellitus
Diabetes,C108500,44443,Insulin dependent diabetes mellitus with ulcer
Diabetes,C108511,51957,Type I diabetes mellitus with ulcer
Diabetes,C108512,68390,Type 1 diabetes mellitus with ulcer
Diabetes,C108600,60499,Insulin dependent diabetes mellitus with gangrene
Diabetes,C108700,6509,Insulin dependent diabetes mellitus with retinopathy
Diabetes,C108711,38161,Type I diabetes mellitus with retinopathy
Diabetes,C108712,41049,Type 1 diabetes mellitus with retinopathy
Diabetes,C108800,6791,Insulin dependent diabetes mellitus - poor control
Diabetes,C108811,46850,Type I diabetes mellitus - poor control
Diabetes,C108812,45914,Type 1 diabetes mellitus - poor control
Diabetes,C108900,31310,Insulin dependent diabetes maturity onset
Diabetes,C108911,63017,Type I diabetes mellitus maturity onset
Diabetes,C108912,97446,Type 1 diabetes mellitus maturity onset
Diabetes,C108A00,56448,Insulin-dependent diabetes without complication
Diabetes,C108A11,95992,Type I diabetes mellitus without complication
Diabetes,C108B00,24694,Insulin dependent diabetes mellitus with mononeuropathy
Diabetes,C108B11,99231,Type I diabetes mellitus with mononeuropathy
Diabetes,C108C00,41716,Insulin dependent diabetes mellitus with polyneuropathy
Diabetes,C108D00,57621,Insulin dependent diabetes mellitus with nephropathy
Diabetes,C108D11,66872,Type I diabetes mellitus with nephropathy
Diabetes,C108E00,44440,Insulin dependent diabetes mellitus with hypoglycaemic coma
Diabetes,C108E11,42729,Type I diabetes mellitus with hypoglycaemic coma
Diabetes,C108E12,70766,Type 1 diabetes mellitus with hypoglycaemic coma
Diabetes,C108F00,44260,Insulin dependent diabetes mellitus with diabetic cataract
Diabetes,C108F11,17545,Type I diabetes mellitus with diabetic cataract
Diabetes,C108H00,65616,Insulin dependent diabetes mellitus with arthropathy
Diabetes,C108H11,62352,Type I diabetes mellitus with arthropathy
Diabetes,C108J11,60208,Type I diabetes mellitus with neuropathic arthropathy
Diabetes,C108J12,18230,Type 1 diabetes mellitus with neuropathic arthropathy
Diabetes,C108y00,46290,Other specified diabetes mellitus with multiple comps
Diabetes,C108z00,64449,Unspecified diabetes mellitus with multiple complications
Diabetes,C109.00,4513,Non-insulin dependent diabetes mellitus
Diabetes,C109.11,5884,NIDDM - Non-insulin dependent diabetes mellitus
Diabetes,C109.12,17859,Type 2 diabetes mellitus
Diabetes,C109.13,18219,Type II diabetes mellitus
Diabetes,C109000,52303,Non-insulin-dependent diabetes mellitus with renal comps
Diabetes,C109011,50225,Type II diabetes mellitus with renal complications
Diabetes,C109012,18209,Type 2 diabetes mellitus with renal complications
Diabetes,C109100,50429,Non-insulin-dependent diabetes mellitus with ophthalm comps
Diabetes,C109111,59725,Type II diabetes mellitus with ophthalmic complications
Diabetes,C109112,70316,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,C109200,55842,Non-insulin-dependent diabetes mellitus with neuro comps
Diabetes,C109211,67905,Type II diabetes mellitus with neurological complications
Diabetes,C109212,45919,Type 2 diabetes mellitus with neurological complications
Diabetes,C109300,62146,Non-insulin-dependent diabetes mellitus with multiple comps
Diabetes,C109312,108005,Type 2 diabetes mellitus with multiple complications
Diabetes,C109400,34912,Non-insulin dependent diabetes mellitus with ulcer
Diabetes,C109411,55075,Type II diabetes mellitus with ulcer
Diabetes,C109412,65704,Type 2 diabetes mellitus with ulcer
Diabetes,C109500,40401,Non-insulin dependent diabetes mellitus with gangrene
Diabetes,C109511,62107,Type II diabetes mellitus with gangrene
Diabetes,C109512,46150,Type 2 diabetes mellitus with gangrene
Diabetes,C109600,17262,Non-insulin-dependent diabetes mellitus with retinopathy
Diabetes,C109611,58604,Type II diabetes mellitus with retinopathy
Diabetes,C109612,42762,Type 2 diabetes mellitus with retinopathy
Diabetes,C109700,8403,Non-insulin dependent diabetes mellitus - poor control
Diabetes,C109711,24458,Type II diabetes mellitus - poor control
Diabetes,C109712,45913,Type 2 diabetes mellitus - poor control
Diabetes,C109900,29979,Non-insulin-dependent diabetes mellitus without complication
Diabetes,C109911,109103,Type II diabetes mellitus without complication
Diabetes,C109912,105784,Type 2 diabetes mellitus without complication
Diabetes,C109A00,72320,Non-insulin dependent diabetes mellitus with mononeuropathy
Diabetes,C109A11,50813,Type II diabetes mellitus with mononeuropathy
Diabetes,C109B00,45467,Non-insulin dependent diabetes mellitus with polyneuropathy
Diabetes,C109B11,47409,Type II diabetes mellitus with polyneuropathy
Diabetes,C109C00,59365,Non-insulin dependent diabetes mellitus with nephropathy
Diabetes,C109C11,64571,Type II diabetes mellitus with nephropathy
Diabetes,C109C12,24836,Type 2 diabetes mellitus with nephropathy
Diabetes,C109D00,43785,Non-insulin dependent diabetes mellitus with hypoglyca coma
Diabetes,C109D11,56268,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,C109D12,61071,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,C109E00,69278,Non-insulin depend diabetes mellitus with diabetic cataract
Diabetes,C109E11,48192,Type II diabetes mellitus with diabetic cataract
