Disease,ReadCode,MedCode,ReadTerm
Juvenile arthritis,N043000,50644,Juvenile rheumatoid arthropathy unspecified
Juvenile arthritis,N043100,47831,Acute polyarticular juvenile rheumatoid arthritis
Juvenile arthritis,N043200,21533,Pauciarticular juvenile rheumatoid arthritis
Juvenile arthritis,N043300,36276,Monarticular juvenile rheumatoid arthritis
Juvenile arthritis,N043.00,4186,Juvenile rheumatoid arthritis - Still's disease
Juvenile arthritis,N043z00,27557,Juvenile rheumatoid arthritis NOS
Juvenile arthritis,N045000,42405,Juvenile ankylosing spondylitis
Juvenile arthritis,N045100,31181,Juvenile seronegative polyarthritis
Juvenile arthritis,N045200,28456,Juvenile arthritis in psoriasis
Juvenile arthritis,N045300,12575,Juvenile arthritis in Crohn's disease
Juvenile arthritis,N045400,71083,Juvenile arthritis in ulcerative colitis
Juvenile arthritis,N045500,31360,Juvenile rheumatoid arthritis
Juvenile arthritis,N045600,46622,Pauciarticular onset juvenile chronic arthritis
Juvenile arthritis,N045.00,7196,Other juvenile arthritis
Juvenile arthritis,Nyu1500,94854,[X]Other juvenile arthritis
Juvenile arthritis,Nyu1600,114008,[X]Juvenile arthritis in other diseases CE
