Disease,ReadCode,MedCode,ReadTerm
Leukaemia,1429.00,17177,H/O: * leukaemia
Leukaemia,B624000,65122,Leukaemic reticuloendotheliosis of unspecified sites
Leukaemia,B624300,65123,Leukaemic reticuloend of intra-abdominal lymph nodes
Leukaemia,B624.00,27330,Leukaemic reticuloendotheliosis
Leukaemia,B624.11,5137,Leukaemic reticuloendotheliosis
Leukaemia,B624.12,87335,Hairy cell leukaemia
Leukaemia,B624z00,73777,Leukaemic reticuloendotheliosis NOS
Leukaemia,B640000,104325,B-cell acute lymphoblastic leukaemia
Leukaemia,B640.00,4251,Acute lymphoid leukaemia
Leukaemia,B641000,104328,B-cell chronic lymphocytic leukaemia
Leukaemia,B641011,107017,Chronic lymphocytic leukaemia of B-cell type
Leukaemia,B641100,107052,Clinical stage A chronic lymphocytic leukaemia
Leukaemia,B641200,106924,Clinical stage B chronic lymphocytic leukaemia
Leukaemia,B641300,107163,Clinical stage C chronic lymphocytic leukaemia
Leukaemia,B641.00,8625,Chronic lymphoid leukaemia
Leukaemia,B641.11,27790,Chronic lymphatic leukaemia
Leukaemia,B642.00,72774,Subacute lymphoid leukaemia
Leukaemia,B64..00,19372,Lymphoid leukaemia
Leukaemia,B64..11,4222,Lymphatic leukaemia
Leukaemia,B64y100,31586,Prolymphocytic leukaemia
Leukaemia,B64y200,37461,Adult T-cell leukaemia
Leukaemia,B64y300,108656,B-cell prolymphocytic leukaemia
Leukaemia,B64y400,107643,T-cell prolymphocytic leukaemia
Leukaemia,B64y500,104939,Adult T-cell lymphoma/leukaemia (HTLV-1-associated)
Leukaemia,B64y.00,49725,Other lymphoid leukaemia
Leukaemia,B64yz00,38331,Other lymphoid leukaemia NOS
Leukaemia,B64z.00,38914,Lymphoid leukaemia NOS
Leukaemia,B650.00,4413,Acute myeloid leukaemia
Leukaemia,B651100,105957,"Chronic myeloid leukaemia, BCR/ABL positive"
Leukaemia,B651200,102783,Chronic neutrophilic leukaemia
Leukaemia,B651300,107236,"Atypical chronic myeloid leukaemia, BCR/ABL negative"
Leukaemia,B651.00,10726,Chronic myeloid leukaemia
Leukaemia,B651.11,31701,Chronic granulocytic leukaemia
Leukaemia,B651z00,27520,Chronic myeloid leukaemia NOS
Leukaemia,B652.00,63475,Subacute myeloid leukaemia
Leukaemia,B653000,52327,Chloroma
Leukaemia,B653100,39629,Granulocytic sarcoma
Leukaemia,B653.00,70724,Myeloid sarcoma
Leukaemia,B654.00,104788,Acute myeloblastic leukaemia
Leukaemia,B65..00,7176,Myeloid leukaemia
