Disease,ReadCode,MedCode,ReadTerm
Lichen planus,M170000,43912,Lichen planus actinicus
Lichen planus,M170100,38610,Lichen planus annularis
Lichen planus,M170200,18954,Lichen planus atrophicus
Lichen planus,M170300,22154,Lichen planus bullosus
Lichen planus,M170400,7983,Lichen planus hypertrophicus
Lichen planus,M170500,40455,Lichen planus linearis
Lichen planus,M170700,67900,Lichen planus obtusus
Lichen planus,M170800,57469,Subacute active lichen planus
Lichen planus,M170900,43358,Follicular lichen planus
Lichen planus,M170.00,1621,Lichen planus
Lichen planus,M170z00,38416,Lichen planus NOS
Lichen planus,M240R00,16628,Lichen planopilaris
Lichen planus,Myu3200,53843,[X]Other lichen planus
