Disease,ReadCode,MedCode,ReadTerm
Menorrhagia and polymenorrhoea,151G.00,29459,Length of cycle decreasing
Menorrhagia and polymenorrhoea,1572.00,7089,H/O: polymenorrhoea
Menorrhagia and polymenorrhoea,1573.00,10531,H/O: menorrhagia
Menorrhagia and polymenorrhoea,1573.11,6238,H/O: heavy periods
Menorrhagia and polymenorrhoea,K592000,128,Menorrhagia
Menorrhagia and polymenorrhoea,K592011,812,Heavy periods
Menorrhagia and polymenorrhoea,K592012,100998,Heavy menstrual bleeding
Menorrhagia and polymenorrhoea,K592100,1077,Polymenorrhoea
Menorrhagia and polymenorrhoea,K592111,5277,Epimenorrhoea
Menorrhagia and polymenorrhoea,K592.00,23935,Excessive or frequent menstruation
Menorrhagia and polymenorrhoea,K592.11,20674,Frequent menses
Menorrhagia and polymenorrhoea,K592.12,35691,Hypermenorrhoea
Menorrhagia and polymenorrhoea,K592z00,20190,Excessive or frequent menstruation NOS
Menorrhagia and polymenorrhoea,K593.11,8544,Pubertal bleeding and menorrhagia
Menorrhagia and polymenorrhoea,K5A0.00,15022,Premenopausal menorrhagia
Menorrhagia and polymenorrhoea,K5A0.11,20795,Climacteric menorrhagia
Menorrhagia and polymenorrhoea,K5A6.00,93526,Perimenopausal menorrhagia
