Disease,ReadCode,MedCode,ReadTerm
Multiple myeloma and malignant plasma cell neoplasms,B630000,22158,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
Multiple myeloma and malignant plasma cell neoplasms,B630100,19028,Solitary myeloma
Multiple myeloma and malignant plasma cell neoplasms,B630200,21329,Plasmacytoma NOS
Multiple myeloma and malignant plasma cell neoplasms,B630300,46042,Lambda light chain myeloma
Multiple myeloma and malignant plasma cell neoplasms,B630400,104418,Solitary plasmacytoma
Multiple myeloma and malignant plasma cell neoplasms,B630.00,4944,Multiple myeloma
Multiple myeloma and malignant plasma cell neoplasms,B630.11,43552,Kahler's disease
Multiple myeloma and malignant plasma cell neoplasms,B630.12,15211,Myelomatosis
Multiple myeloma and malignant plasma cell neoplasms,B631.00,39187,Plasma cell leukaemia
Multiple myeloma and malignant plasma cell neoplasms,B63..00,37182,Multiple myeloma and immunoproliferative neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B63z.00,43450,Immunoproliferative neoplasm or myeloma NOS
Multiple myeloma and malignant plasma cell neoplasms,B936.11,43312,Myeloma - solitary
Multiple myeloma and malignant plasma cell neoplasms,B936.12,38321,Plasmacytoma NOS
Multiple myeloma and malignant plasma cell neoplasms,BBm6.00,26135,[M] Alpha heavy chain disease
Multiple myeloma and malignant plasma cell neoplasms,BBmE.00,52593,[M] Gamma heavy chain disease
Multiple myeloma and malignant plasma cell neoplasms,BBmK.00,9172,[M]Waldenstrom's macroglobulinaemia
Multiple myeloma and malignant plasma cell neoplasms,BBn0.00,31671,[M]Plasma cell myeloma
Multiple myeloma and malignant plasma cell neoplasms,BBn0.11,18744,[M]Multiple myeloma
Multiple myeloma and malignant plasma cell neoplasms,BBn0.12,3672,[M]Myeloma NOS
Multiple myeloma and malignant plasma cell neoplasms,BBn0.13,53647,[M]Myelomatosis
Multiple myeloma and malignant plasma cell neoplasms,BBn0.14,39490,[M]Plasmacytic myeloma
Multiple myeloma and malignant plasma cell neoplasms,BBn2.00,63864,[M]Plasmacytoma NOS
Multiple myeloma and malignant plasma cell neoplasms,BBn2.11,102164,[M]Monostotic myeloma
Multiple myeloma and malignant plasma cell neoplasms,BBn2.12,73135,[M]Solitary myeloma
Multiple myeloma and malignant plasma cell neoplasms,BBn3.00,99702,"[M]Plasma cell tumour, malignant"
Multiple myeloma and malignant plasma cell neoplasms,BBn..00,43459,[M]Plasma cell tumours
Multiple myeloma and malignant plasma cell neoplasms,BBnz.00,64068,[M]Plasma cell tumour NOS
Multiple myeloma and malignant plasma cell neoplasms,BBr3.00,64618,[M]Plasma cell leukaemias
Multiple myeloma and malignant plasma cell neoplasms,BBr3z00,110349,[M]Plasma cell leukaemia NOS
Multiple myeloma and malignant plasma cell neoplasms,C333000,10411,Waldenstrom's macroglobulinaemia
Multiple myeloma and malignant plasma cell neoplasms,C333011,108235,Waldenstrom macroglobulinaemia
Multiple myeloma and malignant plasma cell neoplasms,C333100,101350,Alpha heavy chain disease
Multiple myeloma and malignant plasma cell neoplasms,C333200,99067,Gamma heavy chain disease
Multiple myeloma and malignant plasma cell neoplasms,C333300,108102,Heavy chain disease
Multiple myeloma and malignant plasma cell neoplasms,C333.00,16527,Macroglobulinaemia
Multiple myeloma and malignant plasma cell neoplasms,C333z00,71994,Macroglobulinaemia NOS
