Disease,ReadCode,MedCode,ReadTerm
Primary malignancy kidney and ureter,B4A0000,7978,Hypernephroma
Primary malignancy kidney and ureter,B4A0.00,1599,Malignant neoplasm of kidney parenchyma
Primary malignancy kidney and ureter,B4A1000,27540,Malignant neoplasm of renal calyces
Primary malignancy kidney and ureter,B4A1100,101608,Malignant neoplasm of ureteropelvic junction
Primary malignancy kidney and ureter,B4A1.00,12389,Malignant neoplasm of renal pelvis
Primary malignancy kidney and ureter,B4A1z00,54184,Malignant neoplasm of renal pelvis NOS
Primary malignancy kidney and ureter,B4A2.00,15223,Malignant neoplasm of ureter
Primary malignancy kidney and ureter,B4A..11,18712,Renal malignant neoplasm
Primary malignancy kidney and ureter,BB5a000,10668,[M]Renal cell carcinoma
Primary malignancy kidney and ureter,BB5a011,52266,[M]Grawitz tumour
Primary malignancy kidney and ureter,BB5a012,15419,[M]Hypernephroma
Primary malignancy kidney and ureter,ZV10512,47683,[V]Personal history of malignant neoplasm of kidney
Primary malignancy kidney and ureter,ZV10513,28881,[V]Personal history of malignant neoplasm of kidney
Primary malignancy kidney and ureter,B91z100,18749,Neoplasm of uncertain behaviour of kidney
Primary malignancy kidney and ureter,B4Az.00,29462,Malignant neoplasm of kidney or urinary organs NOS
Primary malignancy kidney and ureter,B4A..00,13559,Malig neop of kidney and other unspecified urinary organs
