Disease,ReadCode,MedCode,ReadTerm
Primary malignancy lung and trachea,B220100,103946,Malignant neoplasm of mucosa of trachea
Primary malignancy lung and trachea,B220.00,15221,Malignant neoplasm of trachea
Primary malignancy lung and trachea,B220z00,37810,Malignant neoplasm of trachea NOS
Primary malignancy lung and trachea,B221000,17391,Malignant neoplasm of carina of bronchus
Primary malignancy lung and trachea,B221100,33444,Malignant neoplasm of hilus of lung
Primary malignancy lung and trachea,B221.00,12870,Malignant neoplasm of main bronchus
Primary malignancy lung and trachea,B221z00,21698,Malignant neoplasm of main bronchus NOS
Primary malignancy lung and trachea,B222000,31700,Malignant neoplasm of upper lobe bronchus
Primary malignancy lung and trachea,B222100,25886,Malignant neoplasm of upper lobe of lung
Primary malignancy lung and trachea,B222.00,10358,"Malignant neoplasm of upper lobe, bronchus or lung"
Primary malignancy lung and trachea,B222.11,20170,Pancoast's syndrome
Primary malignancy lung and trachea,B222z00,44169,"Malignant neoplasm of upper lobe, bronchus or lung NOS"
Primary malignancy lung and trachea,B223000,41523,Malignant neoplasm of middle lobe bronchus
Primary malignancy lung and trachea,B223100,39923,Malignant neoplasm of middle lobe of lung
Primary malignancy lung and trachea,B223.00,31268,"Malignant neoplasm of middle lobe, bronchus or lung"
Primary malignancy lung and trachea,B223z00,54134,"Malignant neoplasm of middle lobe, bronchus or lung NOS"
Primary malignancy lung and trachea,B224000,18678,Malignant neoplasm of lower lobe bronchus
Primary malignancy lung and trachea,B224100,12582,Malignant neoplasm of lower lobe of lung
Primary malignancy lung and trachea,B224.00,31188,"Malignant neoplasm of lower lobe, bronchus or lung"
Primary malignancy lung and trachea,B224z00,42566,"Malignant neoplasm of lower lobe, bronchus or lung NOS"
Primary malignancy lung and trachea,B225.00,36371,Malignant neoplasm of overlapping lesion of bronchus & lung
Primary malignancy lung and trachea,B22..00,13243,"Malignant neoplasm of trachea, bronchus and lung"
Primary malignancy lung and trachea,B22y.00,38961,Malignant neoplasm of other sites of bronchus or lung
Primary malignancy lung and trachea,B22z.00,3903,Malignant neoplasm of bronchus or lung NOS
Primary malignancy lung and trachea,B22z.11,2587,Lung cancer
Primary malignancy lung and trachea,BB5S200,34015,[M]Bronchiolo-alveolar adenocarcinoma
Primary malignancy lung and trachea,BB5S211,36530,[M]Alveolar cell carcinoma
Primary malignancy lung and trachea,BB5S212,16723,[M]Bronchiolar carcinoma
Primary malignancy lung and trachea,BB5S400,57802,[M]Alveolar adenocarcinoma
Primary malignancy lung and trachea,Byu2000,40595,"[X]Malignant neoplasm of bronchus or lung, unspecified"
Primary malignancy lung and trachea,ZV10100,49289,[V]Personal history of malig neop of trachea/bronchus/lung
Primary malignancy lung and trachea,ZV10111,32246,[V]Personal history of malignant neoplasm of bronchus
Primary malignancy lung and trachea,ZV10112,29284,[V]Personal history of malignant neoplasm of lung
Primary malignancy lung and trachea,B907.00,105024,"Neoplasm of uncertain behaviour trachea, bronchus and lung"
Primary malignancy lung and trachea,B907200,3915,Neoplasm of uncertain behaviour of lung
Primary malignancy lung and trachea,B907z00,55790,"Neop of uncertain behaviour of trachea, bronchus or lung NOS"
