Disease,ReadCode,MedCode,ReadTerm
Primary Malignancy_Oro-pharyngeal,B000000,66270,"Malignant neoplasm of upper lip, external"
Primary Malignancy_Oro-pharyngeal,B000100,50296,"Malignant neoplasm of upper lip, lipstick area"
Primary Malignancy_Oro-pharyngeal,B000.00,73962,"Malignant neoplasm of upper lip, vermilion border"
Primary Malignancy_Oro-pharyngeal,B000z00,98740,"Malignant neoplasm of upper lip, vermilion border NOS"
Primary Malignancy_Oro-pharyngeal,B001000,66384,"Malignant neoplasm of lower lip, external"
Primary Malignancy_Oro-pharyngeal,B001100,95480,"Malignant neoplasm of lower lip, lipstick area"
Primary Malignancy_Oro-pharyngeal,B001.00,67446,"Malignant neoplasm of lower lip, vermilion border"
Primary Malignancy_Oro-pharyngeal,B001z00,101707,"Malignant neoplasm of lower lip, vermilion border NOS"
Primary Malignancy_Oro-pharyngeal,B002100,99001,"Malignant neoplasm of upper lip, frenulum"
Primary Malignancy_Oro-pharyngeal,B002200,98500,"Malignant neoplasm of upper lip, mucosa"
Primary Malignancy_Oro-pharyngeal,B002300,90610,"Malignant neoplasm of upper lip, oral aspect"
Primary Malignancy_Oro-pharyngeal,B002.00,99493,"Malignant neoplasm of upper lip, inner aspect"
Primary Malignancy_Oro-pharyngeal,B002z00,100721,"Malignant neoplasm of upper lip, inner aspect NOS"
Primary Malignancy_Oro-pharyngeal,B003000,67504,"Malignant neoplasm of lower lip, buccal aspect"
Primary Malignancy_Oro-pharyngeal,B003100,91843,"Malignant neoplasm of lower lip, frenulum"
Primary Malignancy_Oro-pharyngeal,B003200,89909,"Malignant neoplasm of lower lip, mucosa"
Primary Malignancy_Oro-pharyngeal,B003300,94441,"Malignant neoplasm of lower lip, oral aspect"
Primary Malignancy_Oro-pharyngeal,B003.00,71147,"Malignant neoplasm of lower lip, inner aspect"
Primary Malignancy_Oro-pharyngeal,B003z00,96782,"Malignant neoplasm of lower lip, inner aspect NOS"
Primary Malignancy_Oro-pharyngeal,B004000,73614,"Malignant neoplasm of lip unspecified, buccal aspect"
Primary Malignancy_Oro-pharyngeal,B004200,68399,"Malignant neoplasm of lip unspecified, mucosa"
Primary Malignancy_Oro-pharyngeal,B004300,100144,"Malignant neoplasm of lip, oral aspect"
Primary Malignancy_Oro-pharyngeal,B004.00,61692,"Malignant neoplasm of lip unspecified, inner aspect"
Primary Malignancy_Oro-pharyngeal,B005.00,96783,Malignant neoplasm of commissure of lip
Primary Malignancy_Oro-pharyngeal,B006.00,18882,Malignant neoplasm of overlapping lesion of lip
