Disease,ReadCode,MedCode,ReadTerm
Retinal detachments and breaks,1481.00,8691,H/O: retinal detachment
Retinal detachments and breaks,7271000,50694,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,7271100,6836,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,7271.00,2484,Photocoagulation of retina for detachment
Retinal detachments and breaks,7271y00,1551,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,7271z00,1552,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,F410000,29800,Unspecified retinal detachment with retinal defect
Retinal detachments and breaks,F410100,62901,New partial retinal detachment with single defect
Retinal detachments and breaks,F410200,62773,New partial retinal detachment with multiple defects
Retinal detachments and breaks,F410300,24347,New partial retinal detachment with giant tear defect
Retinal detachments and breaks,F410400,71651,New partial retinal detachment with retinal dialysis
Retinal detachments and breaks,F410500,24440,Recent total retinal detachment
Retinal detachments and breaks,F410600,53020,Recent subtotal retinal detachment
Retinal detachments and breaks,F410700,55469,Old partial retinal detachment
Retinal detachments and breaks,F410800,53021,Old total retinal detachment
Retinal detachments and breaks,F410900,61965,Old subtotal retinal detachment
Retinal detachments and breaks,F410.00,32028,Retinal detachment with retinal defect
Retinal detachments and breaks,F410z00,38463,Retinal detachment with defect NOS
Retinal detachments and breaks,F413100,8506,Retinal round hole without detachment
Retinal detachments and breaks,F413200,21067,Horseshoe retinal tear without detachment
Retinal detachments and breaks,F413300,45509,Multiple retinal defects without detachment
Retinal detachments and breaks,F413400,38407,Retinal break
Retinal detachments and breaks,F413.00,34183,Retinal defects without detachment
Retinal detachments and breaks,F413z00,34373,Retinal defects without detachment NOS
Retinal detachments and breaks,F41..00,4232,Retinal detachments and defects
Retinal detachments and breaks,F41..11,2496,Retinal tears
Retinal detachments and breaks,F41y000,30514,Traction retinal detachment
Retinal detachments and breaks,F41y.00,47730,Other forms of retinal detachment
Retinal detachments and breaks,F41yz00,35250,Other retinal detachments NOS
Retinal detachments and breaks,F41z.00,1202,Retinal detachment NOS
Retinal detachments and breaks,FyuF400,72901,[X]Other retinal detachments
