Disease,ReadCode,MedCode,ReadTerm
Secondary or other Thrombocytopaenia,42P2.00,4006,Thrombocytopenia
Secondary or other Thrombocytopaenia,42P8.00,47751,Heparin induced thrombocytopenia screening test
Secondary or other Thrombocytopaenia,C391200,31322,Wiskott - Aldrich syndrome
Secondary or other Thrombocytopaenia,C391211,42439,Thrombocytopenic eczema with immunodeficiency
Secondary or other Thrombocytopaenia,D314100,38137,Thrombocytopenia due to drugs
Secondary or other Thrombocytopaenia,D314300,107488,Heparin-induced thrombocytopenia
Secondary or other Thrombocytopaenia,D314.00,20181,Secondary thrombocytopenia
Secondary or other Thrombocytopaenia,D314y00,68333,Other specified secondary thrombocytopenia
Secondary or other Thrombocytopaenia,D314z00,63910,Secondary thrombocytopenia NOS
Secondary or other Thrombocytopaenia,D315.00,880,Thrombocytopenia NOS
Secondary or other Thrombocytopaenia,G756100,21697,Thrombotic thrombocytopenic purpura
Secondary or other Thrombocytopaenia,D314011,114603,Thrombocytopenia due to massive blood transfusion
