Disease,ReadCode,MedCode,ReadTerm
Sickle-cell anaemia,1458.00,100001,History of sickle cell anaemia
Sickle-cell anaemia,D104211,31075,Sickle-cell thalassaemia
Sickle-cell anaemia,D106000,69964,Sickle-cell anaemia of unspecified type
Sickle-cell anaemia,D106100,32937,Sickle-cell anaemia with no crisis
Sickle-cell anaemia,D106200,31370,Sickle-cell anaemia with crisis
Sickle-cell anaemia,D106300,31306,Sickle-cell anaemia with haemoglobin C disease
Sickle-cell anaemia,D106400,8119,Sickle-cell anaemia with haemoglobin D disease
Sickle-cell anaemia,D106500,93872,Sickle-cell anaemia with haemoglobin E disease
Sickle-cell anaemia,D106.00,23519,Sickle-cell anaemia
Sickle-cell anaemia,D106z00,57397,Sickle-cell anaemia NOS
Sickle-cell anaemia,Dyu1200,48295,[X]Other sickle-cell disorders
Sickle-cell anaemia,F422100,11874,Proliferative retinopathy due to sickle cell disease
Sickle-cell anaemia,K0G..00,107027,Sickle cell nephropathy
