Disease,ReadCode,MedCode,ReadTerm
Spinal stenosis,N130000,69388,Idiopathic cervical spinal stenosis
Spinal stenosis,N130100,45296,Degenerative cervical spinal stenosis
Spinal stenosis,N130300,93849,Cervical spinal stenosis secondary to other disease
Spinal stenosis,N130.00,12094,Cervical spinal stenosis
Spinal stenosis,N140000,41147,Spinal stenosis of unspecified region
Spinal stenosis,N140100,62612,Thoracic spinal stenosis
Spinal stenosis,N140200,9912,Lumbar spinal stenosis
Spinal stenosis,N140300,106536,Idiopathic thoracic spinal stenosis
Spinal stenosis,N140400,73730,Degenerative thoracic spinal stenosis
Spinal stenosis,N140600,98630,Thoracic spinal stenosis secondary to other disease
Spinal stenosis,N140700,72614,Idiopathic lumbar spinal stenosis
Spinal stenosis,N140800,43577,Degenerative lumbar spinal stenosis
Spinal stenosis,N140900,93836,Iatrogenic lumbar spinal stenosis
Spinal stenosis,N140A00,97870,Lumbar spinal stenosis secondary to other disease
Spinal stenosis,N140.00,15331,"Spinal stenosis, excluding cervical region"
Spinal stenosis,N140.11,3370,Spinal stenosis
Spinal stenosis,N140z00,35117,Spinal stenosis NOS
Spinal stenosis,Zw04300,52139,[Q] Central spinal stenosis
Spinal stenosis,Zw04400,91625,[Q] Lateral spinal stenosis
Spinal stenosis,Zw04500,94588,[Q] Central and lateral spinal stenosis
Spinal stenosis,N130200,115218,Iatrogenic cervical spinal stenosis
