Disease,ReadCode,MedCode,ReadTerm
Other psychoactive substance misuse,13c..00,8490,Drug user
Other psychoactive substance misuse,13c0.00,22079,Injecting drug user
Other psychoactive substance misuse,13c1.00,30251,Intravenous drug user
Other psychoactive substance misuse,13c4.00,42257,Intranasal drug user
Other psychoactive substance misuse,13c5.00,28642,Substance misuse increased
Other psychoactive substance misuse,13c6.00,35286,Substance misuse decreased
Other psychoactive substance misuse,13c7.00,49618,Current drug user
Other psychoactive substance misuse,13c8.00,35404,Reduced drugs misuse
Other psychoactive substance misuse,13c9.00,38125,Subcutaneous drug user
Other psychoactive substance misuse,13cA.00,26096,Smokes drugs
Other psychoactive substance misuse,13cB.00,38029,Misuses drugs orally
Other psychoactive substance misuse,13cC.00,47804,Continuous use of drugs
Other psychoactive substance misuse,13cD.00,44966,Episodic use of drugs
Other psychoactive substance misuse,13cE.00,25925,Prolonged high dose use of cannabis
Other psychoactive substance misuse,13cF.00,41039,Preoccupied with substance misuse
Other psychoactive substance misuse,13cH.00,28766,Persistent substance misuse
Other psychoactive substance misuse,13cJ.00,32709,Previously injecting drug user
Other psychoactive substance misuse,13cK.00,69977,Current non recreational drug user
Other psychoactive substance misuse,13cM.00,93412,Substance misuse
Other psychoactive substance misuse,13r3.00,68327,Abstinent from drug misuse on maintenance replacement
Other psychoactive substance misuse,13r4.00,94693,Abstinent from drug misuse when receiving blocking therapy
Other psychoactive substance misuse,146C.00,30565,Failed heroin detoxification
Other psychoactive substance misuse,146F.00,12651,H/O: drug abuse
Other psychoactive substance misuse,1T...00,85956,History of substance misuse
Other psychoactive substance misuse,1T0..00,82479,H/O heroin misuse
Other psychoactive substance misuse,1T00.00,86002,H/O daily heroin misuse
Other psychoactive substance misuse,1T01.00,93554,H/O weekly heroin misuse
Other psychoactive substance misuse,1T02.00,88372,Previous history of heroin misuse
Other psychoactive substance misuse,1T03.00,89145,H/O infrequent heroin misuse
Other psychoactive substance misuse,1T1..00,85097,H/O methadone misuse
Other psychoactive substance misuse,1T10.00,92404,H/O daily methadone misuse
Other psychoactive substance misuse,1T11.00,93109,H/O weekly methadone misuse
Other psychoactive substance misuse,1T12.00,106342,H/O infrequent methadone misuse
Other psychoactive substance misuse,1T13.00,86771,Previous history of methadone misuse
Other psychoactive substance misuse,1T2..00,81441,H/O ecstasy misuse
Other psychoactive substance misuse,1T20.00,95380,H/O daily ecstasy misuse
Other psychoactive substance misuse,1T21.00,92359,H/O weekly ecstasy misuse
Other psychoactive substance misuse,1T22.00,90442,H/O infrequent ecstasy misuse
Other psychoactive substance misuse,1T23.00,89698,Previous history of ecstasy misuse
Other psychoactive substance misuse,1T3..00,85834,H/O benzodiazepine misuse
Other psychoactive substance misuse,1T30.00,92232,H/O daily benzodiazepine misuse
Other psychoactive substance misuse,1T31.00,93774,H/O weekly benzodiazepine misuse
Other psychoactive substance misuse,1T32.00,92993,H/O infrequent benzodiazepine misuse
Other psychoactive substance misuse,1T33.00,91848,Previous history of benzodiazepine misuse
Other psychoactive substance misuse,1T4..00,85096,H/O amphetamine misuse
Other psychoactive substance misuse,1T40.00,90664,H/O daily amphetamine misuse
Other psychoactive substance misuse,1T41.00,88782,H/O weekly amphetamine misuse
Other psychoactive substance misuse,1T42.00,88781,H/O infrequent amphetamine misuse
Other psychoactive substance misuse,1T43.00,83574,Previous history of amphetamine misuse
Other psychoactive substance misuse,1T5..00,82471,H/O cocaine misuse
Other psychoactive substance misuse,1T50.00,85091,H/O daily cocaine misuse
Other psychoactive substance misuse,1T51.00,90109,H/O weekly cocaine misuse
Other psychoactive substance misuse,1T52.00,87002,H/O infrequent cocaine misuse
Other psychoactive substance misuse,1T53.00,84156,Previous history of cocaine misuse
Other psychoactive substance misuse,1T6..00,86035,H/O crack cocaine misuse
Other psychoactive substance misuse,1T60.00,88990,H/O daily crack cocaine misuse
Other psychoactive substance misuse,1T61.00,90271,H/O weekly crack cocaine misuse
Other psychoactive substance misuse,1T62.00,88844,H/O infrequent crack cocaine misuse
Other psychoactive substance misuse,1T63.00,85671,Previous history of crack cocaine misuse
Other psychoactive substance misuse,1T7..00,96198,H/O hallucinogen misuse
Other psychoactive substance misuse,1T73.00,93193,Previous history of hallucinogen misuse
Other psychoactive substance misuse,1T8..00,78442,H/O cannabis misuse
Other psychoactive substance misuse,1T80.00,86754,H/O daily cannabis misuse
Other psychoactive substance misuse,1T81.00,87502,H/O weekly cannabis misuse
Other psychoactive substance misuse,1T82.00,83564,H/O infrequent cannabis misuse
Other psychoactive substance misuse,1T83.00,82476,Previous history of cannabis misuse
Other psychoactive substance misuse,1T9..00,84215,H/O solvent misuse
Other psychoactive substance misuse,1T90.00,95396,H/O daily solvent misuse
