Disease,ReadCode,MedCode,ReadTerm
Systemic sclerosis,F396600,55601,Myopathy due to scleroderma
Systemic sclerosis,H572.00,94996,Lung disease with systemic sclerosis
Systemic sclerosis,K0H..00,105976,Acute scleroderma renal crisis
Systemic sclerosis,K0J0.00,107382,Renal involvement in scleroderma
Systemic sclerosis,N001000,44141,Progressive systemic sclerosis
Systemic sclerosis,N001100,17675,CREST syndrome
Systemic sclerosis,N001200,110174,Systemic sclerosis induced by drugs and chemicals
Systemic sclerosis,N001.00,3670,Scleroderma
Systemic sclerosis,N001.11,68277,Acrosclerosis
Systemic sclerosis,N001.12,28417,Systemic sclerosis
Systemic sclerosis,Nyu4500,71763,[X]Other forms of systemic sclerosis
