Disease,ReadCode,MedCode,ReadTerm
Thrombophilia,42jH.00,30873,Activated protein C with factor V deficient plasma
Thrombophilia,42Qc.00,23134,Plasma activated protein C resistance
Thrombophilia,42Qe.00,8674,Factor V Leiden genotype
Thrombophilia,43GE100,107447,Lupus anticoagulant positive
Thrombophilia,D303700,25971,Factor V Leiden mutation
Thrombophilia,D303800,44146,Homozygous factor V Leiden mutation
Thrombophilia,D303900,32933,Heterozygous factor V Leiden mutation
Thrombophilia,D309.00,8479,Protein S deficiency
Thrombophilia,D30A000,105875,Primary thrombophilia
Thrombophilia,D30A.00,7516,Thrombophilia
Thrombophilia,D30B.00,26102,Protein C deficiency
Thrombophilia,N006.00,12177,Antiphospholipid syndrome
