Disease,ReadCode,MedCode,ReadTerm
Peptic ulcer disease,14C1.00,2812,H/O: peptic ulcer
Peptic ulcer disease,14C1.11,6321,H/O: duodenal ulcer
Peptic ulcer disease,14C1.12,7108,H/O: gastric ulcer
Peptic ulcer disease,5310,79977,NA
Peptic ulcer disease,5310PT,83963,NA
Peptic ulcer disease,5310TM,88195,NA
Peptic ulcer disease,5319PP,75550,NA
Peptic ulcer disease,5319PT,83017,NA
Peptic ulcer disease,5319TM,75354,NA
Peptic ulcer disease,5320,74848,NA
Peptic ulcer disease,5320PT,88070,NA
Peptic ulcer disease,5329,74496,NA
Peptic ulcer disease,5329BD,77740,NA
Peptic ulcer disease,5329PT,74539,NA
Peptic ulcer disease,5330,82405,NA
Peptic ulcer disease,5339,75673,NA
Peptic ulcer disease,5339DB,76394,NA
Peptic ulcer disease,5340GJ,90208,NA
Peptic ulcer disease,5349GJ,88061,NA
Peptic ulcer disease,5349MR,82043,NA
Peptic ulcer disease,7612111,92695,Balfour excision of gastric ulcer
Peptic ulcer disease,7612500,64710,Resection of gastric ulcer by cautery
Peptic ulcer disease,761D500,45981,Endoscopic injection haemostasis of duodenal ulcer
Peptic ulcer disease,761D600,63718,Endoscopic injection haemostasis of gastric ulcer
Peptic ulcer disease,761J.00,23688,Operations on gastric ulcer
Peptic ulcer disease,761J.11,6865,Stomach ulcer operations
Peptic ulcer disease,761J000,20677,Closure of perforated gastric ulcer
Peptic ulcer disease,761J100,64014,Closure of gastric ulcer NEC
Peptic ulcer disease,761J111,70005,Suture of ulcer of stomach NEC
Peptic ulcer disease,761Jy00,94104,Other specified operation on gastric ulcer
Peptic ulcer disease,761Jz00,33914,Operation on gastric ulcer NOS
Peptic ulcer disease,7627.00,5928,Operations on duodenal ulcer
Peptic ulcer disease,7627000,4741,Closure of perforated duodenal ulcer
Peptic ulcer disease,7627100,37268,Suture of duodenal ulcer not elsewhere classified
Peptic ulcer disease,7627200,55350,Oversew of blood vessel of duodenal ulcer
Peptic ulcer disease,7627y00,56005,Other specified operation on duodenal ulcer
Peptic ulcer disease,7627z00,55933,Operation on duodenal ulcer NOS
Peptic ulcer disease,J102000,24021,Peptic ulcer of oesophagus
Peptic ulcer disease,J11..00,1262,Gastric ulcer - (GU)
Peptic ulcer disease,J11..11,6333,Prepyloric ulcer
Peptic ulcer disease,J11..12,3101,Pyloric ulcer
Peptic ulcer disease,J110.00,24040,Acute gastric ulcer
Peptic ulcer disease,J110000,64165,Acute gastric ulcer without mention of complication
Peptic ulcer disease,J110100,30054,Acute gastric ulcer with haemorrhage
Peptic ulcer disease,J110111,11124,Bleeding acute gastric ulcer
Peptic ulcer disease,J110200,14671,Acute gastric ulcer with perforation
Peptic ulcer disease,J110300,71403,Acute gastric ulcer with haemorrhage and perforation
Peptic ulcer disease,J110400,109546,Acute gastric ulcer with obstruction
Peptic ulcer disease,J110y00,24342,Acute gastric ulcer unspecified
Peptic ulcer disease,J110z00,44324,Acute gastric ulcer NOS
Peptic ulcer disease,J111.00,18654,Chronic gastric ulcer
Peptic ulcer disease,J111000,48946,Chronic gastric ulcer without mention of complication
Peptic ulcer disease,J111100,63582,Chronic gastric ulcer with haemorrhage
Peptic ulcer disease,J111111,36583,Bleeding chronic gastric ulcer
Peptic ulcer disease,J111200,53336,Chronic gastric ulcer with perforation
Peptic ulcer disease,J111211,11104,Perforated chronic gastric ulcer
Peptic ulcer disease,J111300,71897,Chronic gastric ulcer with haemorrhage and perforation
Peptic ulcer disease,J111400,67356,Chronic gastric ulcer with obstruction
Peptic ulcer disease,J111y00,64556,Chronic gastric ulcer unspecified
Peptic ulcer disease,J111z00,44309,Chronic gastric ulcer NOS
Peptic ulcer disease,J112.00,63001,Anti-platelet induced gastric ulcer
Peptic ulcer disease,J112z00,89227,Anti-platelet induced gastric ulcer NOS
Peptic ulcer disease,J113.00,89023,Non steroidal anti inflammatory drug induced gastric ulcer
Peptic ulcer disease,J113z00,97993,Non steroidal anti inflammatory drug induced gastric ulc NOS
Peptic ulcer disease,J11y.00,53081,Unspecified gastric ulcer
Peptic ulcer disease,J11y000,73338,Unspecified gastric ulcer without mention of complication
Peptic ulcer disease,J11y100,57958,Unspecified gastric ulcer with haemorrhage
Peptic ulcer disease,J11y200,36461,Unspecified gastric ulcer with perforation
Peptic ulcer disease,J11y400,73697,Unspecified gastric ulcer with obstruction
Peptic ulcer disease,J11yy00,94397,Unspec gastric ulcer; unspec haemorrhage and/or perforation
Peptic ulcer disease,J11yz00,44284,Unspecified gastric ulcer NOS
Peptic ulcer disease,J11z.00,29771,Gastric ulcer NOS
Peptic ulcer disease,J11z.11,2877,Gastric erosions
Peptic ulcer disease,J11z.12,52323,Multiple gastric ulcers
Peptic ulcer disease,J12..00,352,Duodenal ulcer - (DU)
Peptic ulcer disease,J120.00,18027,Acute duodenal ulcer
Peptic ulcer disease,J120000,44335,Acute duodenal ulcer without mention of complication
Peptic ulcer disease,J120100,18001,Acute duodenal ulcer with haemorrhage
Peptic ulcer disease,J120200,18324,Acute duodenal ulcer with perforation
Peptic ulcer disease,J120300,48730,Acute duodenal ulcer with haemorrhage and perforation
Peptic ulcer disease,J120400,73417,Acute duodenal ulcer with obstruction
Peptic ulcer disease,J120y00,53822,Acute duodenal ulcer unspecified
Peptic ulcer disease,J120z00,53797,Acute duodenal ulcer NOS
Peptic ulcer disease,J121.00,9853,Chronic duodenal ulcer
Peptic ulcer disease,J121000,33438,Chronic duodenal ulcer without mention of complication
Peptic ulcer disease,J121100,48951,Chronic duodenal ulcer with haemorrhage
Peptic ulcer disease,J121111,18625,Bleeding chronic duodenal ulcer
Peptic ulcer disease,J121200,37643,Chronic duodenal ulcer with perforation
Peptic ulcer disease,J121211,23087,Perforated chronic duodenal ulcer
Peptic ulcer disease,J121300,71881,Chronic duodenal ulcer with haemorrhage and perforation
Peptic ulcer disease,J121400,44073,Chronic duodenal ulcer with obstruction
Peptic ulcer disease,J121y00,52138,Chronic duodenal ulcer unspecified
Peptic ulcer disease,J121z00,51406,Chronic duodenal ulcer NOS
Peptic ulcer disease,J122.00,22918,Duodenal ulcer disease
Peptic ulcer disease,J123.00,3462,Duodenal erosion
Peptic ulcer disease,J124.00,29317,Recurrent duodenal ulcer
Peptic ulcer disease,J125.00,89234,Anti-platelet induced duodenal ulcer
Peptic ulcer disease,J126.00,85989,Non steroidal anti inflammatory drug induced duodenal ulcer
Peptic ulcer disease,J12y.00,53669,Unspecified duodenal ulcer
Peptic ulcer disease,J12y000,71150,Unspecified duodenal ulcer without mention of complication
Peptic ulcer disease,J12y100,2814,Unspecified duodenal ulcer with haemorrhage
Peptic ulcer disease,J12y200,657,Unspecified duodenal ulcer with perforation
Peptic ulcer disease,J12y300,93436,Unspecified duodenal ulcer with haemorrhage and perforation
Peptic ulcer disease,J12y400,71904,Unspecified duodenal ulcer with obstruction
Peptic ulcer disease,J12yy00,28366,Unspec duodenal ulcer; unspec haemorrhage and/or perforation
Peptic ulcer disease,J12yz00,65737,Unspecified duodenal ulcer NOS
Peptic ulcer disease,J12z.00,15175,Duodenal ulcer NOS
Peptic ulcer disease,J13..00,670,Peptic ulcer - (PU) site unspecified
Peptic ulcer disease,J13..11,15821,Stress ulcer NOS
Peptic ulcer disease,J130.00,32856,Acute peptic ulcer
Peptic ulcer disease,J130000,68661,Acute peptic ulcer without mention of complication
Peptic ulcer disease,J130100,44637,Acute peptic ulcer with haemorrhage
Peptic ulcer disease,J130200,5521,Acute peptic ulcer with perforation
Peptic ulcer disease,J130300,45304,Acute peptic ulcer with haemorrhage and perforation
Peptic ulcer disease,J130y00,67711,Acute peptic ulcer unspecified
Peptic ulcer disease,J130z00,50048,Acute peptic ulcer NOS
Peptic ulcer disease,J131.00,40997,Chronic peptic ulcer
Peptic ulcer disease,J131000,99430,Chronic peptic ulcer without mention of complication
Peptic ulcer disease,J131100,53126,Chronic peptic ulcer with haemorrhage
Peptic ulcer disease,J131200,37620,Chronic peptic ulcer with perforation
Peptic ulcer disease,J131400,52313,Chronic peptic ulcer with obstruction
Peptic ulcer disease,J131y00,70390,Chronic peptic ulcer unspecified
Peptic ulcer disease,J131z00,69663,Chronic peptic ulcer NOS
Peptic ulcer disease,J13y.00,50497,Unspecified peptic ulcer
Peptic ulcer disease,J13y000,67082,Unspecified peptic ulcer without mention of complication
Peptic ulcer disease,J13y100,70456,Unspecified peptic ulcer with haemorrhage
