Disease,ReadCode,MedCode,ReadTerm
Oesophageal varices,7609300,43404,Local ligation of oesophageal varices
Oesophageal varices,7609400,20912,Open injection sclerotherapy to oesophageal varices
Oesophageal varices,7609.00,24220,Open operations on oesophageal varices
Oesophageal varices,7609y00,107975,Other specified open operation on oesophageal varices
Oesophageal varices,7609y11,62038,Tanner devascularisation for bleeding varices
Oesophageal varices,7609z00,20233,Open operation on oesophageal varices NOS
Oesophageal varices,760C300,11960,Fibreoptic endoscopic injection sclerotherapy oesoph varices
Oesophageal varices,760C500,16759,Fibreoptic endoscopic banding of oesophageal varices
Oesophageal varices,760F300,47214,Rigid oesophagoscopic injection sclerotherapy oesoph varices
Oesophageal varices,760F400,46647,Rigid oesophagoscopic banding of oesophageal varices
Oesophageal varices,761D800,89717,Fibreopt endoscop rubber band ligation of upper GIT varices
Oesophageal varices,G850.00,24989,Oesophageal varices with bleeding
Oesophageal varices,G851.00,30655,Oesophageal varices without bleeding
Oesophageal varices,G852000,96756,Oesophageal varices with bleeding in diseases EC
Oesophageal varices,G852100,73139,Oesophageal varices without bleeding in diseases EC
Oesophageal varices,G852200,26319,Oesophageal varices in cirrhosis of the liver
Oesophageal varices,G852300,8363,Oesophageal varices in alcoholic cirrhosis of the liver
Oesophageal varices,G852.00,44424,Oesophageal varices in diseases EC
Oesophageal varices,G852z00,62582,Oesophageal varices in diseases EC NOS
Oesophageal varices,G858.00,10797,Oesophageal varices NOS
Oesophageal varices,G85..11,1641,Oesophageal varices
Oesophageal varices,Gyu9400,105611,[X]Oesophageal varices in diseases classified elsewhere
