"","Multimorbidity conditions","Combined code set","Code set created","Dataset name"
"1","Abdominal aortic aneurysm","no","yes","CPRD_AAA.csv"
"2","Alcohol Problems","yes","yes","alc_problems.csv"
"3","Alcoholic liver disease","no","yes","CPRD_liver_alc.csv"
"4","Allergic and chronic rhinitis","no","yes","CPRD_allergic_rhinitis.csv"
"5","Alopecia areata","no","yes","CPRD_alopecia_areata.csv"
"6","Angiodysplasia of colon","no","yes","CPRD_angiodysplasia_colon.csv"
"7","Ankylosing spondylitis","no","yes","CPRD_ank_spond.csv"
"8","Anorexia and bulimia nervosa","yes","yes","anorexia_bulimia.csv"
"9","Anxiety disorders","yes","yes","anxiety.csv"
"10","Aplastic anaemias","no","yes","CPRD_aplastic.csv"
"11","Asbestosis","no","yes","CPRD_asbestosis.csv"
"12","Asthma","yes","yes","asthma.csv"
"13","Atrial fibrillation","yes","yes","atrial_fibrilation.csv"
"14","Atrioventricular block, complete","no","yes","CPRD_av_block_3.csv"
"15","Atrioventricular block, second degree","no","yes","CPRD_av_block_2.csv"
"16","Autism and Asperger's syndrome","no","yes","CPRD_autism.csv"
"17","Autoimmune liver disease","no","yes","CPRD_autoimm_liver.csv"
"18","Barrett's oesophagus","no","yes","CPRD_barretts.csv"
"19","Benign neoplasm of brain and other parts of central nervous system","no","yes","CPRD_benign_brain.csv"
"20","Bipolar affective disorder and mania","no","yes","CPRD_BAD.csv"
"21","Bronchiectasis","yes","yes","bronchiectasis.csv"
"22","Carcinoma in situ_cervical","no","yes","CPRD_cin_cervical.csv"
"23","Cerebral Palsy","no","yes","CPRD_cerebral_palsy.csv"
"24","Cholelithiasis","no","yes","CPRD_cholelithiasis.csv"
"25","Chronic Kidney Disease","to be created","to be created",NA
"26","Chronic sinusitis","yes","yes","sinusitis.csv"
"27","Chronic ulcer of the skin","to be created","to be created",NA
"28","Chronic viral hepatitis","no","yes","CPRD_chr_hep.csv"
"29","Coeliac disease","no","yes","CPRD_coeliac.csv"
"30","Collapsed vertebra","no","yes","CPRD_collapsed_vert.csv"
"31","Congenital malformations of cardiac septa","no","yes","CPRD_congenital_septal.csv"
"32","Constipation (Treated)","no","yes","constipation.csv"
"33","COPD","yes","yes","CPOD.csv"
"34","Coronary heart disease not otherwise specified","no","yes","CPRD_CHD_NOS.csv"
"35","Crohn's disease","no","yes","CPRD_crohns.csv"
"36","Cystic Fibrosis","no","yes","CPRD_CF.csv"
"37","Dementia","yes","yes","dementia.csv"
"38","Depression","yes","yes","depression.csv"
"39","Dermatitis (atopc/contact/other/unspecified)","no","yes","CPRD_dermatitis.csv"
"40","Diabetes","yes","yes","diabetes.csv"
"41","Diabetic neurological complications","no","yes","CPRD_dm_neuro.csv"
"42","Diabetic ophthalmic complications","no","yes","CPRD_diab_eye.csv"
"43","Dilated cardiomyopathy","no","yes","CPRD_dcm.csv"
"44","Disorders of autonomic nervous system","no","yes","CPRD_autonomic_neuro.csv"
"45","Diverticular disease of intestine (acute and chronic)","yes","yes","diverticular.csv"
"46","Down's syndrome","no","yes","CPRD_downs.csv"
"47","Dysmenorrhoea","no","yes","CPRD_dysmenorrhoea.csv"
"48","End stage renal disease","no","yes","CPRD_ESRD.csv"
"49","Endometriosis","no","yes","CPRD_endometriosis.csv"
"50","Enteropathic arthropathy","no","yes","CPRD_entero_arthro.csv"
"51","Enthesopathies & synovial disorders","no","yes","CPRD_enthesopathy.csv"
"52","Epilepsy","yes","yes","epilepsy.csv"
"53","Erectile dysfunction","no","yes","CPRD_ED.csv"
"54","Female genital prolapse","no","yes","CPRD_female_genital_prolapse.csv"
"55","Female infertility","no","yes","CPRD_female_infertility.csv"
"56","Folate deficiency anaemia","no","yes","CPRD_folatedef.csv"
"57","Gastritis and duodenitis","no","yes","CPRD_gastritis_duodenitis.csv"
"58","Gastro-oesophageal reflux disease","no","yes","CPRD_GORD.csv"
"59","Giant Cell arteritis","no","yes","CPRD_GCA.csv"
"60","Glaucoma","no","yes","CPRD_glaucoma.csv"
"61","Glomerulonephritis","no","yes","CPRD_GN.csv"
"62","Gout","no","yes","CPRD_gout.csv"
"63","Hearing loss","yes","yes","hearing_loss.csv"
"64","Heart failure","yes","yes","heart_failure.csv#"
"65","Hepatic failure","no","yes","CPRD_liver_fail.csv"
"66","Hidradenitis suppurativa","no","yes","CPRD_hidradenitis.csv"
"67","HIV","no","yes","CPRD_hiv.csv"
"68","Hodgkin Lymphoma","no","yes","CPRD_hodgkins.csv"
"69","Hyperkinetic disorders","no","yes","CPRD_ADHD.csv"
"70","Hyperparathyroidism","no","yes","CPRD_PTH.csv"
"71","Hyperplasia of prostate","no","yes","CPRD_BPH.csv"
"72","Hypertension","yes","yes","hypertension.csv"
"73","Hypertrophic Cardiomyopathy","no","yes","CPRD_hocm.csv"
"74","Hypertrophy of nasal turbinates","no","yes","CPRD_hyper_nasal_turbs.csv"
"75","Hypo or hyperthyroidism","yes","yes","thyroid.csv"
"76","Hyposplenism","no","yes","CPRD_hyposplenism.csv"
"77","Immunodeficiencies","no","yes","CPRD_immunodef.csv"
"78","Infection of bones and joints","to be created","to be created",NA
"79","Intellectual disability","yes","yes","intellec_disability.csv"
"80","Intervertebral disc disorders","no","yes","CPRD_intervert_disc.csv"
"81","Intracerebral haemorrhage","no","yes","CPRD_Intracereb_haem.csv"
"82","Intracranial hypertension","no","yes","CPRD_intracranial_htn.csv"
"83","Iron deficiency anaemia","no","yes","CPRD_IDA.csv"
"84","Irritable bowel syndrome","yes","yes","IBS.csv"
"85","Ischaemic stroke","no","yes","CPRD_Isch_stroke.csv"
"86","Juvenile arthritis","no","yes","CPRD_juv_arth.csv"
"87","Left bundle branch block","no","yes","CPRD_LBBB.csv"
"88","Leukaemia","no","yes","CPRD_leukaemia.csv"
"89","Lichen planus","no","yes","CPRD_lichen_planus.csv"
"90","Liver fibrosis, sclerosis and cirrhosis","no","yes","CPRD_cirrhosis.csv"
"91","Lupus erythematosus (local and systemic)","no","yes","CPRD_SLE.csv"
"92","Macular degeneration","no","yes","CPRD_macula_degen.csv"
"93","Male infertility","no","yes","CPRD_male_infertility.csv"
"94","Meniere disease","no","yes","CPRD_meniere.csv"
