Readcode,Disease,Medcode,ReadcodeDescr,Category,CodingSystem,Provenance
1465.00,Depression,2716,H/O: depression,History of Depression,readcode,Kuan and Cambridge
1B17.00,Depression,1996,Depressed,NA,readcode,Cambridge
1B17.11,Depression,4824,C/O - feeling depressed,NA,readcode,Cambridge
1B1U.00,Depression,9796,Symptoms of depression,NA,readcode,Cambridge
1B1U.11,Depression,10438,Depressive symptoms,NA,readcode,Cambridge
1BT..00,Depression,10015,Depressed mood,NA,readcode,Cambridge
212S.00,Depression,19439,Depression resolved,History of Depression,readcode,Kuan and Cambridge
2257.00,Depression,1908,O/E - depressed,NA,readcode,Cambridge
2960AC,Depression,85574,NA,NA,OXMIS,Cambridge
2960AD,Depression,76768,NA,NA,OXMIS,Cambridge
2962A,Depression,74470,NA,NA,OXMIS,Cambridge
2962AF,Depression,77229,NA,NA,OXMIS,Cambridge
2962B,Depression,75087,NA,NA,OXMIS,Cambridge
2962EN,Depression,74775,NA,NA,OXMIS,Cambridge
2962R,Depression,74296,NA,NA,OXMIS,Cambridge
3000E,Depression,74293,NA,NA,OXMIS,Cambridge
3004,Depression,74624,NA,NA,OXMIS,Cambridge
3004A,Depression,74050,NA,NA,OXMIS,Cambridge
3004AB,Depression,78918,NA,NA,OXMIS,Cambridge
3004AM,Depression,74352,NA,NA,OXMIS,Cambridge
3004B,Depression,79246,NA,NA,OXMIS,Cambridge
3004C,Depression,75612,NA,NA,OXMIS,Cambridge
3004CA,Depression,74079,NA,NA,OXMIS,Cambridge
3004E,Depression,80858,NA,NA,OXMIS,Cambridge
3004ER,Depression,74155,NA,NA,OXMIS,Cambridge
3004M,Depression,84554,NA,NA,OXMIS,Cambridge
3004PP,Depression,83254,NA,NA,OXMIS,Cambridge
3091N,Depression,77005,NA,NA,OXMIS,Cambridge
3091PF,Depression,84210,NA,NA,OXMIS,Cambridge
3091PL,Depression,79553,NA,NA,OXMIS,Cambridge
3091PN,Depression,83126,NA,NA,OXMIS,Cambridge
62T1.00,Depression,2923,Puerperal depression,NA,readcode,Cambridge
7902DC,Depression,79163,NA,NA,OXMIS,Cambridge
8BK0.00,Depression,44848,Depression management programme,History of Depression,NA,Kuan
8CAa.00,Depression,30483,Patient given advice about management of depression,History of Depression,readcode,Kuan and Cambridge
8HHq.00,Depression,32841,Referral for guided self-help for depression,History of Depression,readcode,Kuan and Cambridge
9H90.00,Depression,12399,Depression annual review,History of Depression,readcode,Kuan and Cambridge
9H91.00,Depression,12122,Depression medication review,History of Depression,readcode,Kuan and Cambridge
9H92.00,Depression,30405,Depression interim review,History of Depression,readcode,Kuan and Cambridge
9HA0.00,Depression,42931,On depression register,History of Depression,readcode,Kuan and Cambridge
9HA1.00,Depression,44936,Removed from depression register,NA,readcode,Cambridge
9k4..00,Depression,30583,Depression - enhanced services administration,History of Depression,NA,Kuan
9k40.00,Depression,65435,Depression - enhanced service completed,History of Depression,NA,Kuan
9kQ..00,Depression,96995,On full dose long term treatment depression - enh serv admin,History of Depression,NA,Kuan
9Ov..00,Depression,51258,Depression monitoring administration,History of Depression,NA,Kuan
9Ov0.00,Depression,71009,Depression monitoring first letter,History of Depression,NA,Kuan
9Ov1.00,Depression,72966,Depression monitoring second letter,History of Depression,NA,Kuan
9Ov2.00,Depression,91105,Depression monitoring third letter,History of Depression,NA,Kuan
9Ov3.00,Depression,88644,Depression monitoring verbal invite,History of Depression,NA,Kuan
9Ov4.00,Depression,85852,Depression monitoring telephone invite,History of Depression,NA,Kuan
E001300,Depression,27677,Presenile dementia with depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E002100,Depression,21887,Senile dementia with depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E004300,Depression,43292,Arteriosclerotic dementia with depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E11..12,Depression,2560,Depressive psychoses,Diagnosis of Depression,NA,Kuan
E112.00,Depression,10610,Single major depressive episode,Diagnosis of Depression,readcode,Kuan and Cambridge
E112.11,Depression,5879,Agitated depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E112.12,Depression,6546,Endogenous depression first episode,Diagnosis of Depression,readcode,Kuan and Cambridge
E112.13,Depression,6950,Endogenous depression first episode,Diagnosis of Depression,readcode,Kuan and Cambridge
E112.14,Depression,595,Endogenous depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E112000,Depression,34390,"Single major depressive episode, unspecified",Diagnosis of Depression,readcode,Kuan and Cambridge
E112100,Depression,16506,"Single major depressive episode, mild",Diagnosis of Depression,readcode,Kuan and Cambridge
E112200,Depression,15155,"Single major depressive episode, moderate",Diagnosis of Depression,readcode,Kuan and Cambridge
E112300,Depression,15219,"Single major depressive episode, severe, without psychosis",Diagnosis of Depression,readcode,Kuan and Cambridge
E112400,Depression,32159,"Single major depressive episode, severe, with psychosis",Diagnosis of Depression,NA,Kuan
E112500,Depression,43324,"Single major depressive episode, partial or unspec remission",Diagnosis of Depression,readcode,Kuan and Cambridge
E112600,Depression,57409,"Single major depressive episode, in full remission",History of Depression,readcode,Kuan and Cambridge
E112z00,Depression,7011,Single major depressive episode NOS,Diagnosis of Depression,readcode,Kuan and Cambridge
E113.00,Depression,15099,Recurrent major depressive episode,Diagnosis of Depression,readcode,Kuan and Cambridge
E113.11,Depression,6932,Endogenous depression - recurrent,Diagnosis of Depression,readcode,Kuan and Cambridge
E113000,Depression,35671,"Recurrent major depressive episodes, unspecified",Diagnosis of Depression,readcode,Kuan and Cambridge
E113100,Depression,29342,"Recurrent major depressive episodes, mild",Diagnosis of Depression,readcode,Kuan and Cambridge
E113200,Depression,14709,"Recurrent major depressive episodes, moderate",Diagnosis of Depression,readcode,Kuan and Cambridge
E113300,Depression,25697,"Recurrent major depressive episodes, severe, no psychosis",Diagnosis of Depression,readcode,Kuan and Cambridge
E113400,Depression,24171,"Recurrent major depressive episodes, severe, with psychosis",Diagnosis of Depression,NA,Kuan
E113500,Depression,56273,"Recurrent major depressive episodes,partial/unspec remission",Diagnosis of Depression,readcode,Kuan and Cambridge
E113600,Depression,55384,"Recurrent major depressive episodes, in full remission",History of Depression,readcode,Kuan and Cambridge
E113700,Depression,6482,Recurrent depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E113z00,Depression,25563,Recurrent major depressive episode NOS,Diagnosis of Depression,readcode,Kuan and Cambridge
E118.00,Depression,10825,Seasonal affective disorder,Diagnosis of Depression,readcode,Kuan and Cambridge
E11y200,Depression,27491,Atypical depressive disorder,Diagnosis of Depression,readcode,Kuan and Cambridge
E11z200,Depression,9183,Masked depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E130.00,Depression,8478,Reactive depressive psychosis,Diagnosis of Depression,NA,Kuan
E130.11,Depression,17770,Psychotic reactive depression,Diagnosis of Depression,NA,Kuan
E135.00,Depression,1055,Agitated depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E200300,Depression,655,Anxiety with depression,Diagnosis of Depression,readcode,Kuan and Cambridge
E204.00,Depression,1131,Neurotic depression reactive type,NA,readcode,Cambridge
E204.11,Depression,2639,Postnatal depression,NA,readcode,Cambridge
E211200,Depression,10455,Depressive personality disorder,NA,readcode,Cambridge
E290.00,Depression,1533,Brief depressive reaction,NA,readcode,Cambridge
E290z00,Depression,36246,Brief depressive reaction NOS,NA,readcode,Cambridge
E291.00,Depression,16632,Prolonged depressive reaction,Diagnosis of Depression,readcode,Kuan and Cambridge
E2B..00,Depression,324,Depressive disorder NEC,Diagnosis of Depression,readcode,Kuan and Cambridge
E2B0.00,Depression,2972,Postviral depression,NA,readcode,Cambridge
E2B1.00,Depression,4323,Chronic depression,Diagnosis of Depression,readcode,Kuan and Cambridge
Eu20400,Depression,20785,[X]Post-schizophrenic depression,Diagnosis of Depression,NA,Kuan
Eu25100,Depression,11055,"[X]Schizoaffective disorder, depressive type",Diagnosis of Depression,NA,Kuan
Eu25111,Depression,35274,"[X]Schizoaffective psychosis, depressive type",Diagnosis of Depression,NA,Kuan
Eu25112,Depression,41022,"[X]Schizophreniform psychosis, depressive type",Diagnosis of Depression,NA,Kuan
Eu32.00,Depression,4639,[X]Depressive episode,Diagnosis of Depression,readcode,Kuan and Cambridge
Eu32.11,Depression,9055,[X]Single episode of depressive reaction,Diagnosis of Depression,readcode,Kuan and Cambridge
Eu32.12,Depression,18510,[X]Single episode of psychogenic depression,Diagnosis of Depression,readcode,Kuan and Cambridge
